,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,timings.blocked,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,har_a3,2019-12-14T07:22:00.906+02:00,GET,https://www.facebook.com/,HTTP/1.1,487,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1536,33169,,,0,735,0,267,35,0,666,31.13.90.36,,1039,,
1,har_a3,2019-12-14T07:22:01.402+02:00,POST,https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard,HTTP/1.1,463,1,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,1130,45,,,-1,-1,0,101,0,-1,-1,216.58.207.45,,101,value,
2,har_a3,2019-12-14T07:22:01.613+02:00,GET,https://scontent.ftlv1-2.fna.fbcdn.net/v/t39.2365-6/32213527_1720875981299142_7601737152052854784_n.png?_nc_cat=1&_nc_ohc=lKy4l4ASH_sAQmvdVuZ1wI21PMjGMrbXuFtf16IzmKmipA9wfoseesZXw&_nc_ht=scontent.ftlv1-2.fna&oh=15e5f1ee2b29dc4eed309f545d8e6bf6&oe=5E7AA9E8,HTTP/1.1,623,0,,200,OK,HTTP/1.1,0,image/png,,,504,1436,,,0,302,0,37,1,0,233,213.57.23.209,,342,value,
3,har_a3,2019-12-14T07:22:01.635+02:00,GET,https://scontent.ftlv1-2.fna.fbcdn.net/v/t39.2365-6/32220240_200651090730619_3989834943638274048_n.png?_nc_cat=1&_nc_ohc=xCzOXlmysUUAQmkvDQfwOcOj0F8mg1t1DVex4lQYdPj0T1f50sPGD__-A&_nc_ht=scontent.ftlv1-2.fna&oh=38faa258a53a69a4bf40b1fb8a55a739&oe=5E7A1536,HTTP/1.1,622,0,,200,OK,HTTP/1.1,0,image/png,,,505,2075,,,0,346,0,34,6,0,277,213.57.23.209,,387,value,
4,har_a3,2019-12-14T07:22:01.655+02:00,GET,https://scontent.ftlv1-2.fna.fbcdn.net/v/t39.2365-6/32158113_191365994837162_5605369115159035904_n.png?_nc_cat=1&_nc_ohc=RDj8hhQnykcAQl79cpVX4Uodh88xch_RFSbFStFtWmpQJctZgCrC5z-1g&_nc_ht=scontent.ftlv1-2.fna&oh=2c39940c785d682265f8fac4c89d9c8f&oe=5EB13FB5,HTTP/1.1,622,0,,200,OK,HTTP/1.1,0,image/png,,,505,2133,,,-1,-1,0,31,6,-1,-1,213.57.23.209,,38,value,
5,har_a3,2019-12-14T07:22:01.806+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yB/l/0,cross/bkhLxLxktoq.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,27839,,,8,507,0,94,418,0,439,31.13.90.6,,1029,value,
6,har_a3,2019-12-14T07:22:01.810+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ys/l/0,cross/DUl7s2bqFTJ.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,26466,,,0,425,0,148,451,0,401,31.13.90.6,,1024,value,
7,har_a3,2019-12-14T07:22:01.817+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ys/l/0,cross/dJNKGdOw4Ma.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,5697,,,36,519,0,332,75,0,459,31.13.90.6,,964,value,
8,har_a3,2019-12-14T07:22:01.818+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/I7MGeYV4AeN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,612,5466,,,12,508,0,222,62,0,475,31.13.90.6,,805,value,
9,har_a3,2019-12-14T07:22:01.818+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yH/l/0,cross/1Oe4_bGMM7Z.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,464,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,15229,,,7,517,0,304,299,0,449,31.13.90.6,,1129,value,
