,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.wait,timings.dns,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-08T18:11:06.933+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31862,,,2132,2,218,40,2175,79,0,31.13.92.36,,2516,,
1,facebook,2019-10-08T18:11:10.267+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/dknCOPSX3x5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39755,,,2920,1,99,12,2950,74,0,31.13.92.14,,3138,value,
2,facebook,2019-10-08T18:11:10.288+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,2929,1,92,14,2965,11,0,31.13.92.14,,3086,value,
3,facebook,2019-10-08T18:11:10.288+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,2933,1,115,14,2969,33,0,31.13.92.14,,3134,value,
4,facebook,2019-10-08T18:11:10.288+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,2941,0,110,18,2971,66,0,31.13.92.14,,3167,value,
5,facebook,2019-10-08T18:11:10.290+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yI/l/0,cross/4Zixz8DG59H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11516,,,2936,0,97,12,2972,19,0,31.13.92.14,,3102,value,
6,facebook,2019-10-08T18:11:10.297+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,2943,0,95,14,2979,2,0,31.13.92.14,,3092,value,
7,facebook,2019-10-08T18:11:10.429+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,-1,1,94,-1,-1,18,-1,31.13.92.14,,114,value,
8,facebook,2019-10-08T18:11:10.439+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yl/l/0,cross/1n9F5652p_Q.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7655,,,-1,0,103,-1,-1,2,-1,31.13.92.14,,107,value,
9,facebook,2019-10-08T18:11:10.439+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yo/r/WkArKOJ4DPO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80950,,,-1,0,92,-1,-1,111,-1,31.13.92.14,,204,value,
10,facebook,2019-10-08T18:11:10.659+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,183,0,97,0,207,71,0,31.13.92.14,,378,,
11,facebook,2019-10-08T18:11:10.659+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,183,0,104,0,211,1,0,31.13.92.14,,319,,
12,facebook,2019-10-08T18:11:10.769+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,0,96,-1,-1,158,-1,31.13.92.14,,256,,
13,facebook,2019-10-08T18:11:10.835+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,-1,0,97,-1,-1,6,-1,31.13.92.14,,104,,
14,facebook,2019-10-08T18:11:10.905+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,125,1,95,0,158,1,0,31.13.92.14,,257,,
15,facebook,2019-10-08T18:11:10.910+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,130,1,109,0,165,32,0,31.13.92.14,,308,,
16,facebook,2019-10-08T18:11:10.973+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/5SGT2kBEkqX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116247,,,-1,0,118,-1,-1,189,-1,31.13.92.14,,308,value,
