,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.dns,timings.ssl,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-08T16:22:04.262+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31855,,,220,2,40,3403,0,3441,87,31.13.92.36,,3792,,
1,facebook,2019-10-08T16:22:06.152+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/dknCOPSX3x5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39755,,,121,0,0,1183,0,1219,63,31.13.92.14,,1405,value,
2,facebook,2019-10-08T16:22:06.165+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,102,0,0,1194,0,1226,7,31.13.92.14,,1339,value,
3,facebook,2019-10-08T16:22:06.168+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,95,0,0,1186,0,1230,35,31.13.92.14,,1362,value,
4,facebook,2019-10-08T16:22:06.174+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,99,0,1,1197,0,1242,82,31.13.92.14,,1426,value,
5,facebook,2019-10-08T16:22:06.175+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yI/l/0,cross/4Zixz8DG59H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11516,,,103,0,0,1198,0,1238,5,31.13.92.14,,1349,value,
6,facebook,2019-10-08T16:22:06.180+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,104,1,0,1202,0,1241,0,31.13.92.14,,1348,value,
7,facebook,2019-10-08T16:22:06.281+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,88,0,-1,-1,-1,-1,36,31.13.92.14,,124,value,
8,facebook,2019-10-08T16:22:06.561+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yl/l/0,cross/1n9F5652p_Q.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7655,,,99,1,-1,-1,-1,-1,8,31.13.92.14,,109,value,
9,facebook,2019-10-08T16:22:06.564+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,104,0,-1,-1,-1,-1,110,31.13.92.14,,216,value,
10,facebook,2019-10-08T16:22:06.794+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,89,0,0,189,0,224,85,31.13.92.14,,400,,
11,facebook,2019-10-08T16:22:06.800+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,90,0,0,196,0,231,1,31.13.92.14,,323,,
12,facebook,2019-10-08T16:22:06.910+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,106,0,-1,-1,-1,-1,132,31.13.92.14,,240,,
13,facebook,2019-10-08T16:22:06.980+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,98,1,-1,-1,-1,-1,18,31.13.92.14,,118,,
14,facebook,2019-10-08T16:22:07.329+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,108,0,-1,-1,-1,-1,1,31.13.92.14,,110,,
15,facebook,2019-10-08T16:22:07.340+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,100,0,-1,-1,-1,-1,5,31.13.92.14,,106,,
16,facebook,2019-10-08T16:22:07.846+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,154,0,0,971,0,1009,1,31.13.92.36,,1167,,
17,facebook,2019-10-08T16:22:11.374+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,132,0,-1,-1,-1,-1,25,31.13.92.14,,158,value,
18,facebook,2019-10-08T16:22:11.376+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,107,0,-1,-1,-1,-1,119,31.13.92.14,,228,value,
19,facebook,2019-10-08T16:22:11.378+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,124,0,-1,-1,-1,-1,100,31.13.92.14,,225,value,
20,facebook,2019-10-08T16:22:11.380+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,114,0,-1,-1,-1,-1,165,31.13.92.14,,280,value,
21,facebook,2019-10-08T16:22:11.754+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,108,0,-1,-1,-1,-1,22,31.13.92.14,,131,value,
22,facebook,2019-10-08T16:22:11.755+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yb/l/he_IL/CuIN-hfxi4f.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,46984,,,110,0,-1,-1,-1,-1,49,31.13.92.14,,159,value,
23,facebook,2019-10-08T16:22:11.755+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/AVbt3QIdW-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16571,,,131,0,-1,-1,-1,-1,21,31.13.92.14,,152,value,
24,facebook,2019-10-08T16:22:11.758+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,131,0,-1,-1,-1,-1,12,31.13.92.14,,143,value,
25,facebook,2019-10-08T16:22:11.759+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/ys/l/he_IL/MOsw72LED37.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65677,,,144,0,-1,-1,-1,-1,76,31.13.92.14,,221,value,
26,facebook,2019-10-08T16:22:11.759+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,106,0,-1,-1,-1,-1,11,31.13.92.14,,117,value,
27,facebook,2019-10-08T16:22:11.929+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ioCg4/yk/l/he_IL/PF7x0GyKa-W.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,142844,,,98,0,-1,-1,-1,-1,189,31.13.92.14,,288,value,
28,facebook,2019-10-08T16:22:11.929+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,90,0,-1,-1,-1,-1,23,31.13.92.14,,114,value,
29,facebook,2019-10-08T16:22:11.929+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,102,0,-1,-1,-1,-1,2,31.13.92.14,,105,value,
30,facebook,2019-10-08T16:22:11.929+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yU/l/he_IL/hToT5-LTBQI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,149039,,,111,0,-1,-1,-1,-1,83,31.13.92.14,,195,value,
31,facebook,2019-10-08T16:22:11.930+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,104,0,-1,-1,-1,-1,5,31.13.92.14,,111,value,
32,facebook,2019-10-08T16:22:11.959+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,127,0,-1,-1,-1,-1,0,31.13.92.36,,129,,
33,facebook,2019-10-08T16:22:11.989+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/n8J09kaIuqi.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5711,,,94,0,-1,-1,-1,-1,3,31.13.92.14,,99,value,
34,facebook,2019-10-08T16:22:12.094+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,126,0,-1,-1,-1,-1,0,31.13.92.36,,127,,
35,facebook,2019-10-08T16:22:12.179+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,95,0,-1,-1,-1,-1,0,31.13.92.14,,96,,
36,facebook,2019-10-08T16:22:14.332+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44045,,,252,0,0,1897,0,1931,120,31.13.92.36,,2306,value,
37,facebook,2019-10-08T16:22:14.660+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,88,0,-1,-1,-1,-1,0,31.13.92.14,,89,value,
38,facebook,2019-10-08T16:22:14.663+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,86,0,0,114,0,158,40,31.13.92.14,,286,value,
39,facebook,2019-10-08T16:22:14.663+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,97,1,-1,-1,-1,-1,6,31.13.92.14,,104,value,
40,facebook,2019-10-08T16:22:14.754+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,97,0,-1,-1,-1,-1,50,31.13.92.14,,148,value,
41,facebook,2019-10-08T16:22:14.807+03:00,GET,https://cx.atdmt.com/?f=AYwPPB5ovfLk4dmtauws_2S2Yc_lhgzBS5g_JrHexhvO7d3BfaIzVpN1Pop0_5I-V_ueniCgD0qZhO8V2bH64cpr&c=333916057&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,127,0,33,2334,0,2370,0,31.13.92.2,,2532,value,
42,facebook,2019-10-08T16:22:16.704+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,114,0,0,2019,0,2042,1,172.217.18.4,,2160,,
43,facebook,2019-10-08T16:22:16.931+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,106,0,-1,-1,-1,-1,6,31.13.92.14,,113,value,
44,facebook,2019-10-08T16:22:16.931+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,99,0,-1,-1,-1,-1,0,31.13.92.14,,100,value,
45,facebook,2019-10-08T16:22:16.933+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,106,0,-1,-1,-1,-1,13,31.13.92.14,,121,value,
46,facebook,2019-10-08T16:22:16.933+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,100,0,0,122,0,150,112,31.13.92.14,,364,value,
47,facebook,2019-10-08T16:22:17.036+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,94,0,-1,-1,-1,-1,126,31.13.92.14,,220,value,
48,facebook,2019-10-08T16:22:17.050+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,92,0,-1,-1,-1,-1,86,31.13.92.14,,179,value,
49,facebook,2019-10-08T16:22:17.062+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,105,0,-1,-1,-1,-1,14,31.13.92.14,,120,value,
50,facebook,2019-10-08T16:22:19.510+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,105,0,0,2645,0,2672,129,172.217.22.35,,2908,,
51,facebook,2019-10-08T16:22:19.783+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=mvss5yel9eww,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9647,,,117,0,-1,-1,-1,-1,21,172.217.18.4,,140,value,
52,facebook,2019-10-08T16:22:19.923+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,90,0,-1,-1,-1,-1,44,172.217.22.35,,135,,
53,facebook,2019-10-08T16:22:20.062+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,84,0,-1,-1,-1,-1,37,172.217.22.35,,122,,
54,facebook,2019-10-08T16:22:20.227+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,93,0,-1,-1,-1,-1,5,172.217.18.4,,99,,
55,facebook,2019-10-08T16:22:20.329+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,98,0,-1,-1,-1,-1,0,172.217.18.4,,99,value,
56,facebook,2019-10-08T16:22:20.372+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=ktzmqqkov1zo,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1121,,,92,0,0,110,0,139,1,172.217.18.4,,234,value,
57,facebook,2019-10-08T16:22:20.459+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,79,0,-1,-1,-1,-1,33,172.217.22.35,,112,,
58,facebook,2019-10-08T16:22:20.485+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,2868,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,-1,0,31.13.92.36,,0,,No response received
