,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.dns,timings.send,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name
13,facebook,2019-10-08T17:39:42.866+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,94,118,0,1,0,5,151,31.13.92.14,,253,
14,facebook,2019-10-08T17:39:42.895+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,94,-1,-1,0,-1,10,-1,31.13.92.14,,105,value
15,facebook,2019-10-08T17:39:42.922+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/YQNfPR9MJfx.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,520,925,,,87,-1,-1,0,-1,1,-1,31.13.92.14,,90,
16,facebook,2019-10-08T17:39:42.972+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,121,-1,-1,0,-1,33,-1,31.13.92.14,,155,
17,facebook,2019-10-08T17:39:43.005+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,93,-1,-1,0,-1,72,-1,31.13.92.14,,167,value
18,facebook,2019-10-08T17:39:43.176+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,108,-1,-1,0,-1,30,-1,31.13.92.14,,139,value
19,facebook,2019-10-08T17:39:43.327+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,98,-1,-1,0,-1,88,-1,31.13.92.14,,187,value
20,facebook,2019-10-08T17:39:43.589+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,127,-1,-1,0,-1,11,-1,31.13.92.14,,139,value
21,facebook,2019-10-08T17:39:43.742+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yb/l/he_IL/CuIN-hfxi4f.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,46984,,,115,-1,-1,1,-1,41,-1,31.13.92.14,,158,value
22,facebook,2019-10-08T17:39:43.905+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/AVbt3QIdW-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16571,,,104,-1,-1,0,-1,5,-1,31.13.92.14,,110,value
23,facebook,2019-10-08T17:39:44.021+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,98,-1,-1,0,-1,11,-1,31.13.92.14,,110,value
24,facebook,2019-10-08T17:39:44.142+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/ys/l/he_IL/MOsw72LED37.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65677,,,88,-1,-1,1,-1,39,-1,31.13.92.14,,129,value
25,facebook,2019-10-08T17:39:44.172+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,133,-1,-1,1,-1,0,-1,157.240.1.35,,135,
26,facebook,2019-10-08T17:39:44.279+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,94,-1,-1,0,-1,2,-1,31.13.92.14,,97,value
27,facebook,2019-10-08T17:39:44.380+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ioCg4/yk/l/he_IL/PF7x0GyKa-W.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,142844,,,102,-1,-1,0,-1,112,-1,31.13.92.14,,215,value
28,facebook,2019-10-08T17:39:44.604+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,101,-1,-1,0,-1,21,-1,31.13.92.14,,124,value
29,facebook,2019-10-08T17:39:44.737+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yU/l/he_IL/hToT5-LTBQI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,149039,,,91,-1,-1,0,-1,89,-1,31.13.92.14,,181,value
30,facebook,2019-10-08T17:39:44.926+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,113,-1,-1,0,-1,0,-1,31.13.92.14,,113,value
31,facebook,2019-10-08T17:39:45.043+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,106,-1,-1,0,-1,11,-1,31.13.92.14,,117,value
32,facebook,2019-10-08T17:39:45.171+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/n8J09kaIuqi.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5711,,,106,-1,-1,1,-1,3,-1,31.13.92.14,,112,value
33,facebook,2019-10-08T17:39:45.188+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,100,-1,-1,1,-1,1,-1,31.13.92.14,,103,
34,facebook,2019-10-08T17:39:47.697+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,131,7889,25,0,0,1,7924,31.13.92.36,,8083,
