,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.send,timings.wait,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-12T08:29:20.583+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31870,,,0,2292,76,3,195,62,2252,157.240.1.35,,2631,,
1,facebook,2019-10-12T08:29:22.089+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/wK5C20bCw3h.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,39766,,,0,1111,78,3,125,26,1073,157.240.1.23,,1345,value,
2,facebook,2019-10-12T08:29:22.089+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,579,5428,,,0,1114,0,1,132,25,1075,157.240.1.23,,1274,value,
3,facebook,2019-10-12T08:29:22.090+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/mOsfnMuZ_Ej.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,36856,,,0,1123,66,2,103,26,1085,157.240.1.23,,1322,value,
4,facebook,2019-10-12T08:29:22.090+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/qo0BdnwpyzN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,30745,,,0,1124,47,2,118,25,1086,157.240.1.23,,1318,value,
5,facebook,2019-10-12T08:29:22.104+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,579,5578,,,0,1139,5,0,112,27,1110,157.240.1.23,,1285,value,
6,facebook,2019-10-12T08:29:22.110+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,16994,,,0,1145,35,0,113,27,1116,157.240.1.23,,1323,value,
7,facebook,2019-10-12T08:29:22.230+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,579,7673,,,-1,-1,4,0,86,-1,-1,157.240.1.23,,91,value,
8,facebook,2019-10-12T08:29:22.238+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/nX-tdNcz3tj.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,81238,,,-1,-1,146,0,109,-1,-1,157.240.1.23,,256,value,
9,facebook,2019-10-12T08:29:22.477+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,521,42565,,,0,205,73,0,97,0,182,157.240.1.23,,377,,
10,facebook,2019-10-12T08:29:22.484+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,522,,,0,211,1,0,89,0,185,157.240.1.23,,303,,
11,facebook,2019-10-12T08:29:22.605+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,106343,,,-1,-1,140,0,89,-1,-1,157.240.1.23,,230,,
12,facebook,2019-10-12T08:29:22.656+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,14105,,,-1,-1,6,0,89,-1,-1,157.240.1.23,,96,,
13,facebook,2019-10-12T08:29:22.756+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,520,1163,,,0,145,1,1,96,0,109,157.240.1.23,,245,,
14,facebook,2019-10-12T08:29:22.758+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,17094,,,-1,-1,9,0,97,-1,-1,157.240.1.23,,107,,
15,facebook,2019-10-12T08:29:22.872+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/y-/l/he_IL/isSScqFsl0f.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,348725,,,-1,-1,167,0,82,-1,-1,157.240.1.23,,250,value,
16,facebook,2019-10-12T08:29:23.304+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,17349,,,-1,-1,15,0,102,-1,-1,157.240.1.23,,117,value,
17,facebook,2019-10-12T08:29:23.307+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,47070,,,-1,-1,59,0,106,-1,-1,157.240.1.23,,167,value,
18,facebook,2019-10-12T08:29:23.310+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,8229,,,-1,-1,5,0,87,-1,-1,157.240.1.23,,93,value,
19,facebook,2019-10-12T08:29:23.310+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yd/l/he_IL/et_JXsYk1k4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,16033,,,-1,-1,22,0,90,-1,-1,157.240.1.23,,113,value,
20,facebook,2019-10-12T08:29:23.312+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,7336,,,-1,-1,6,0,89,-1,-1,157.240.1.23,,97,value,
21,facebook,2019-10-12T08:29:23.409+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yF/l/he_IL/7smvGSARS54.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38622,,,-1,-1,54,0,85,-1,-1,157.240.1.23,,140,value,
