,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.ssl,timings.send,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-08T18:32:07.342+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31920,,,232,1,906,2,0,955,82,157.240.1.35,,1273,,
1,facebook,2019-10-08T18:32:09.022+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/dknCOPSX3x5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39755,,,126,33,1201,1,0,1236,56,31.13.92.14,,1454,value,
2,facebook,2019-10-08T18:32:09.022+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,112,37,1203,1,0,1236,20,31.13.92.14,,1408,value,
3,facebook,2019-10-08T18:32:09.025+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,128,33,1203,0,0,1239,22,31.13.92.14,,1424,value,
4,facebook,2019-10-08T18:32:09.030+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,125,34,1209,0,0,1244,38,31.13.92.14,,1443,value,
5,facebook,2019-10-08T18:32:09.037+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yI/l/0,cross/4Zixz8DG59H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11516,,,119,33,1217,0,0,1252,3,31.13.92.14,,1410,value,
6,facebook,2019-10-08T18:32:09.039+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,94,36,1219,0,0,1255,23,31.13.92.14,,1410,value,
7,facebook,2019-10-08T18:32:09.191+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,92,-1,-1,0,-1,-1,33,31.13.92.14,,126,value,
8,facebook,2019-10-08T18:32:09.193+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yl/l/0,cross/1n9F5652p_Q.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7655,,,86,-1,-1,0,-1,-1,13,31.13.92.14,,100,value,
9,facebook,2019-10-08T18:32:09.193+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yo/r/WkArKOJ4DPO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80950,,,90,-1,-1,0,-1,-1,118,31.13.92.14,,209,value,
