,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.wait,timings.ssl,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-12T16:02:40.323+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,32167,,,79,2528,0,226,2486,2,42,31.13.92.36,,2879,,
1,facebook,2019-10-12T16:02:43.277+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yq/l/0,cross/5krYg1gjtIM.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19927,,,32,2548,0,118,2513,1,25,31.13.92.14,,2725,value,
2,facebook,2019-10-12T16:02:43.292+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/lRJiaa7vcpw.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5364,,,4,2562,0,108,2535,0,31,31.13.92.14,,2708,value,
3,facebook,2019-10-12T16:02:43.314+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,70,2582,0,106,2548,1,27,31.13.92.14,,2787,value,
4,facebook,2019-10-12T16:02:43.314+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,5,2586,0,92,2551,1,26,31.13.92.14,,2712,value,
5,facebook,2019-10-12T16:02:43.314+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/HwqQil_dmVd.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4831,,,5,2587,0,95,2561,0,25,31.13.92.14,,2715,value,
6,facebook,2019-10-12T16:02:43.346+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/iCR114rlwJc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,17885,,,24,2603,0,99,2569,0,28,31.13.92.14,,2756,value,
7,facebook,2019-10-12T16:02:43.415+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/Zy5wvYstu6H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8544,,,6,-1,-1,98,-1,0,-1,31.13.92.14,,105,value,
8,facebook,2019-10-12T16:02:43.430+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,103,-1,-1,85,-1,0,-1,31.13.92.14,,190,value,
9,facebook,2019-10-12T16:02:43.678+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,76,241,0,102,213,1,0,31.13.92.14,,421,,
10,facebook,2019-10-12T16:02:43.678+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,1,237,0,96,208,0,0,31.13.92.14,,336,,
11,facebook,2019-10-12T16:02:43.790+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/l-suYkrVcIw.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,80064,,,126,-1,-1,95,-1,0,-1,31.13.92.14,,222,,
12,facebook,2019-10-12T16:02:43.868+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y8/r/xPbeceSA7aR.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,15503,,,14,-1,-1,90,-1,0,-1,31.13.92.14,,106,,
13,facebook,2019-10-12T16:02:43.895+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,1,158,0,91,132,1,0,31.13.92.14,,251,,
14,facebook,2019-10-12T16:02:43.900+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/2JUW_O4RBU4.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,18256,,,35,163,0,108,137,0,0,31.13.92.14,,309,,
15,facebook,2019-10-12T16:02:43.967+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/9Htko6RYJte.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52323,,,95,-1,-1,114,-1,0,-1,31.13.92.14,,210,value,
16,facebook,2019-10-12T16:02:43.967+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yb/l/he_IL/BZ1EVa126Nm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,162451,,,220,-1,-1,121,-1,0,-1,31.13.92.14,,342,value,
17,facebook,2019-10-12T16:02:43.967+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yt/r/8iNCynpH6qY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,30443,,,42,-1,-1,96,-1,0,-1,31.13.92.14,,139,value,
18,facebook,2019-10-12T16:02:43.968+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yG/l/he_IL/g20e7k7_9UU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99749,,,76,-1,-1,91,-1,0,-1,31.13.92.14,,168,value,
19,facebook,2019-10-12T16:02:46.770+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,3078,0,155,3049,0,0,31.13.92.36,,3236,,
20,facebook,2019-10-12T16:02:46.797+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/2RM9LEznOcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23422,,,3,-1,-1,116,-1,0,-1,31.13.92.14,,119,value,
21,facebook,2019-10-12T16:02:46.797+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,1,-1,-1,128,-1,0,-1,31.13.92.14,,130,value,
22,facebook,2019-10-12T16:02:46.798+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/mWQ7ueAX0oY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5754,,,1,-1,-1,91,-1,0,-1,31.13.92.14,,93,value,
23,facebook,2019-10-12T16:02:46.801+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ix5D4/yI/l/he_IL/F538txFikEn.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35351,,,28,-1,-1,107,-1,0,-1,31.13.92.14,,135,value,
24,facebook,2019-10-12T16:02:46.802+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i-z24/yP/l/he_IL/JkTvJW1rrSm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,27531,,,36,-1,-1,122,-1,0,-1,31.13.92.14,,159,value,
25,facebook,2019-10-12T16:02:46.803+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yg/l/he_IL/wEwODJ1J_8t.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11433,,,4,-1,-1,122,-1,0,-1,31.13.92.14,,127,value,
26,facebook,2019-10-12T16:02:46.893+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iLU_4/y8/l/he_IL/-pTlBAnO2Nx.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,191464,,,123,-1,-1,90,-1,1,-1,31.13.92.14,,214,value,
27,facebook,2019-10-12T16:02:46.908+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yE/l/he_IL/y5XzeB9mmta.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6206,,,6,-1,-1,103,-1,0,-1,31.13.92.14,,110,value,
28,facebook,2019-10-12T16:02:46.926+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,155,-1,0,-1,31.13.92.36,,157,,
29,facebook,2019-10-12T16:02:46.946+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqty4/yc/l/he_IL/5ERr9PHWVEr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34093,,,21,-1,-1,110,-1,0,-1,31.13.92.14,,132,value,
30,facebook,2019-10-12T16:02:46.947+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iop94/yG/l/he_IL/ZRTZJL9oJ0K.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14265,,,19,-1,-1,94,-1,0,-1,31.13.92.14,,114,value,
31,facebook,2019-10-12T16:02:46.947+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iI6R4/y6/l/he_IL/bxKiSX0k_FB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,31852,,,25,-1,-1,89,-1,0,-1,31.13.92.14,,114,value,
32,facebook,2019-10-12T16:02:46.965+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/-ky5JgleyuC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45848,,,54,-1,-1,124,-1,0,-1,31.13.92.14,,179,value,
33,facebook,2019-10-12T16:02:47.035+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/VBihrNvrMjC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5255,,,2,-1,-1,102,-1,0,-1,31.13.92.14,,105,value,
34,facebook,2019-10-12T16:02:47.070+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,2,-1,-1,106,-1,0,-1,31.13.92.14,,109,value,
35,facebook,2019-10-12T16:02:47.074+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yz/l/he_IL/N-1s1LbbNnd.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10911,,,9,-1,-1,105,-1,0,-1,31.13.92.14,,115,value,
36,facebook,2019-10-12T16:02:47.076+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/fiIu-TlLO0o.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3560,,,1,-1,-1,104,-1,0,-1,31.13.92.14,,107,value,
37,facebook,2019-10-12T16:02:47.093+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,134,-1,0,-1,31.13.92.36,,135,,
38,facebook,2019-10-12T16:02:47.323+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,-1,108,-1,0,-1,31.13.92.14,,109,,
