,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error
0,facebook,2019-10-08T09:03:53.112+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001266026&__s=%3A5bvnff%3Aoqez1m&__hsi=6745313393280346033-0&__spin_r=1001266026&__spin_b=trunk&__spin_t=1570515659,HTTP/1.1,value,819,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1159,1085,,,0,116,-1,-1,-1,0,-1,157.240.1.35,,117,
1,facebook,2019-10-08T09:03:53.237+03:00,GET,https://www.facebook.com/,HTTP/1.1,,557,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1343,31726,,,0,158,-1,-1,-1,107,-1,157.240.1.35,,267,
2,facebook,2019-10-08T09:03:53.489+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,0,101,-1,-1,-1,80,-1,31.13.92.14,,182,
3,facebook,2019-10-08T09:03:53.492+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/KPhCHNEGU59.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,0,92,-1,-1,-1,4,-1,31.13.92.14,,97,
4,facebook,2019-10-08T09:03:53.492+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y_/l/0,cross/MxLvvW3TzSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,13026,,,0,106,-1,-1,-1,7,-1,31.13.92.14,,114,
5,facebook,2019-10-08T09:03:53.493+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/3boX0SM6qqi.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3180,,,0,109,-1,-1,-1,3,-1,31.13.92.14,,113,
6,facebook,2019-10-08T09:03:53.493+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y6/l/0,cross/efeP_U6FZBY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,15488,,,0,95,-1,-1,-1,8,-1,31.13.92.14,,104,
7,facebook,2019-10-08T09:03:53.508+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,,533,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,127,-1,-1,-1,0,-1,31.13.92.36,,128,
8,facebook,2019-10-08T09:03:53.511+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1411,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,103,-1,-1,-1,0,-1,157.240.1.35,,104,
9,facebook,2019-10-08T09:03:53.571+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1499,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,1,112,0,114,147,1,0,157.240.1.35,,263,
