,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.ssl,timings.wait,timings.send,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,facebook,2019-10-12T16:11:22.436+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,21903,,,1,2963,218,3,3007,0,92,31.13.92.36,,3322,
1,facebook,2019-10-12T16:11:24.795+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yq/l/0,cross/5krYg1gjtIM.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19927,,,1,1941,128,1,1987,0,24,31.13.92.14,,2142,value
2,facebook,2019-10-12T16:11:24.805+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/lRJiaa7vcpw.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5364,,,0,1951,111,1,1996,0,4,31.13.92.14,,2113,value
3,facebook,2019-10-12T16:11:24.815+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,0,1957,101,1,2004,0,69,31.13.92.14,,2176,value
4,facebook,2019-10-12T16:11:24.815+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,0,1958,95,0,2004,0,7,31.13.92.14,,2108,value
5,facebook,2019-10-12T16:11:24.815+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yy/l/0,cross/ur5R_WRLt-Y.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1271,,,0,1969,92,0,2007,0,2,31.13.92.14,,2103,value
6,facebook,2019-10-12T16:11:24.823+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/Zy5wvYstu6H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8544,,,0,1974,97,0,2012,0,5,31.13.92.14,,2117,value
7,facebook,2019-10-12T16:11:24.916+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/HwqQil_dmVd.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4831,,,-1,-1,92,0,-1,-1,3,31.13.92.14,,96,value
8,facebook,2019-10-12T16:11:24.926+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/iCR114rlwJc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,17885,,,-1,-1,105,0,-1,-1,26,31.13.92.14,,132,value
9,facebook,2019-10-12T16:11:24.926+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/nX-tdNcz3tj.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81238,,,-1,-1,101,0,-1,-1,136,31.13.92.14,,238,value
10,facebook,2019-10-12T16:11:25.155+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/y8/r/dF5SId3UHWd.svg,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,1190,1030,,,0,197,103,1,220,0,2,31.13.92.14,,326,
11,facebook,2019-10-12T16:11:25.186+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,202,107,0,231,0,63,31.13.92.14,,403,
12,facebook,2019-10-12T16:11:25.276+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/l-suYkrVcIw.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,80064,,,-1,-1,101,0,-1,-1,118,31.13.92.14,,221,
13,facebook,2019-10-12T16:11:25.372+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yO/r/YQNfPR9MJfx.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,520,925,,,-1,-1,102,0,-1,-1,0,31.13.92.14,,103,
14,facebook,2019-10-12T16:11:25.419+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/2JUW_O4RBU4.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,18256,,,0,129,88,1,154,0,24,31.13.92.14,,269,
15,facebook,2019-10-12T16:11:25.431+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y8/r/xPbeceSA7aR.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,15503,,,0,124,88,0,160,0,14,31.13.92.14,,264,
16,facebook,2019-10-12T16:11:25.472+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yo/l/he_IL/O_fKht9azy1.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99946,,,-1,-1,136,0,-1,-1,85,31.13.92.14,,222,value
17,facebook,2019-10-12T16:11:25.472+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yA/l/he_IL/ZKeeFEM7Rh0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,163248,,,-1,-1,101,0,-1,-1,205,31.13.92.14,,308,value
18,facebook,2019-10-12T16:11:25.472+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y2/r/tL-1IuxbSOs.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52387,,,-1,-1,96,0,-1,-1,144,31.13.92.14,,241,value
19,facebook,2019-10-12T16:11:25.473+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/5ohbmg8qQA9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,30489,,,-1,-1,110,0,-1,-1,60,31.13.92.14,,171,value
20,facebook,2019-10-12T16:11:25.888+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/y6/l/he_IL/k08FUo2BmPf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23571,,,-1,-1,107,0,-1,-1,12,31.13.92.14,,119,value
21,facebook,2019-10-12T16:11:25.889+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/dG4JY8oc_ui.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5790,,,-1,-1,111,0,-1,-1,5,31.13.92.14,,117,value
22,facebook,2019-10-12T16:11:25.889+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/lWODIWSCqaV.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2484,,,-1,-1,106,0,-1,-1,1,31.13.92.14,,108,value
23,facebook,2019-10-12T16:11:25.890+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ix5D4/yR/l/he_IL/4kh6bTj4uVF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35505,,,-1,-1,117,0,-1,-1,72,31.13.92.14,,190,value
24,facebook,2019-10-12T16:11:25.890+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i-z24/y5/l/he_IL/yVqCJSIATX8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,27599,,,-1,-1,123,0,-1,-1,46,31.13.92.14,,170,value
25,facebook,2019-10-12T16:11:25.999+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iLU_4/y7/l/he_IL/jTdnzvwnIBW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,191696,,,-1,-1,109,0,-1,-1,150,31.13.92.14,,259,value
26,facebook,2019-10-12T16:11:26.009+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yV/l/he_IL/FogCEfhCZIF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6232,,,-1,-1,105,0,-1,-1,4,31.13.92.14,,111,value
27,facebook,2019-10-12T16:11:26.009+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqty4/yw/l/he_IL/nI2XSdw1B27.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34229,,,-1,-1,105,0,-1,-1,12,31.13.92.14,,119,value
28,facebook,2019-10-12T16:11:26.037+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,159,0,-1,-1,0,31.13.92.36,,161,
29,facebook,2019-10-12T16:11:26.067+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iop94/yL/l/he_IL/MiZ5VE7zW82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14384,,,-1,-1,107,0,-1,-1,4,31.13.92.14,,112,value
30,facebook,2019-10-12T16:11:26.077+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iI6R4/yV/l/he_IL/bhdYb1T3OBP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,31964,,,-1,-1,110,0,-1,-1,15,31.13.92.14,,126,value
31,facebook,2019-10-12T16:11:26.128+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/yo1HtzrwOlu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5319,,,-1,-1,102,0,-1,-1,2,31.13.92.14,,105,value
32,facebook,2019-10-12T16:11:26.139+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,-1,108,0,-1,-1,1,31.13.92.14,,110,value
33,facebook,2019-10-12T16:11:26.172+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yR/l/he_IL/FIqOd-kqWWn.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10981,,,-1,-1,123,0,-1,-1,1,31.13.92.14,,125,value
34,facebook,2019-10-12T16:11:26.218+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/ayJdS1pEn1C.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3571,,,-1,-1,104,0,-1,-1,1,31.13.92.14,,106,value
35,facebook,2019-10-12T16:11:26.384+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,113,0,-1,-1,0,31.13.92.14,,114,
36,facebook,2019-10-12T16:11:27.403+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yO/l/he_IL/4sZ44L7Ayqz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11459,,,-1,-1,116,0,-1,-1,5,31.13.92.14,,122,value
37,facebook,2019-10-12T16:11:27.481+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,34,2203,130,0,2220,0,0,31.13.92.36,,2386,
