,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.wait,timings.ssl,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-09-28T18:48:42.545+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1505,31807,,,0,186,3229,193,3130,5,18,157.240.1.35,,3634,,
1,facebook,2019-09-28T18:48:44.139+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/BJTO9sQeQx-.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,38806,,,0,236,1177,96,1072,1,14,157.240.1.23,,1525,value,
2,facebook,2019-09-28T18:48:44.157+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yZ/l/0,cross/U5jq_Yj5uMh.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,0,6,1196,119,1096,1,15,157.240.1.23,,1338,value,
3,facebook,2019-09-28T18:48:44.159+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,0,274,1196,121,1091,0,15,157.240.1.23,,1607,value,
4,facebook,2019-09-28T18:48:44.161+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,0,177,1198,128,1098,0,12,157.240.1.23,,1518,value,
5,facebook,2019-09-28T18:48:44.165+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/yu3z8rT4rjL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,6973,,,0,13,1203,120,1099,0,15,157.240.1.23,,1353,value,
6,facebook,2019-09-28T18:48:44.174+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yg/l/0,cross/jxbJi4rQueP.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8094,,,0,2,1211,121,1112,0,16,157.240.1.23,,1351,value,
7,facebook,2019-09-28T18:48:44.313+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,-1,0,-1,152,-1,1,-1,157.240.1.23,,153,value,
8,facebook,2019-09-28T18:48:44.314+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/lUDBwPfYTHr.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,2285,,,-1,0,-1,155,-1,1,-1,157.240.1.23,,157,value,
9,facebook,2019-09-28T18:48:44.315+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yU/l/0,cross/9uEGZ-eKezU.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3728,,,-1,0,-1,157,-1,0,-1,157.240.1.23,,159,value,
10,facebook,2019-09-28T18:48:44.481+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,-1,245,-1,105,-1,0,-1,157.240.1.23,,352,value,
11,facebook,2019-09-28T18:48:45.073+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,203,586,104,483,0,0,157.240.1.23,,895,,
12,facebook,2019-09-28T18:48:45.076+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,1,589,90,491,0,0,157.240.1.23,,682,,
