,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.ssl,timings.dns,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-08T17:44:49.970+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31972,,,91,2416,0,2383,1,220,2,31.13.92.36,,2732,,
1,facebook,2019-10-08T17:44:52.267+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/dknCOPSX3x5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39755,,,73,1891,0,1858,0,94,1,31.13.92.14,,2061,value,
2,facebook,2019-10-08T17:44:52.268+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,13,1896,0,1859,0,97,1,31.13.92.14,,2009,value,
3,facebook,2019-10-08T17:44:52.279+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,34,1897,0,1868,0,97,0,31.13.92.14,,2029,value,
4,facebook,2019-10-08T17:44:52.283+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,57,1911,0,1874,0,115,0,31.13.92.14,,2086,value,
5,facebook,2019-10-08T17:44:52.288+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yI/l/0,cross/4Zixz8DG59H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11516,,,0,1916,0,1879,0,108,0,31.13.92.14,,2026,value,
6,facebook,2019-10-08T17:44:52.289+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,0,1915,0,1877,1,106,0,31.13.92.14,,2024,value,
7,facebook,2019-10-08T17:44:52.395+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,38,-1,-1,-1,-1,86,0,31.13.92.14,,125,value,
8,facebook,2019-10-08T17:44:52.413+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yl/l/0,cross/1n9F5652p_Q.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7655,,,5,-1,-1,-1,-1,98,0,31.13.92.14,,104,value,
9,facebook,2019-10-08T17:44:52.414+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,187,-1,-1,-1,-1,102,0,31.13.92.14,,291,value,
10,facebook,2019-10-08T17:44:52.617+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,113,197,0,167,0,113,0,31.13.92.14,,425,,
11,facebook,2019-10-08T17:44:52.643+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,1,199,0,168,0,105,0,31.13.92.14,,306,,
12,facebook,2019-10-08T17:44:52.821+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,164,-1,-1,-1,-1,106,1,31.13.92.14,,271,,
13,facebook,2019-10-08T17:44:52.854+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,5,-1,-1,-1,-1,109,0,31.13.92.14,,115,,
14,facebook,2019-10-08T17:44:52.972+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,1,-1,-1,-1,-1,120,0,31.13.92.14,,122,,
15,facebook,2019-10-08T17:44:52.993+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,48,168,0,128,0,98,1,31.13.92.14,,316,,
16,facebook,2019-10-08T17:44:53.027+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,16,-1,-1,-1,-1,95,0,31.13.92.14,,113,value,
17,facebook,2019-10-08T17:44:53.027+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,182,-1,-1,-1,-1,91,0,31.13.92.14,,274,value,
18,facebook,2019-10-08T17:44:53.027+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,135,-1,-1,-1,-1,102,0,31.13.92.14,,239,value,
19,facebook,2019-10-08T17:44:53.028+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,153,-1,-1,-1,-1,104,0,31.13.92.14,,258,value,
20,facebook,2019-10-08T17:44:53.391+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,17,-1,-1,-1,-1,115,0,31.13.92.14,,132,value,
21,facebook,2019-10-08T17:44:53.391+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yb/l/he_IL/CuIN-hfxi4f.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,46984,,,31,-1,-1,-1,-1,140,0,31.13.92.14,,172,value,
22,facebook,2019-10-08T17:44:53.392+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/AVbt3QIdW-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16571,,,18,-1,-1,-1,-1,122,0,31.13.92.14,,141,value,
23,facebook,2019-10-08T17:44:53.393+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/06CIkL91CFL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8183,,,22,-1,-1,-1,-1,113,0,31.13.92.14,,136,value,
24,facebook,2019-10-08T17:44:53.393+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/ys/l/he_IL/MOsw72LED37.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65677,,,103,-1,-1,-1,-1,139,0,31.13.92.14,,244,value,
25,facebook,2019-10-08T17:44:53.395+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yf/l/he_IL/XsCCfAW0XcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7317,,,0,-1,-1,-1,-1,136,0,31.13.92.14,,138,value,
26,facebook,2019-10-08T17:44:53.571+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ioCg4/yk/l/he_IL/PF7x0GyKa-W.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,142844,,,90,-1,-1,-1,-1,89,0,31.13.92.14,,180,value,
27,facebook,2019-10-08T17:44:53.577+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,22,-1,-1,-1,-1,103,0,31.13.92.14,,126,value,
28,facebook,2019-10-08T17:44:53.579+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yU/l/he_IL/hToT5-LTBQI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,149039,,,143,-1,-1,-1,-1,104,0,31.13.92.14,,248,value,
29,facebook,2019-10-08T17:44:53.580+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,0,-1,-1,-1,-1,107,0,31.13.92.14,,108,value,
30,facebook,2019-10-08T17:44:53.580+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yb/l/he_IL/WiAHD4y9-0L.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9881,,,11,-1,-1,-1,-1,91,0,31.13.92.14,,103,value,
31,facebook,2019-10-08T17:44:53.626+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,-1,-1,166,0,31.13.92.36,,168,,
32,facebook,2019-10-08T17:44:53.645+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/n8J09kaIuqi.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5711,,,2,-1,-1,-1,-1,139,0,31.13.92.14,,142,value,
33,facebook,2019-10-08T17:44:53.805+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,-1,-1,133,0,31.13.92.36,,134,,
34,facebook,2019-10-08T17:44:53.814+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,-1,-1,-1,93,0,31.13.92.14,,94,,
35,facebook,2019-10-08T17:45:02.025+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4740,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,1,-1,-1,-1,-1,120,1,31.13.92.36,,123,,
36,facebook,2019-10-08T17:44:52.782+03:00,CONNECT,https://facebook.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,21040,0,-1,0,0,0,31.13.92.36,,21040,,Unable to connect to host
37,facebook,2019-10-08T17:44:52.859+03:00,CONNECT,https://static.xx.fbcdn.net,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,21002,0,-1,0,0,0,31.13.92.14,,21002,,Unable to connect to host
38,facebook,2019-10-08T17:44:52.868+03:00,CONNECT,https://static.xx.fbcdn.net,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,21003,0,-1,0,0,0,31.13.92.14,,21004,,Unable to connect to host
39,facebook,2019-10-08T17:44:54.000+03:00,CONNECT,https://fbsbx.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,21005,0,-1,0,0,0,31.13.92.36,,21005,,Unable to connect to host
40,facebook,2019-10-08T17:44:54.004+03:00,CONNECT,https://cx.atdmt.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,21007,0,-1,27,0,0,31.13.92.2,,21035,,Unable to connect to host
