,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.ssl,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-08T16:15:03.224+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31792,,,5129,77,0,12,5097,201,2,31.13.92.36,,5424,,
1,facebook,2019-10-08T16:15:05.510+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/KPhCHNEGU59.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,1828,9,0,31,1789,126,20,31.13.92.14,,2015,value,
2,facebook,2019-10-08T16:15:05.510+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,1827,61,0,31,1789,127,19,31.13.92.14,,2068,value,
3,facebook,2019-10-08T16:15:05.566+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,1884,71,0,31,1856,113,0,31.13.92.14,,2101,value,
4,facebook,2019-10-08T16:15:05.576+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y_/l/0,cross/MxLvvW3TzSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,13026,,,1889,5,0,31,1849,108,0,31.13.92.14,,2035,value,
5,facebook,2019-10-08T16:15:05.578+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y6/l/0,cross/efeP_U6FZBY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,15488,,,1889,3,0,32,1850,103,2,31.13.92.14,,2030,value,
6,facebook,2019-10-08T16:15:05.579+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/3boX0SM6qqi.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3180,,,1896,0,0,30,1868,104,1,31.13.92.14,,2033,value,
7,facebook,2019-10-08T16:15:05.703+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,-1,1,-1,-1,-1,95,0,31.13.92.14,,97,value,
8,facebook,2019-10-08T16:15:05.704+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yy/l/0,cross/rskVMr-YH5L.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5298,,,-1,0,-1,-1,-1,99,0,31.13.92.14,,100,value,
9,facebook,2019-10-08T16:15:05.705+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,-1,92,-1,-1,-1,94,0,31.13.92.14,,187,value,
