,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.wait,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-09-28T18:54:10.464+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3igfX4/y3/l/he_IL/MsohL9sFE5e.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,18571,,,-1,7,-1,-1,111,-1,0,157.240.1.23,,119,value,
19,facebook,2019-09-28T18:54:10.464+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,-1,210,-1,-1,117,-1,1,157.240.1.23,,329,value,
20,facebook,2019-09-28T18:54:10.464+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/y3/l/he_IL/wSoaFW7wWeN.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7081,,,-1,13,-1,-1,117,-1,0,157.240.1.23,,131,value,
21,facebook,2019-09-28T18:54:10.466+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,-1,24,-1,-1,118,-1,0,157.240.1.23,,143,value,
22,facebook,2019-09-28T18:54:10.467+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5f14/yQ/l/he_IL/DAaf_rYHcvf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28967,,,-1,105,-1,-1,126,-1,0,157.240.1.23,,232,value,
23,facebook,2019-09-28T18:54:10.616+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,-1,2,-1,-1,121,-1,0,157.240.1.23,,125,value,
24,facebook,2019-09-28T18:54:10.627+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/PDMiqy9sJOt.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,894,,,-1,1,-1,-1,396,-1,0,157.240.1.23,,398,value,
25,facebook,2019-09-28T18:54:10.627+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iJre4/yw/l/he_IL/5adkNit3zuK.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13874,,,-1,11,-1,-1,394,-1,0,157.240.1.23,,406,value,
26,facebook,2019-09-28T18:54:10.671+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1562,55,,,-1,0,-1,-1,456,-1,0,157.240.1.35,,458,,
27,facebook,2019-09-28T18:54:10.709+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/6xd4_k7oTaN.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2589,,,-1,0,-1,-1,394,-1,0,157.240.1.23,,395,value,
28,facebook,2019-09-28T18:54:10.746+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yb/l/he_IL/GyR83-qaiWl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35760,,,-1,21,-1,-1,397,-1,0,157.240.1.23,,419,value,
29,facebook,2019-09-28T18:54:10.799+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iNz24/yg/l/he_IL/53HXKa4Btdy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4543,,,-1,5,-1,-1,100,-1,0,157.240.1.23,,107,value,
30,facebook,2019-09-28T18:54:10.909+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yG/r/EDWT5D6CZW0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3292,,,-1,2,-1,-1,87,-1,0,157.240.1.23,,91,value,
31,facebook,2019-09-28T18:54:11.004+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iSuz4/y-/l/he_IL/0u06c8RIoL-.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60744,,,-1,50,-1,-1,96,-1,0,157.240.1.23,,146,value,
32,facebook,2019-09-28T18:54:11.031+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/gFylS2EXD7x.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,15605,,,-1,19,-1,-1,90,-1,0,157.240.1.23,,110,value,
33,facebook,2019-09-28T18:54:11.040+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/x9mvWUy_crF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4374,,,-1,1,-1,-1,98,-1,0,157.240.1.23,,100,value,
34,facebook,2019-09-28T18:54:11.109+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yr/l/he_IL/CsLqpwK7m82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13490,,,-1,12,-1,-1,105,-1,0,157.240.1.23,,119,value,
35,facebook,2019-09-28T18:54:11.135+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1562,55,,,-1,1,-1,-1,123,-1,0,157.240.1.35,,124,,
36,facebook,2019-09-28T18:54:11.145+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,2,-1,-1,97,-1,0,157.240.1.23,,100,value,
37,facebook,2019-09-28T18:54:11.274+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,1,-1,-1,88,-1,0,157.240.1.23,,90,,
38,facebook,2019-09-28T18:54:14.266+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yg/r/Nn-CtpnbA7n.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17384,,,-1,130,-1,-1,93,-1,1,157.240.1.23,,225,value,
39,facebook,2019-09-28T18:54:14.350+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,5144,0,0,0,142,5049,0,157.240.1.35,,5289,,
40,facebook,2019-09-28T18:54:15.047+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1420,43097,,,3727,663,0,18,188,3629,0,157.240.1.35,,4598,value,
41,facebook,2019-09-28T18:54:15.187+03:00,GET,https://cx.atdmt.com/?f=AYx2rA8-JMYThVnV8f9_vD8PF_74idZIepMixYr8sMR_9mOUtntNYqS9QInt6DVF5vN8tVMkUEosD5zwyYnjosCd&c=1125638972&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,3831,0,0,20,148,3735,1,157.240.1.6,,4001,value,
42,facebook,2019-09-28T18:54:15.261+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,-1,200,-1,-1,90,-1,0,157.240.1.23,,291,value,
43,facebook,2019-09-28T18:54:15.261+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,-1,0,-1,-1,94,-1,0,157.240.1.23,,96,value,
44,facebook,2019-09-28T18:54:15.262+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,-1,96,-1,-1,98,-1,1,157.240.1.23,,195,value,
45,facebook,2019-09-28T18:54:15.266+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yU/r/uVMI02gYvfk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80563,,,-1,512,-1,-1,97,-1,0,157.240.1.23,,611,value,
46,facebook,2019-09-28T18:54:18.039+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,465,,,2774,1,0,1,75,2701,0,172.217.16.196,,2854,,
47,facebook,2019-09-28T18:54:18.277+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iyLU4/y5/l/he_IL/nHWBLEegsyI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,332251,,,-1,498,-1,-1,90,-1,0,157.240.1.23,,589,value,
48,facebook,2019-09-28T18:54:18.278+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/0rno7UBGrTm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,32167,,,-1,29,-1,-1,94,-1,0,157.240.1.23,,124,value,
49,facebook,2019-09-28T18:54:18.279+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iN2Z4/yB/l/he_IL/1bTxZnWjjdh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,28375,,,-1,113,-1,-1,108,-1,0,157.240.1.23,,222,value,
50,facebook,2019-09-28T18:54:18.280+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/Eh_MYLPvxke.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4145,,,-1,1,-1,-1,109,-1,0,157.240.1.23,,111,value,
51,facebook,2019-09-28T18:54:19.301+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,2872,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,-1,-1,174,-1,1,157.240.1.35,,177,,
52,facebook,2019-09-28T18:54:24.969+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,6828,370,0,0,73,6761,0,216.58.210.3,,7273,,
53,facebook,2019-09-28T18:54:25.466+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=38kh0r64jbgv,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,9465,,,-1,19,-1,-1,101,-1,0,172.217.16.196,,121,value,
54,facebook,2019-09-28T18:54:25.602+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,481,91705,,,-1,109,-1,-1,79,-1,1,216.58.210.3,,189,,
55,facebook,2019-09-28T18:54:25.766+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,160,282,0,0,65,85,0,216.58.210.3,,509,,
56,facebook,2019-09-28T18:54:26.166+03:00,GET,https://www.google.com/js/bg/JBwSXsc__bL1AIIwyKh3QnwBHg7D-WM3_5_AwioMKBk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5282,,,-1,8,-1,-1,66,-1,0,172.217.16.196,,75,,
57,facebook,2019-09-28T18:54:26.245+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,440,112,,,-1,1,-1,-1,75,-1,0,172.217.16.196,,78,value,
58,facebook,2019-09-28T18:54:26.324+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=wpdrnqcyok29,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,681,1124,,,141,2,0,0,87,75,1,172.217.16.196,,232,value,
59,facebook,2019-09-28T18:54:26.519+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,488,94031,,,-1,86,-1,-1,75,-1,0,216.58.210.3,,162,,
60,facebook,2019-09-28T18:54:26.569+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwl8G0me220pe4U2YxW&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=ugv2qk%3A2iwchg%3Aja0fmy&__hsi=6741754657364122172-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569687076,HTTP/1.1,828,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,-1,0,-1,0,157.240.1.35,,0,value,No response received
