,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
18,facebook,2019-10-12T16:15:28.572+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yb/l/he_IL/BZ1EVa126Nm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,162451,,,-1,0,124,-1,-1,174,-1,31.13.92.14,,299,value
19,facebook,2019-10-12T16:15:28.574+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yt/r/8iNCynpH6qY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,30443,,,-1,0,112,-1,-1,49,-1,31.13.92.14,,162,value
20,facebook,2019-10-12T16:15:30.586+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,0,122,-1,-1,4,-1,31.13.92.14,,127,value
21,facebook,2019-10-12T16:15:30.587+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/mWQ7ueAX0oY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5754,,,-1,0,127,-1,-1,12,-1,31.13.92.14,,141,value
22,facebook,2019-10-12T16:15:30.588+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i-z24/yP/l/he_IL/JkTvJW1rrSm.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,27531,,,-1,0,140,-1,-1,49,-1,31.13.92.14,,189,value
23,facebook,2019-10-12T16:15:30.588+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ix5D4/yI/l/he_IL/F538txFikEn.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35351,,,-1,0,119,-1,-1,48,-1,31.13.92.14,,167,value
24,facebook,2019-10-12T16:15:30.590+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yg/l/he_IL/wEwODJ1J_8t.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11433,,,-1,0,126,-1,-1,20,-1,31.13.92.14,,146,value
25,facebook,2019-10-12T16:15:30.611+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/2RM9LEznOcM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23422,,,-1,0,115,-1,-1,22,-1,31.13.92.14,,138,value
26,facebook,2019-10-12T16:15:30.620+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,27,0,135,2260,2281,1,0,31.13.92.36,,2446,
27,facebook,2019-10-12T16:15:30.759+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iLU_4/y8/l/he_IL/-pTlBAnO2Nx.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,191464,,,-1,1,117,-1,-1,92,-1,31.13.92.14,,211,value
28,facebook,2019-10-12T16:15:30.759+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yE/l/he_IL/y5XzeB9mmta.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6206,,,-1,0,104,-1,-1,2,-1,31.13.92.14,,107,value
29,facebook,2019-10-12T16:15:30.759+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqty4/yc/l/he_IL/5ERr9PHWVEr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34093,,,-1,0,106,-1,-1,88,-1,31.13.92.14,,195,value
30,facebook,2019-10-12T16:15:30.775+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iop94/yG/l/he_IL/ZRTZJL9oJ0K.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14265,,,-1,0,115,-1,-1,5,-1,31.13.92.14,,121,value
31,facebook,2019-10-12T16:15:30.775+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iI6R4/y6/l/he_IL/bxKiSX0k_FB.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,31852,,,-1,0,92,-1,-1,17,-1,31.13.92.14,,109,value
32,facebook,2019-10-12T16:15:30.775+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/VBihrNvrMjC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5255,,,-1,0,118,-1,-1,3,-1,31.13.92.14,,122,value
33,facebook,2019-10-12T16:15:30.802+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,130,-1,-1,0,-1,31.13.92.36,,132,
34,facebook,2019-10-12T16:15:30.879+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,-1,0,97,-1,-1,1,-1,31.13.92.14,,99,value
35,facebook,2019-10-12T16:15:30.879+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yz/l/he_IL/N-1s1LbbNnd.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10911,,,-1,0,99,-1,-1,7,-1,31.13.92.14,,106,value
36,facebook,2019-10-12T16:15:30.894+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yN/r/fiIu-TlLO0o.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3560,,,-1,0,107,-1,-1,2,-1,31.13.92.14,,110,value
37,facebook,2019-10-12T16:15:31.089+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,97,-1,-1,0,-1,31.13.92.14,,98,
