,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.send,timings.wait,timings.ssl,timings.dns,serverIPAddress,comment,time
0,facebook,2019-09-28T19:31:21.318+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=4&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001232246&__s=%3A9duc8f%3Arybq6k&__hsi=6741764145149960367-0&__spin_r=1001232246&__spin_b=trunk&__spin_t=1569689285,HTTP/1.1,value,819,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1367,1105,,,-1,0,-1,1,817,-1,-1,157.240.1.35,,820
1,facebook,2019-09-28T19:31:21.327+03:00,GET,https://www.facebook.com/,HTTP/1.1,,557,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1344,31792,,,-1,366,-1,0,809,-1,-1,157.240.1.35,,1177
2,facebook,2019-09-28T19:31:22.155+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1769,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,0,-1,0,144,-1,-1,157.240.1.35,,145
3,facebook,2019-09-28T19:31:22.171+03:00,POST,https://fbsbx.com/ajax/bz,HTTP/1.1,,508,896,,404,Not Found,HTTP/1.1,0,text/html; charset=utf-8,,,1321,126,,,-1,0,-1,0,213,-1,-1,157.240.1.35,,214
4,facebook,2019-09-28T19:31:22.186+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yz/l/0,cross/BJTO9sQeQx-.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,38806,,,-1,106,-1,0,96,-1,-1,157.240.1.23,,203
5,facebook,2019-09-28T19:31:22.186+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yZ/l/0,cross/U5jq_Yj5uMh.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,-1,2,-1,0,102,-1,-1,157.240.1.23,,105
6,facebook,2019-09-28T19:31:22.188+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/szkOH61w3V9.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37267,,,-1,98,-1,0,105,-1,-1,157.240.1.23,,204
7,facebook,2019-09-28T19:31:22.188+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/xxiiEH1LGPY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,22481,,,-1,97,-1,0,103,-1,-1,157.240.1.23,,201
8,facebook,2019-09-28T19:31:22.189+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/yu3z8rT4rjL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,6973,,,-1,5,-1,0,106,-1,-1,157.240.1.23,,111
9,facebook,2019-09-28T19:31:22.189+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yg/l/0,cross/jxbJi4rQueP.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8094,,,-1,2,-1,0,109,-1,-1,157.240.1.23,,112
