,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.wait,timings.send,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-12T16:14:40.555+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,32155,,,4544,1,214,2,4595,86,0,31.13.92.36,,4900,,
1,facebook,2019-10-12T16:14:44.922+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yq/l/0,cross/5krYg1gjtIM.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19927,,,3934,1,113,0,3980,61,0,31.13.92.14,,4157,value,
2,facebook,2019-10-12T16:14:44.922+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/lRJiaa7vcpw.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5364,,,3936,0,99,1,3977,13,0,31.13.92.14,,4091,value,
3,facebook,2019-10-12T16:14:44.938+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,3949,0,119,0,3994,59,0,31.13.92.14,,4174,value,
4,facebook,2019-10-12T16:14:44.953+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,3952,0,113,0,4000,3,0,31.13.92.14,,4118,value,
5,facebook,2019-10-12T16:14:44.969+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/HwqQil_dmVd.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4831,,,3973,0,110,0,4021,1,0,31.13.92.14,,4134,value,
6,facebook,2019-10-12T16:14:44.985+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/iCR114rlwJc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,17885,,,3977,0,101,0,4028,23,0,31.13.92.14,,4153,value,
7,facebook,2019-10-12T16:14:45.054+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/Zy5wvYstu6H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8544,,,-1,-1,88,2,-1,3,-1,31.13.92.14,,94,value,
8,facebook,2019-10-12T16:14:45.085+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,-1,-1,104,0,-1,115,-1,31.13.92.14,,220,value,
9,facebook,2019-10-12T16:14:45.354+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,230,0,97,0,258,83,0,31.13.92.14,,440,,
10,facebook,2019-10-12T16:14:45.372+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,232,0,104,0,255,1,0,31.13.92.14,,362,,
11,facebook,2019-10-12T16:14:45.484+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/l-suYkrVcIw.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,80064,,,-1,-1,123,0,-1,143,-1,31.13.92.14,,267,,
12,facebook,2019-10-12T16:14:45.547+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y8/r/xPbeceSA7aR.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,15503,,,-1,-1,91,0,-1,43,-1,31.13.92.14,,135,,
13,facebook,2019-10-12T16:14:45.670+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,129,0,97,1,150,1,0,31.13.92.14,,249,,
14,facebook,2019-10-12T16:14:45.687+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/2JUW_O4RBU4.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,18256,,,-1,-1,107,0,-1,31,-1,31.13.92.14,,139,,
15,facebook,2019-10-12T16:14:45.773+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yG/l/he_IL/C2rdfnuuzwM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99772,,,-1,-1,122,0,-1,78,-1,31.13.92.14,,201,value,
16,facebook,2019-10-12T16:14:45.777+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yV/l/he_IL/YCq2rMVAOEr.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,162809,,,-1,-1,94,0,-1,227,-1,31.13.92.14,,322,value,
17,facebook,2019-10-12T16:14:45.780+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yu/r/wnLfF7HhDR3.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52324,,,-1,-1,116,0,-1,118,-1,31.13.92.14,,236,value,
18,facebook,2019-10-12T16:14:47.111+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/H2indV4tLkk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,30462,,,-1,-1,104,0,-1,42,-1,31.13.92.14,,146,value,
19,facebook,2019-10-12T16:14:47.158+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,1767,0,117,0,1796,0,0,31.13.92.36,,1916,,
20,facebook,2019-10-12T16:14:47.302+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yN/l/he_IL/12qn2khst7s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23448,,,-1,-1,122,0,-1,34,-1,31.13.92.14,,157,value,
21,facebook,2019-10-12T16:14:47.303+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,-1,94,0,-1,3,-1,31.13.92.14,,98,value,
22,facebook,2019-10-12T16:14:47.304+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/mWQ7ueAX0oY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5754,,,-1,-1,131,0,-1,1,-1,31.13.92.14,,133,value,
23,facebook,2019-10-12T16:14:47.304+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ix5D4/yU/l/he_IL/4A_AIRvK6i6.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35402,,,-1,-1,108,0,-1,37,-1,31.13.92.14,,146,value,
24,facebook,2019-10-12T16:14:47.307+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i-z24/yd/l/he_IL/IdNhFImyk-m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,27563,,,-1,-1,89,0,-1,53,-1,31.13.92.14,,143,value,
