,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.wait,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
31,facebook,2019-10-08T16:03:28.308+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,0,-1,104,-1,-1,0,-1,31.13.92.14,,105,value,
32,facebook,2019-10-08T16:03:28.357+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,132,-1,-1,0,-1,31.13.92.36,,134,,
33,facebook,2019-10-08T16:03:28.511+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,94,-1,-1,0,-1,31.13.92.14,,95,,
34,facebook,2019-10-08T16:03:29.537+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,0,-1,117,-1,-1,1,-1,31.13.92.14,,119,value,
35,facebook,2019-10-08T16:03:29.595+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,35,152,2215,2246,0,0,31.13.92.36,,2435,,
36,facebook,2019-10-08T16:03:30.935+03:00,GET,https://cx.atdmt.com/?f=AYzgeIRI5DoDQg5B1oc52F6jb2HSww3qBWjoraQEd2UnJBIlgnw5VRWaXq_tMUFFgE8VgdSLlFV9T2PcD6KqLSnR&c=1347720300&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,538,42,,,0,22,138,2297,2332,0,0,31.13.92.2,,2494,value,
37,facebook,2019-10-08T16:03:32.016+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43539,,,0,0,221,3536,3591,116,0,31.13.92.36,,3930,value,
38,facebook,2019-10-08T16:03:32.286+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,153,,,0,-1,88,-1,-1,3,-1,31.13.92.14,,92,value,
39,facebook,2019-10-08T16:03:32.287+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,1,-1,98,-1,-1,21,-1,31.13.92.14,,122,value,
40,facebook,2019-10-08T16:03:32.288+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,1,-1,90,-1,-1,72,-1,31.13.92.14,,164,value,
41,facebook,2019-10-08T16:03:32.289+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,0,-1,102,-1,-1,135,-1,31.13.92.14,,238,value,
42,facebook,2019-10-08T16:03:33.782+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,0,1,102,1459,1494,1,0,172.217.18.4,,1600,,
43,facebook,2019-10-08T16:03:34.013+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,0,-1,112,-1,-1,0,-1,31.13.92.14,,113,value,
44,facebook,2019-10-08T16:03:34.014+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yf/l/he_IL/PyIndVDJDGO.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,344282,,,0,-1,108,-1,-1,252,-1,31.13.92.14,,361,value,
45,facebook,2019-10-08T16:03:34.014+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ifmc4/yZ/l/he_IL/qn9QUahHfcD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17031,,,0,-1,95,-1,-1,20,-1,31.13.92.14,,116,value,
46,facebook,2019-10-08T16:03:35.800+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,0,100,1847,1879,155,0,172.217.22.35,,2136,,
47,facebook,2019-10-08T16:03:36.095+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=6i8evvqnf800,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9715,,,0,-1,112,-1,-1,20,-1,172.217.18.4,,133,value,
48,facebook,2019-10-08T16:03:36.239+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,1,-1,89,-1,-1,46,-1,172.217.22.35,,137,,
49,facebook,2019-10-08T16:03:36.380+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,0,90,111,135,156,0,172.217.22.35,,383,,
50,facebook,2019-10-08T16:03:36.558+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,590,4852,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,1,-1,120,-1,-1,0,-1,31.13.92.36,,122,,
51,facebook,2019-10-08T16:03:36.652+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,0,-1,90,-1,-1,3,-1,172.217.18.4,,95,,
52,facebook,2019-10-08T16:03:36.756+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,0,-1,94,-1,-1,0,-1,172.217.18.4,,96,value,
53,facebook,2019-10-08T16:03:36.799+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=ndt5wjh5zv1c,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1124,,,0,0,95,110,143,1,0,172.217.18.4,,241,value,
54,facebook,2019-10-08T16:03:36.875+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,0,-1,100,-1,-1,61,-1,172.217.22.35,,162,,
55,facebook,2019-10-08T16:03:36.908+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,0,-1,88,-1,-1,46,-1,172.217.22.35,,136,,
56,facebook,2019-10-08T16:03:37.088+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001266966&__s=zl3v88%3Adyl1bv%3Abe0nrp&__hsi=6745421571695121235-0&__spin_r=1001266966&__spin_b=trunk&__spin_t=1570540846,HTTP/1.1,827,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,-1,0,-1,31.13.92.36,,0,value,No response received
