,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.ssl,timings.dns,timings.wait,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error
0,facebook,2019-10-08T16:00:39.904+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=2&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001266966&__s=%3A3t5l12%3Acszlo2&__hsi=6745420756067463382-0&__spin_r=1001266966&__spin_b=trunk&__spin_t=1570540656,HTTP/1.1,value,821,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1159,1087,,,0,-1,-1,126,-1,0,-1,31.13.92.36,,127,
1,facebook,2019-10-08T16:00:40.034+03:00,GET,https://www.facebook.com/,HTTP/1.1,,557,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1343,31681,,,0,-1,-1,174,-1,116,-1,31.13.92.36,,292,
2,facebook,2019-10-08T16:00:40.229+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1415,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,1,111,0,126,147,0,0,31.13.92.36,,276,
3,facebook,2019-10-08T16:00:40.275+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,0,-1,-1,89,-1,90,-1,31.13.92.14,,179,
4,facebook,2019-10-08T16:00:40.276+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/KPhCHNEGU59.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,0,-1,-1,108,-1,6,-1,31.13.92.14,,114,
5,facebook,2019-10-08T16:00:40.277+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,0,-1,-1,99,-1,78,-1,31.13.92.14,,178,
6,facebook,2019-10-08T16:00:40.277+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y_/l/0,cross/MxLvvW3TzSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,13026,,,0,-1,-1,117,-1,4,-1,31.13.92.14,,122,
7,facebook,2019-10-08T16:00:40.278+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y6/l/0,cross/efeP_U6FZBY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,15488,,,0,-1,-1,110,-1,8,-1,31.13.92.14,,120,
8,facebook,2019-10-08T16:00:40.278+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/3boX0SM6qqi.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3180,,,0,-1,-1,95,-1,4,-1,31.13.92.14,,99,
9,facebook,2019-10-08T16:00:40.284+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,,533,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,-1,-1,120,-1,0,-1,31.13.92.36,,121,
