,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
18,facebook,2019-10-12T16:06:20.635+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y2/r/tL-1IuxbSOs.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52387,,,133,-1,-1,0,-1,106,-1,31.13.92.14,,240,value
19,facebook,2019-10-12T16:06:20.637+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/5ohbmg8qQA9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,30489,,,55,-1,-1,0,-1,124,-1,31.13.92.14,,180,value
20,facebook,2019-10-12T16:06:21.037+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/y6/l/he_IL/k08FUo2BmPf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23571,,,12,-1,-1,0,-1,115,-1,31.13.92.14,,128,value
21,facebook,2019-10-12T16:06:21.037+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/lWODIWSCqaV.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2484,,,1,-1,-1,0,-1,108,-1,31.13.92.14,,110,value
22,facebook,2019-10-12T16:06:21.041+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/dG4JY8oc_ui.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5790,,,3,-1,-1,0,-1,123,-1,31.13.92.14,,128,value
23,facebook,2019-10-12T16:06:21.041+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ix5D4/yR/l/he_IL/4kh6bTj4uVF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35505,,,21,-1,-1,0,-1,115,-1,31.13.92.14,,137,value
24,facebook,2019-10-12T16:06:21.041+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i-z24/y5/l/he_IL/yVqCJSIATX8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,27599,,,45,-1,-1,0,-1,104,-1,31.13.92.14,,150,value
25,facebook,2019-10-12T16:06:21.153+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iLU_4/y7/l/he_IL/jTdnzvwnIBW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,191696,,,150,-1,-1,0,-1,92,-1,31.13.92.14,,243,value
26,facebook,2019-10-12T16:06:21.170+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yV/l/he_IL/FogCEfhCZIF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6232,,,2,-1,-1,0,-1,92,-1,31.13.92.14,,96,value
27,facebook,2019-10-12T16:06:21.173+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqty4/yw/l/he_IL/nI2XSdw1B27.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34229,,,14,-1,-1,0,-1,108,-1,31.13.92.14,,123,value
28,facebook,2019-10-12T16:06:21.184+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iop94/yL/l/he_IL/MiZ5VE7zW82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14384,,,6,-1,-1,0,-1,103,-1,31.13.92.14,,110,value
29,facebook,2019-10-12T16:06:21.194+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,0,-1,144,-1,31.13.92.36,,146,
30,facebook,2019-10-12T16:06:21.197+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iI6R4/yV/l/he_IL/bhdYb1T3OBP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,31964,,,50,-1,-1,0,-1,104,-1,31.13.92.14,,155,value
31,facebook,2019-10-12T16:06:21.268+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/yo1HtzrwOlu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5319,,,5,-1,-1,0,-1,118,-1,31.13.92.14,,123,value
32,facebook,2019-10-12T16:06:21.299+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,1,-1,-1,0,-1,96,-1,31.13.92.14,,98,value
33,facebook,2019-10-12T16:06:21.299+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yR/l/he_IL/FIqOd-kqWWn.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10981,,,8,-1,-1,0,-1,100,-1,31.13.92.14,,109,value
34,facebook,2019-10-12T16:06:21.357+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/ayJdS1pEn1C.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3571,,,2,-1,-1,0,-1,104,-1,31.13.92.14,,107,value
35,facebook,2019-10-12T16:06:21.488+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,0,-1,-1,0,-1,105,-1,31.13.92.14,,106,
36,facebook,2019-10-12T16:06:22.914+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yO/l/he_IL/4sZ44L7Ayqz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11459,,,8,-1,-1,0,-1,126,-1,31.13.92.14,,135,value
37,facebook,2019-10-12T16:06:22.984+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,2561,0,0,25,131,2536,31.13.92.36,,2719,
