,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.send,timings.dns,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-08T15:49:20.571+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31814,,,253,2015,2,40,0,62,2056,31.13.92.36,,2415,,
1,facebook,2019-10-08T15:49:22.500+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/66VkRtZyUph.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41049,,,110,1369,1,32,0,81,1415,31.13.92.14,,1641,value,
2,facebook,2019-10-08T15:49:22.500+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yV/l/0,cross/mb5XQCa6Kku.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37191,,,148,1409,0,34,0,53,1446,31.13.92.14,,1683,value,
3,facebook,2019-10-08T15:49:22.500+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yR/l/0,cross/KPhCHNEGU59.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4748,,,129,1399,0,34,0,7,1444,31.13.92.14,,1617,value,
4,facebook,2019-10-08T15:49:22.515+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y_/l/0,cross/MxLvvW3TzSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,13026,,,113,1411,0,32,0,17,1456,31.13.92.14,,1622,value,
5,facebook,2019-10-08T15:49:22.515+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y6/l/0,cross/efeP_U6FZBY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,15488,,,124,1413,0,33,0,19,1459,31.13.92.14,,1636,value,
6,facebook,2019-10-08T15:49:22.515+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/3boX0SM6qqi.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3180,,,131,1425,0,33,0,0,1461,31.13.92.14,,1628,value,
7,facebook,2019-10-08T15:49:22.687+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,94,-1,0,-1,-1,2,-1,31.13.92.14,,97,value,
8,facebook,2019-10-08T15:49:22.687+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yy/l/0,cross/rskVMr-YH5L.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5298,,,96,-1,0,-1,-1,2,-1,31.13.92.14,,99,value,
9,facebook,2019-10-08T15:49:22.687+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,94,-1,0,-1,-1,74,-1,31.13.92.14,,169,value,
