,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.blocked,timings.receive,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-12T08:25:29.165+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,8229,,,-1,0,110,-1,-1,8,-1,157.240.1.23,,119,value,
19,facebook,2019-10-12T08:25:29.165+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yd/l/he_IL/et_JXsYk1k4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,16033,,,-1,0,96,-1,-1,29,-1,157.240.1.23,,125,value,
20,facebook,2019-10-12T08:25:29.166+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,7336,,,-1,0,117,-1,-1,1,-1,157.240.1.23,,119,value,
21,facebook,2019-10-12T08:25:29.292+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yF/l/he_IL/7smvGSARS54.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,38622,,,-1,0,85,-1,-1,64,-1,157.240.1.23,,150,value,
22,facebook,2019-10-12T08:25:29.293+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yl/l/he_IL/x8gSZHMRGWI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,4096,,,-1,0,82,-1,-1,3,-1,157.240.1.23,,85,value,
23,facebook,2019-10-12T08:25:29.294+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,4811,,,-1,0,86,-1,-1,2,-1,157.240.1.23,,89,value,
24,facebook,2019-10-12T08:25:29.295+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3imvB4/yk/l/he_IL/F0CGTpIzsw9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,17789,,,-1,0,88,-1,-1,39,-1,157.240.1.23,,128,value,
25,facebook,2019-10-12T08:25:29.308+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,106,-1,-1,0,-1,157.240.1.35,,108,,
26,facebook,2019-10-12T08:25:29.348+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,2394,,,-1,0,82,-1,-1,1,-1,157.240.1.23,,83,value,
27,facebook,2019-10-12T08:25:29.383+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,9944,,,-1,0,88,-1,-1,16,-1,157.240.1.23,,105,value,
28,facebook,2019-10-12T08:25:29.389+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/233ChOovuGQ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,5907,,,-1,0,97,-1,-1,2,-1,157.240.1.23,,100,value,
29,facebook,2019-10-12T08:25:29.422+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,0,112,-1,-1,0,-1,157.240.1.35,,113,,
30,facebook,2019-10-12T08:25:29.508+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,518,43,,,-1,0,93,-1,-1,0,-1,157.240.1.23,,94,,
31,facebook,2019-10-12T08:25:30.914+03:00,GET,https://cx.atdmt.com/?f=AYxaW8DJCA6ilwxto3-An8VydafBgjfiU28uSnZr_Ral9WX_RGTj7jthc_MsPkDz6Ou57WcwqTDBoy6OUGYHuSw5&c=951039718&v=1&l=2,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,85,0,133,1245,0,0,1278,157.240.1.6,,1498,value,
32,facebook,2019-10-12T08:25:32.012+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43695,,,0,0,182,2523,0,120,2562,157.240.1.35,,2866,value,
33,facebook,2019-10-12T08:25:32.212+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yw/l/0,cross/4Oi7C_BWltH.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,533,153,,,-1,0,87,-1,-1,2,-1,157.240.1.23,,90,value,
