,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.ssl,timings.dns,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-08T17:37:23.591+03:00,GET,https://www.facebook.com/,HTTP/1.1,557,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1343,31816,,,-1,-1,124,-1,-1,200,0,31.13.92.36,,325,,
1,facebook,2019-10-08T17:37:23.868+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,-1,-1,5,-1,-1,92,0,31.13.92.14,,98,value,
2,facebook,2019-10-08T17:37:23.869+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,-1,-1,27,-1,-1,97,0,31.13.92.14,,125,value,
3,facebook,2019-10-08T17:37:23.870+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,-1,-1,46,-1,-1,96,0,31.13.92.14,,143,value,
4,facebook,2019-10-08T17:37:23.889+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/dknCOPSX3x5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39755,,,-1,-1,22,-1,-1,104,0,31.13.92.14,,127,value,
5,facebook,2019-10-08T17:37:23.922+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,593,1895,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,-1,-1,0,-1,-1,132,0,31.13.92.36,,133,,
6,facebook,2019-10-08T17:37:23.981+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yI/l/0,cross/4Zixz8DG59H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11516,,,-1,-1,4,-1,-1,89,1,31.13.92.14,,94,value,
7,facebook,2019-10-08T17:37:24.012+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,-1,-1,0,-1,-1,104,0,31.13.92.14,,105,value,
8,facebook,2019-10-08T17:37:24.020+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,-1,-1,12,-1,-1,109,0,31.13.92.14,,122,value,
9,facebook,2019-10-08T17:37:24.024+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yl/l/0,cross/1n9F5652p_Q.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7655,,,-1,-1,8,-1,-1,105,0,31.13.92.14,,114,value,
10,facebook,2019-10-08T17:37:24.276+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yM/l/he_IL/UwuB0Jk9D55.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34959,,,-1,-1,71,-1,-1,110,0,31.13.92.14,,182,value,
11,facebook,2019-10-08T17:37:24.276+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/5SGT2kBEkqX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116247,,,-1,-1,107,-1,-1,139,0,31.13.92.14,,248,value,
