,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.wait,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-12T16:18:19.874+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,32183,,,0,1384,96,28,232,1346,2,31.13.92.36,,1743,,
1,facebook,2019-10-12T16:18:23.157+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yq/l/0,cross/5krYg1gjtIM.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19927,,,0,2861,65,33,112,2827,1,31.13.92.14,,3074,value,
2,facebook,2019-10-12T16:18:23.173+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/lRJiaa7vcpw.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5364,,,0,2883,21,34,130,2846,0,31.13.92.14,,3071,value,
3,facebook,2019-10-12T16:18:23.188+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,0,2892,69,37,106,2859,0,31.13.92.14,,3107,value,
4,facebook,2019-10-12T16:18:23.188+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,0,2899,27,37,113,2863,1,31.13.92.14,,3078,value,
5,facebook,2019-10-12T16:18:23.188+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/HwqQil_dmVd.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4831,,,0,2900,23,33,116,2865,0,31.13.92.14,,3075,value,
6,facebook,2019-10-12T16:18:23.204+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yP/l/0,cross/iCR114rlwJc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,17885,,,0,2906,30,33,118,2872,0,31.13.92.14,,3090,value,
7,facebook,2019-10-12T16:18:23.351+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/Zy5wvYstu6H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,8544,,,-1,-1,14,-1,116,-1,0,31.13.92.14,,131,value,
8,facebook,2019-10-12T16:18:23.351+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/nX-tdNcz3tj.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81238,,,-1,-1,160,-1,106,-1,0,31.13.92.14,,267,value,
9,facebook,2019-10-12T16:18:23.574+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,0,221,75,0,91,188,0,31.13.92.14,,389,,
10,facebook,2019-10-12T16:18:23.574+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,0,229,1,0,99,193,0,31.13.92.14,,331,,
11,facebook,2019-10-12T16:18:23.708+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yw/r/l-suYkrVcIw.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,80064,,,-1,-1,150,-1,105,-1,1,31.13.92.14,,256,,
12,facebook,2019-10-12T16:18:23.765+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y8/r/xPbeceSA7aR.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,15503,,,-1,-1,57,-1,92,-1,0,31.13.92.14,,150,,
13,facebook,2019-10-12T16:18:23.897+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,0,185,2,0,99,148,1,31.13.92.14,,289,,
14,facebook,2019-10-12T16:18:23.899+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/2JUW_O4RBU4.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,18256,,,0,166,21,0,99,145,1,31.13.92.14,,289,,
15,facebook,2019-10-12T16:18:23.923+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yo/l/he_IL/O_fKht9azy1.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99946,,,-1,-1,72,-1,110,-1,0,31.13.92.14,,183,value,
16,facebook,2019-10-12T16:18:23.923+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iDFL4/yA/l/he_IL/ZKeeFEM7Rh0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,163248,,,-1,-1,204,-1,131,-1,0,31.13.92.14,,336,value,
17,facebook,2019-10-12T16:18:23.923+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y2/r/tL-1IuxbSOs.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,52387,,,-1,-1,109,-1,118,-1,0,31.13.92.14,,228,value,
18,facebook,2019-10-12T16:18:23.923+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/5ohbmg8qQA9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,30489,,,-1,-1,51,-1,103,-1,0,31.13.92.14,,155,value,
19,facebook,2019-10-12T16:18:24.349+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/y6/l/he_IL/k08FUo2BmPf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23571,,,-1,-1,13,-1,120,-1,0,31.13.92.14,,135,value,
20,facebook,2019-10-12T16:18:24.349+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/lWODIWSCqaV.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2484,,,-1,-1,1,-1,121,-1,0,31.13.92.14,,122,value,
21,facebook,2019-10-12T16:18:24.351+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/dG4JY8oc_ui.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5790,,,-1,-1,6,-1,104,-1,0,31.13.92.14,,111,value,
