,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.ssl,timings.dns,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
23,facebook,2019-10-12T16:10:39.577+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ys/r/mWQ7ueAX0oY.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5754,,,176,0,-1,-1,2,-1,-1,31.13.92.14,,179,value,
24,facebook,2019-10-12T16:10:39.711+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yw/l/he_IL/-eqlaODzE8I.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6217,,,98,0,-1,-1,3,-1,-1,31.13.92.14,,102,value,
25,facebook,2019-10-12T16:10:39.711+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iLU_4/y1/l/he_IL/qH31EnYY7Iq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,191593,,,100,0,-1,-1,111,-1,-1,31.13.92.14,,212,value,
26,facebook,2019-10-12T16:10:39.763+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqty4/yL/l/he_IL/g7vSSzA2nKh.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34121,,,109,0,-1,-1,20,-1,-1,31.13.92.14,,130,value,
27,facebook,2019-10-12T16:10:39.766+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iop94/yH/l/he_IL/RPBHgYyeirq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14341,,,95,0,-1,-1,27,-1,-1,31.13.92.14,,123,value,
28,facebook,2019-10-12T16:10:39.771+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iI6R4/yF/l/he_IL/XJKDMvfVahn.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,31895,,,105,0,-1,-1,29,-1,-1,31.13.92.14,,136,value,
29,facebook,2019-10-12T16:10:39.823+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yH/l/he_IL/-ky5JgleyuC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45848,,,103,0,-1,-1,74,-1,-1,31.13.92.14,,177,value,
30,facebook,2019-10-12T16:10:39.856+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,103,0,-1,-1,1,-1,-1,157.240.1.35,,105,,
31,facebook,2019-10-12T16:10:39.894+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/XT3rtN-i0ND.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5273,,,92,0,-1,-1,3,-1,-1,31.13.92.14,,96,value,
32,facebook,2019-10-12T16:10:39.900+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/v4WgC_pJT9B.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2375,,,106,0,-1,-1,1,-1,-1,31.13.92.14,,108,value,
