,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.ssl,timings.wait,timings.dns,timings.send,serverIPAddress,comment,time,response._error
0,facebook,2019-10-08T19:49:01.207+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=PageTransitions%2CCSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5mWyWzEjy9uC1swgE98nwgU6C7UW3q327E2vwXx61rwf24o3Bw5VCwjE3awbG789U2NwlU5ufz81sbzo5-0me220qu0L8uw&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267363&__s=%3Asat44p%3Ady9eob&__hsi=6745479592013876491-0&__spin_r=1001267363&__spin_b=trunk&__spin_t=1570554355,HTTP/1.1,value,839,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1159,1918,,,1,-1,-1,-1,116,-1,0,31.13.92.36,,118,
1,facebook,2019-10-08T19:49:01.329+03:00,GET,https://www.facebook.com/,HTTP/1.1,,557,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1343,31853,,,152,-1,-1,-1,199,-1,0,31.13.92.36,,352,
2,facebook,2019-10-08T19:49:01.626+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,594,29800,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,143,0,118,222,0,11,31.13.92.36,,378,
3,facebook,2019-10-08T19:49:01.649+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/dknCOPSX3x5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39755,,,13,-1,-1,-1,102,-1,0,31.13.92.14,,117,
4,facebook,2019-10-08T19:49:01.650+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,3,-1,-1,-1,82,-1,0,31.13.92.14,,86,
5,facebook,2019-10-08T19:49:01.650+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,15,-1,-1,-1,84,-1,0,31.13.92.14,,100,
6,facebook,2019-10-08T19:49:01.652+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,14,-1,-1,-1,102,-1,0,31.13.92.14,,117,
7,facebook,2019-10-08T19:49:01.657+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,,533,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,-1,-1,-1,108,-1,0,31.13.92.36,,109,
8,facebook,2019-10-08T19:49:01.670+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yI/l/0,cross/4Zixz8DG59H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11516,,,6,-1,-1,-1,104,-1,0,31.13.92.14,,112,
9,facebook,2019-10-08T19:49:01.686+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,2118,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1309,0,,,0,-1,-1,-1,105,-1,0,31.13.92.36,,106,
10,facebook,2019-10-08T19:49:01.740+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,29,-1,-1,-1,97,-1,0,31.13.92.14,,128,
11,facebook,2019-10-08T19:49:01.757+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yl/l/0,cross/1n9F5652p_Q.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7655,,,4,-1,-1,-1,97,-1,0,31.13.92.14,,102,
12,facebook,2019-10-08T19:49:01.913+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,8,-1,-1,-1,88,-1,0,31.13.92.14,,96,
13,facebook,2019-10-08T19:49:02.083+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,70,-1,-1,-1,95,-1,0,31.13.92.14,,165,
