,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.send,timings.connect,timings.receive,timings.blocked,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
37,facebook,2019-10-12T15:36:45.271+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yO/l/he_IL/4sZ44L7Ayqz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11459,,,-1,119,0,-1,6,-1,-1,31.13.92.14,,127,value,
38,facebook,2019-10-12T15:36:45.349+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,3204,131,0,3231,0,0,0,31.13.92.36,,3365,,
39,facebook,2019-10-12T15:36:46.444+03:00,GET,https://cx.atdmt.com/?f=AYyVKkLP3FjY-50uM36DRsLaKkjE3wmNzOWo_v7MzDPcYMQ83IPm5OamK8MCAWu3KuMt5DxlFtTvH1jqjiCeK5FC&c=1440245696&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,537,42,,,3052,163,0,3087,0,0,20,31.13.92.2,,3272,value,
40,facebook,2019-10-12T15:36:46.679+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44517,,,3461,239,0,3498,118,0,0,31.13.92.36,,3858,value,
41,facebook,2019-10-12T15:36:46.975+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,104,0,-1,0,-1,-1,31.13.92.14,,106,value,
42,facebook,2019-10-12T15:36:46.975+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,-1,100,1,-1,25,-1,-1,31.13.92.14,,127,value,
43,facebook,2019-10-12T15:36:46.978+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,-1,92,0,-1,5,-1,-1,31.13.92.14,,99,value,
44,facebook,2019-10-12T15:36:46.980+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,141,99,1,169,111,0,0,31.13.92.14,,381,value,
45,facebook,2019-10-12T15:36:47.569+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,566,112,0,601,2,0,0,172.217.18.4,,718,,
46,facebook,2019-10-12T15:36:47.791+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yG/l/he_IL/C2rdfnuuzwM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99772,,,-1,126,0,-1,77,-1,-1,31.13.92.14,,204,value,
