,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.ssl,timings.send,timings.wait,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-12T15:34:36.636+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/5ohbmg8qQA9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,30489,,,-1,-1,0,94,43,-1,-1,31.13.92.14,,138,value,
19,facebook,2019-10-12T15:34:36.984+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/y6/l/he_IL/k08FUo2BmPf.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,23571,,,-1,-1,0,101,15,-1,-1,31.13.92.14,,118,value,
20,facebook,2019-10-12T15:34:36.984+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/lWODIWSCqaV.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2484,,,-1,-1,0,116,2,-1,-1,31.13.92.14,,119,value,
21,facebook,2019-10-12T15:34:36.987+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/dG4JY8oc_ui.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5790,,,-1,-1,0,116,3,-1,-1,31.13.92.14,,120,value,
22,facebook,2019-10-12T15:34:36.987+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ix5D4/yR/l/he_IL/4kh6bTj4uVF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,35505,,,-1,-1,0,114,72,-1,-1,31.13.92.14,,188,value,
23,facebook,2019-10-12T15:34:36.987+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i-z24/y5/l/he_IL/yVqCJSIATX8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,27599,,,-1,-1,0,111,37,-1,-1,31.13.92.14,,149,value,
24,facebook,2019-10-12T15:34:37.106+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iLU_4/y7/l/he_IL/jTdnzvwnIBW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,191696,,,-1,-1,0,94,102,-1,-1,31.13.92.14,,197,value,
25,facebook,2019-10-12T15:34:37.106+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iO1G4/yV/l/he_IL/FogCEfhCZIF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,6232,,,-1,-1,0,114,3,-1,-1,31.13.92.14,,118,value,
26,facebook,2019-10-12T15:34:37.106+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqty4/yw/l/he_IL/nI2XSdw1B27.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34229,,,-1,-1,0,121,14,-1,-1,31.13.92.14,,135,value,
27,facebook,2019-10-12T15:34:37.138+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iop94/yL/l/he_IL/MiZ5VE7zW82.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14384,,,-1,-1,0,101,7,-1,-1,31.13.92.14,,110,value,
28,facebook,2019-10-12T15:34:37.149+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,136,0,-1,-1,31.13.92.36,,138,,
29,facebook,2019-10-12T15:34:37.179+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iI6R4/yV/l/he_IL/bhdYb1T3OBP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,31964,,,-1,-1,0,109,21,-1,-1,31.13.92.14,,131,value,
30,facebook,2019-10-12T15:34:37.238+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yG/l/he_IL/ODcLV4MNLuC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,45898,,,-1,-1,0,97,18,-1,-1,31.13.92.14,,116,value,
31,facebook,2019-10-12T15:34:37.256+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/yo1HtzrwOlu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5319,,,-1,-1,0,95,3,-1,-1,31.13.92.14,,99,value,
32,facebook,2019-10-12T15:34:37.256+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,-1,-1,0,106,1,-1,-1,31.13.92.14,,108,value,
33,facebook,2019-10-12T15:34:37.315+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yR/l/he_IL/FIqOd-kqWWn.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,10981,,,-1,-1,0,101,6,-1,-1,31.13.92.14,,108,value,
34,facebook,2019-10-12T15:34:37.318+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,-1,0,124,0,-1,-1,31.13.92.36,,126,,
35,facebook,2019-10-12T15:34:37.320+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/ayJdS1pEn1C.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,3571,,,-1,-1,0,91,3,-1,-1,31.13.92.14,,95,value,
36,facebook,2019-10-12T15:34:37.468+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,-1,0,105,0,-1,-1,31.13.92.14,,106,,
37,facebook,2019-10-12T15:34:39.991+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yO/l/he_IL/4sZ44L7Ayqz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,11459,,,-1,-1,0,119,5,-1,-1,31.13.92.14,,125,value,
38,facebook,2019-10-12T15:34:40.038+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,3694,0,126,0,3714,0,31.13.92.36,,3842,,
39,facebook,2019-10-12T15:34:40.518+03:00,GET,https://cx.atdmt.com/?f=AYyzx-aKOuJ76PVjSXmwKEzDJ4LSxg7_br7hIVBYkEi-JZALwskCbXW5RLvwx-37YRBFKDKWWXURX2t5Q6JpYzo2&c=1672099620&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,536,42,,,22,2996,0,137,0,3027,0,31.13.92.2,,3188,value,
40,facebook,2019-10-12T15:34:41.258+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44525,,,28,3862,0,235,138,3892,0,31.13.92.36,,4296,value,
41,facebook,2019-10-12T15:34:41.523+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,-1,-1,1,110,5,-1,-1,31.13.92.14,,117,value,
42,facebook,2019-10-12T15:34:41.524+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y2/l/0,cross/h79YO-15mYX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39382,,,-1,-1,1,123,68,-1,-1,31.13.92.14,,193,value,
43,facebook,2019-10-12T15:34:41.524+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y4/l/0,cross/V27Eh7Ae0G5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,12847,,,-1,-1,0,108,15,-1,-1,31.13.92.14,,125,value,
44,facebook,2019-10-12T15:34:41.526+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/sPuijSQIjpP.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80884,,,-1,-1,0,98,90,-1,-1,31.13.92.14,,189,value,
45,facebook,2019-10-12T15:34:42.601+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1,1041,0,97,0,1084,0,172.217.18.4,,1185,,
46,facebook,2019-10-12T15:34:42.803+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yG/l/he_IL/C2rdfnuuzwM.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,99772,,,-1,-1,0,125,114,-1,-1,31.13.92.14,,240,value,
