,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.wait,timings.send,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-08T18:25:22.703+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/y7/l/he_IL/rwgfXsuKsef.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60480,,,-1,103,0,-1,-1,144,-1,31.13.92.14,,248,value,
19,facebook,2019-10-08T18:25:25.753+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/y4/l/he_IL/V6m9_fjueG0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136839,,,-1,121,0,-1,-1,126,-1,31.13.92.14,,249,value,
20,facebook,2019-10-08T18:25:25.797+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,136,0,3423,3453,0,0,31.13.92.36,,3592,,
21,facebook,2019-10-08T18:25:26.070+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yO/l/he_IL/cTadSWTe1xu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14075,,,-1,133,0,-1,-1,0,-1,31.13.92.14,,135,value,
22,facebook,2019-10-08T18:25:26.070+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yb/l/he_IL/kj6y7WsGkvS.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47039,,,-1,135,0,-1,-1,21,-1,31.13.92.14,,157,value,
23,facebook,2019-10-08T18:25:26.073+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16614,,,-1,97,0,-1,-1,24,-1,31.13.92.14,,122,value,
24,facebook,2019-10-08T18:25:26.073+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,-1,104,0,-1,-1,14,-1,31.13.92.14,,119,value,
25,facebook,2019-10-08T18:25:26.073+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/y7/l/he_IL/81-faHRzwnD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65838,,,-1,120,0,-1,-1,105,-1,31.13.92.14,,226,value,
26,facebook,2019-10-08T18:25:26.074+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,-1,103,0,-1,-1,23,-1,31.13.92.14,,127,value,
27,facebook,2019-10-08T18:25:26.218+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ioCg4/y8/l/he_IL/AK56KEQ3_Bu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,142975,,,-1,121,0,-1,-1,156,-1,31.13.92.14,,278,value,
