,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.ssl,timings.send,timings.wait,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-08T18:24:38.655+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/y7/l/he_IL/rwgfXsuKsef.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60480,,,110,-1,-1,-1,0,102,-1,31.13.92.14,,213,value,
19,facebook,2019-10-08T18:24:38.656+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/y4/l/he_IL/V6m9_fjueG0.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136839,,,136,-1,-1,-1,0,111,-1,31.13.92.14,,248,value,
20,facebook,2019-10-08T18:24:40.872+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,490,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,0,2462,0,2435,1,151,0,31.13.92.36,,2616,,
21,facebook,2019-10-08T18:24:40.886+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yO/l/he_IL/cTadSWTe1xu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,14075,,,23,-1,-1,-1,0,86,-1,31.13.92.14,,110,value,
22,facebook,2019-10-08T18:24:40.887+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yb/l/he_IL/kj6y7WsGkvS.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47039,,,45,-1,-1,-1,0,99,-1,31.13.92.14,,145,value,
23,facebook,2019-10-08T18:24:40.888+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16614,,,15,-1,-1,-1,0,121,-1,31.13.92.14,,137,value,
24,facebook,2019-10-08T18:24:40.888+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,11,-1,-1,-1,0,93,-1,31.13.92.14,,106,value,
25,facebook,2019-10-08T18:24:40.889+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,10,-1,-1,-1,0,106,-1,31.13.92.14,,117,value,
26,facebook,2019-10-08T18:24:40.890+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iPY24/y7/l/he_IL/81-faHRzwnD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,65838,,,128,-1,-1,-1,0,124,-1,31.13.92.14,,252,value,
27,facebook,2019-10-08T18:24:41.037+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ioCg4/y8/l/he_IL/AK56KEQ3_Bu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,142975,,,104,-1,-1,-1,0,150,-1,31.13.92.14,,255,value,
28,facebook,2019-10-08T18:24:41.040+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yc/l/he_IL/8iTMPaoUOuX.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38982,,,78,-1,-1,-1,0,98,-1,31.13.92.14,,177,value,
29,facebook,2019-10-08T18:24:41.042+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ibNQ4/yK/l/he_IL/P-rYuj18Ljt.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,149337,,,133,-1,-1,-1,0,115,-1,31.13.92.14,,250,value,
30,facebook,2019-10-08T18:24:41.042+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,2,-1,-1,-1,0,143,-1,31.13.92.14,,145,value,
31,facebook,2019-10-08T18:24:41.042+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iuJQ4/yS/l/he_IL/32nqR03ZYGl.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,9944,,,1,-1,-1,-1,0,169,-1,31.13.92.14,,171,value,
32,facebook,2019-10-08T18:24:41.054+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,0,-1,-1,-1,0,177,-1,31.13.92.36,,178,,
33,facebook,2019-10-08T18:24:41.147+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yS/r/NTJlxSdoH1s.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,5737,,,6,-1,-1,-1,0,116,-1,31.13.92.14,,124,value,
34,facebook,2019-10-08T18:24:41.272+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,1,-1,-1,-1,0,126,-1,31.13.92.36,,128,,
35,facebook,2019-10-08T18:24:41.355+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,1,-1,-1,-1,0,87,-1,31.13.92.14,,89,,
36,facebook,2019-10-08T18:24:43.572+03:00,GET,https://cx.atdmt.com/?f=AYyhxjrchrDCGG-UubZBii5EryXge5Lvr-3XOLar-3GkIGbPDPuBdBZTl6-GauOUnhUgHJb8alkl7suHOdquBE0r&c=1168561709&v=1&l=2,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/gif,,,539,42,,,0,2035,0,1999,0,136,27,31.13.92.2,,2200,value,
37,facebook,2019-10-08T18:24:44.654+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,44048,,,139,3149,0,3119,0,217,0,31.13.92.36,,3507,value,
38,facebook,2019-10-08T18:24:44.922+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y7/l/0,cross/GpEMsEYd5bN.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,131,,,2,-1,-1,-1,0,103,-1,31.13.92.14,,106,value,
39,facebook,2019-10-08T18:24:44.923+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,7,-1,-1,-1,1,108,-1,31.13.92.14,,116,value,
40,facebook,2019-10-08T18:24:44.923+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,152,151,0,124,0,104,0,31.13.92.14,,409,value,
41,facebook,2019-10-08T18:24:44.955+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,59,-1,-1,-1,2,91,-1,31.13.92.14,,153,value,
42,facebook,2019-10-08T18:24:46.740+03:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,465,,,1,1787,0,1760,0,110,30,172.217.18.4,,1931,,
43,facebook,2019-10-08T18:24:46.965+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yd/l/he_IL/K4kWuIajIRI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,13966,,,42,-1,-1,-1,0,99,-1,31.13.92.14,,141,value,
44,facebook,2019-10-08T18:24:46.966+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/OJpt53iffhD.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,595,698,,,1,-1,-1,-1,0,155,-1,31.13.92.14,,156,value,
45,facebook,2019-10-08T18:24:46.967+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iRGa4/yy/l/he_IL/Tm7pOcGUOJE.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,34889,,,19,-1,-1,-1,0,159,-1,31.13.92.14,,179,value,
46,facebook,2019-10-08T18:24:46.967+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iG1l4/yT/l/he_IL/-qqmNZNEdNz.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,60318,,,156,-1,-1,-1,0,95,-1,31.13.92.14,,252,value,
47,facebook,2019-10-08T18:24:46.967+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/xPQp8ix7SAq.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,116166,,,189,154,0,135,0,141,0,31.13.92.14,,487,value,
48,facebook,2019-10-08T18:24:47.114+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqx84/yv/l/he_IL/0t3jLr4PPfg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,136441,,,87,-1,-1,-1,1,87,-1,31.13.92.14,,175,value,
49,facebook,2019-10-08T18:24:47.153+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/y3/l/he_IL/jugMn1Z8HH5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38860,,,19,-1,-1,-1,0,105,-1,31.13.92.14,,125,value,
50,facebook,2019-10-08T18:24:48.280+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,142,1400,0,1366,0,95,1,172.217.22.35,,1640,,
51,facebook,2019-10-08T18:24:48.541+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=1jhbyowd4l0p,HTTP/1.1,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9554,,,34,-1,-1,-1,0,108,-1,172.217.18.4,,143,value,
52,facebook,2019-10-08T18:24:48.690+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,55,-1,-1,-1,0,96,-1,172.217.22.35,,152,,
53,facebook,2019-10-08T18:24:48.847+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,94031,,,59,-1,-1,-1,0,79,-1,172.217.22.35,,139,,
54,facebook,2019-10-08T18:24:49.016+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5306,,,5,-1,-1,-1,0,84,-1,172.217.18.4,,90,,
55,facebook,2019-10-08T18:24:49.110+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=mm3wjzfnafhm,HTTP/1.1,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1124,,,3,-1,-1,-1,0,98,-1,172.217.18.4,,101,value,
56,facebook,2019-10-08T18:24:49.155+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,1,135,0,112,0,102,0,172.217.18.4,,240,value,
57,facebook,2019-10-08T18:24:49.276+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001267097&__s=rye05j%3Ae68cec%3Aw41veu&__hsi=6745457954265268388-0&__spin_r=1001267097&__spin_b=trunk&__spin_t=1570549317,HTTP/1.1,825,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,-1,0,0,-1,31.13.92.36,,0,value,No response received
58,facebook,2019-10-08T18:24:49.289+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,459,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,-1,0,0,-1,172.217.22.35,,0,,No response received
