,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.ssl,timings.dns,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-08T20:02:52.351+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,31916,,,3,219,1403,69,0,1439,91,31.13.92.36,,1823,,
1,facebook,2019-10-08T20:02:53.786+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ya/l/0,cross/dknCOPSX3x5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39755,,,0,119,998,31,0,1030,68,31.13.92.14,,1250,value,
2,facebook,2019-10-08T20:02:53.808+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,0,101,1019,28,0,1052,18,31.13.92.14,,1200,value,
3,facebook,2019-10-08T20:02:53.808+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/Y0WQvwq6sLY.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19296,,,0,121,1021,30,0,1052,23,31.13.92.14,,1229,value,
4,facebook,2019-10-08T20:02:53.816+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yA/l/0,cross/3SwmnDAAzzC.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36688,,,0,133,1025,29,0,1061,38,31.13.92.14,,1263,value,
5,facebook,2019-10-08T20:02:53.820+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yI/l/0,cross/4Zixz8DG59H.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11516,,,0,129,1033,27,0,1065,1,31.13.92.14,,1225,value,
6,facebook,2019-10-08T20:02:53.822+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,0,104,1031,30,0,1066,13,31.13.92.14,,1215,value,
7,facebook,2019-10-08T20:02:53.953+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,0,85,-1,-1,-1,-1,32,31.13.92.14,,118,value,
8,facebook,2019-10-08T20:02:53.969+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yl/l/0,cross/1n9F5652p_Q.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7655,,,0,96,-1,-1,-1,-1,12,31.13.92.14,,109,value,
9,facebook,2019-10-08T20:02:53.969+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/RE9sbanJiK5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80583,,,0,105,-1,-1,-1,-1,149,31.13.92.14,,256,value,
