,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.wait,timings.ssl,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,response._error
0,facebook,2019-10-04T16:23:05.600+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001255768&__s=%3Ayntdxk%3Ajy7n72&__hsi=6743942166684124051-0&__spin_r=1001255768&__spin_b=trunk&__spin_t=1570196395,HTTP/1.1,value,819,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1191,1086,,,-1,0,108,-1,-1,-1,0,157.240.1.35,,110,
1,facebook,2019-10-04T16:23:05.716+03:00,GET,https://www.facebook.com/,HTTP/1.1,,557,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1375,31867,,,-1,0,174,-1,-1,-1,185,157.240.1.35,,361,
2,facebook,2019-10-04T16:23:05.820+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,590,3263,,0,,unknown,0,,,,-1,-1,,,0,1,0,101,0,192,0,157.240.1.35,,194,No response received
3,facebook,2019-10-04T16:23:05.918+03:00,POST,https://www.facebook.com/ajax/bz,HTTP/1.1,,593,1894,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1341,0,,,0,2,107,94,0,185,0,157.240.1.35,,296,
4,facebook,2019-10-04T16:23:05.954+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ye/l/0,cross/ovYa_VLUwxs.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41073,,,-1,0,91,-1,-1,-1,32,157.240.1.23,,124,
5,facebook,2019-10-04T16:23:05.957+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/y9/l/0,cross/hEWw67cimD4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,4746,,,-1,0,93,-1,-1,-1,2,157.240.1.23,,95,
6,facebook,2019-10-04T16:23:05.957+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yc/l/0,cross/GKC0M91mcSr.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36675,,,-1,0,97,-1,-1,-1,192,157.240.1.23,,290,
7,facebook,2019-10-04T16:23:05.958+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/8xikMkJaS9q.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,13081,,,-1,0,109,-1,-1,-1,4,157.240.1.23,,114,
8,facebook,2019-10-04T16:23:05.958+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/5bTWD5cyUZn.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16784,,,-1,0,102,-1,-1,-1,6,157.240.1.23,,109,
9,facebook,2019-10-04T16:23:06.057+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/WiVUVeYVBNp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1089,,,-1,0,115,-1,-1,-1,1,157.240.1.23,,117,
10,facebook,2019-10-04T16:23:06.076+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yk/l/0,cross/8pSX35veXt5.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5297,,,-1,0,95,-1,-1,-1,8,157.240.1.23,,104,
11,facebook,2019-10-04T16:23:06.081+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/PGa3QQHwsTy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80543,,,-1,0,98,-1,-1,-1,136,157.240.1.23,,236,
12,facebook,2019-10-04T16:23:08.444+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yM/l/0,cross/-zy6OvBY62a.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,3058,,,-1,0,89,-1,-1,-1,2,157.240.1.23,,92,
13,facebook,2019-10-04T16:23:08.445+03:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,,533,0,,200,OK,HTTP/1.1,0,image/gif,,,1333,48,,,-1,0,104,-1,-1,-1,0,157.240.1.35,,106,
14,facebook,2019-10-04T16:23:08.764+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yk/l/he_IL/Gh7ayJsQoP9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,343932,,,-1,0,94,-1,-1,-1,927,157.240.1.23,,1022,
15,facebook,2019-10-04T16:23:08.766+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yM/l/0,cross/6UXqTaA54Jp.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5226,,,-1,0,88,-1,-1,-1,3,157.240.1.23,,92,
16,facebook,2019-10-04T16:23:10.044+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1093,55,,,-1,0,104,-1,-1,-1,0,157.240.1.35,,105,
17,facebook,2019-10-04T16:23:10.157+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,,657,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1093,55,,,-1,0,103,-1,-1,-1,0,157.240.1.35,,104,
18,facebook,2019-10-04T16:23:10.284+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,,413,0,,200,OK,HTTP/1.1,0,image/gif,,,519,43,,,-1,0,115,-1,-1,-1,0,157.240.1.23,,116,
19,facebook,2019-10-04T16:23:10.424+03:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,value,586,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1219,43304,,,-1,0,181,-1,-1,-1,93,157.240.1.35,,275,
20,facebook,2019-10-04T16:23:10.426+03:00,GET,https://cx.atdmt.com/?f=AYxvcGWvqrNyYI_gwIoR-mqOHQlGv1c-Hc77idQQC9zwViLTztyDkh-pN86PRIy8AmvcYt8MzwZiVfXsozJbvWMv&c=840455290&v=1&l=2,HTTP/1.1,value,651,0,,200,OK,HTTP/1.1,0,image/gif,,,389,42,,,-1,0,127,-1,-1,-1,0,157.240.1.6,,128,
21,facebook,2019-10-04T16:23:10.647+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/bfvR9xuXjag.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,534,164,,,-1,0,89,-1,-1,-1,0,157.240.1.23,,90,
22,facebook,2019-10-04T16:23:10.648+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yc/l/0,cross/GKC0M91mcSr.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,36675,,,-1,0,90,-1,-1,-1,12,157.240.1.23,,103,
23,facebook,2019-10-04T16:23:10.649+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,468,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,94031,,,34,0,66,2889,0,2953,283,172.217.21.195,,3339,
24,facebook,2019-10-04T16:23:10.740+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ye/l/0,cross/ovYa_VLUwxs.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,value,485,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,41073,,,-1,0,90,-1,-1,-1,45,157.240.1.23,,137,
25,facebook,2019-10-04T16:23:10.757+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/PGa3QQHwsTy.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,80543,,,-1,0,93,-1,-1,-1,55,157.240.1.23,,149,
26,facebook,2019-10-04T16:23:11.102+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yP/r/xySBihMJacJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,461,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2466,,,-1,0,94,-1,-1,-1,0,157.240.1.23,,95,
27,facebook,2019-10-04T16:23:11.102+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iunM4/yk/l/he_IL/Gh7ayJsQoP9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,343932,,,-1,0,96,-1,-1,-1,215,157.240.1.23,,313,
28,facebook,2019-10-04T16:23:11.102+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iQHc4/yW/l/he_IL/m-GTBAlVqAU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,22677,,,16,0,88,245,0,333,101,157.240.1.23,,540,
29,facebook,2019-10-04T16:23:11.156+03:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&size=normal&cb=kp5qafdczlkh,HTTP/1.1,value,722,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,9734,,,-1,0,102,-1,-1,-1,10,216.58.205.228,,114,
30,facebook,2019-10-04T16:23:11.274+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,575,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,0,70,-1,-1,-1,79,172.217.21.195,,150,
31,facebook,2019-10-04T16:23:11.423+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,561,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,94031,,,0,1,76,71,0,142,302,172.217.21.195,,522,
32,facebook,2019-10-04T16:23:11.840+03:00,GET,https://www.google.com/js/bg/SYFE8HXf9-G0ubHoDgAksvOZrafCUQzClDxzbSmfkZk.js,HTTP/1.1,,553,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5306,,,-1,0,64,-1,-1,-1,7,216.58.205.228,,72,
33,facebook,2019-10-04T16:23:11.915+03:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe,HTTP/1.1,value,565,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,467,112,,,-1,0,73,-1,-1,-1,1,216.58.205.228,,75,
34,facebook,2019-10-04T16:23:11.986+03:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=Zy-zVXWdnDW6AUZkKlojAKGe&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=pxan9ffg5uo1,HTTP/1.1,value,673,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,708,1123,,,0,1,77,71,0,141,1,216.58.205.228,,221,
35,facebook,2019-10-04T16:23:12.499+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/styles__ltr.css,HTTP/1.1,,526,0,,200,OK,HTTP/1.1,0,text/css,,,508,91705,,,-1,0,65,-1,-1,-1,104,172.217.21.195,,170,
36,facebook,2019-10-04T16:23:12.569+03:00,GET,https://www.gstatic.com/recaptcha/releases/Zy-zVXWdnDW6AUZkKlojAKGe/recaptcha__en.js,HTTP/1.1,,459,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,94031,,,-1,0,86,-1,-1,-1,36,172.217.21.195,,122,
37,facebook,2019-10-04T16:23:12.756+03:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswDwb61nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__be=1&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001255768&__s=tj6phx%3Ayntdxk%3Axvpjs4&__hsi=6743942291328636602-0&__spin_r=1001255768&__spin_b=trunk&__spin_t=1570196424,HTTP/1.1,value,825,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,-1,0,157.240.1.35,,0,No response received
