,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.receive,timings.blocked,timings.connect,timings.dns,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-11T13:16:30.646+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,32082,,,3098,262,80,0,3139,86,2,157.240.1.35,,3572,,
1,facebook,2019-10-11T13:16:32.089+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yC/l/0,cross/QiGaG5SO1ek.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39821,,,955,127,65,0,974,24,1,157.240.1.23,,1193,value,
2,facebook,2019-10-11T13:16:32.096+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,954,101,13,0,981,24,1,157.240.1.23,,1122,value,
3,facebook,2019-10-11T13:16:32.112+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,969,92,69,0,995,26,0,157.240.1.23,,1185,value,
4,facebook,2019-10-11T13:16:32.112+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,968,109,25,0,996,27,1,157.240.1.23,,1160,value,
5,facebook,2019-10-11T13:16:32.122+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yC/l/0,cross/AK636sa_L-v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11560,,,979,104,16,0,1006,24,0,157.240.1.23,,1152,value,
6,facebook,2019-10-11T13:16:32.132+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,998,110,0,0,1016,26,0,157.240.1.23,,1155,value,
7,facebook,2019-10-11T13:16:32.262+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,-1,83,31,-1,-1,-1,0,157.240.1.23,,115,value,
8,facebook,2019-10-11T13:16:32.267+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7673,,,-1,109,1,-1,-1,-1,0,157.240.1.23,,112,value,
9,facebook,2019-10-11T13:16:32.267+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/qK5lHUCv_Rg.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,81210,,,-1,86,109,-1,-1,-1,0,157.240.1.23,,196,value,
10,facebook,2019-10-11T13:16:32.474+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/OBaVg52wtTZ.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,522,42565,,,175,80,72,0,201,0,0,157.240.1.23,,356,,
11,facebook,2019-10-11T13:16:32.484+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/gif,,,520,522,,,184,101,1,0,202,0,0,157.240.1.23,,306,,
12,facebook,2019-10-11T13:16:32.591+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yi/r/2tvAYrYMCo_.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,523,106343,,,-1,91,147,-1,-1,-1,0,157.240.1.23,,239,,
13,facebook,2019-10-11T13:16:32.631+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y0/r/sYjVk3a2G-V.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,14105,,,-1,94,5,-1,-1,-1,0,157.240.1.23,,101,,
14,facebook,2019-10-11T13:16:32.736+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,521,1163,,,-1,80,1,-1,-1,-1,0,157.240.1.23,,82,,
15,facebook,2019-10-11T13:16:32.757+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yR/r/MIuDhEQuQsY.png,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,image/png,,,522,17094,,,131,95,67,0,163,0,1,157.240.1.23,,326,,
16,facebook,2019-10-11T13:16:32.876+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iMww4/yY/l/he_IL/W4cLvXLCMX5.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,348502,,,-1,96,173,-1,-1,-1,0,157.240.1.23,,271,value,
17,facebook,2019-10-11T13:16:33.307+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/yB/l/he_IL/H40LCujyL58.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17349,,,-1,89,9,-1,-1,-1,0,157.240.1.23,,99,value,
18,facebook,2019-10-11T13:16:33.307+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47070,,,-1,102,80,-1,-1,-1,0,157.240.1.23,,183,value,
19,facebook,2019-10-11T13:16:33.308+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/qiZUxJ7fKy8.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16614,,,-1,94,6,-1,-1,-1,0,157.240.1.23,,101,value,
20,facebook,2019-10-11T13:16:33.309+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,-1,106,0,-1,-1,-1,0,157.240.1.23,,107,value,
21,facebook,2019-10-11T13:16:33.309+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yd/l/he_IL/et_JXsYk1k4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16033,,,-1,95,47,-1,-1,-1,0,157.240.1.23,,144,value,
22,facebook,2019-10-11T13:16:33.418+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yw/l/he_IL/1TNVRo_j9oZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38648,,,-1,96,16,-1,-1,-1,0,157.240.1.23,,114,value,
23,facebook,2019-10-11T13:16:33.419+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yl/l/he_IL/x8gSZHMRGWI.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4096,,,-1,100,2,-1,-1,-1,0,157.240.1.23,,103,value,
24,facebook,2019-10-11T13:16:33.423+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4811,,,-1,104,0,-1,-1,-1,0,157.240.1.23,,105,value,
25,facebook,2019-10-11T13:16:33.438+03:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,649,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1354,55,,,-1,167,0,-1,-1,-1,0,157.240.1.35,,169,,
