,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.ssl,timings.wait,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,facebook,2019-10-11T13:15:07.548+03:00,GET,https://www.facebook.com/,HTTP/1.1,420,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1504,21627,,,2,1,1218,154,2542,41,0,157.240.1.35,,2741,,
1,facebook,2019-10-11T13:15:08.885+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yC/l/0,cross/QiGaG5SO1ek.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,39821,,,1,0,981,106,1019,71,0,157.240.1.23,,1199,value,
2,facebook,2019-10-11T13:15:08.889+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yT/l/0,cross/tv6IjxxKVqX.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5428,,,1,0,990,106,1024,15,0,157.240.1.23,,1147,value,
3,facebook,2019-10-11T13:15:08.889+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yG/l/0,cross/UBVbWsrwWm4.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,37009,,,1,0,982,132,1020,52,0,157.240.1.23,,1206,value,
4,facebook,2019-10-11T13:15:08.899+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/ym/l/0,cross/CxL8unsLEBL.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,19280,,,0,0,995,121,1033,17,0,157.240.1.23,,1174,value,
5,facebook,2019-10-11T13:15:08.903+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yC/l/0,cross/AK636sa_L-v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,11560,,,0,1,1007,86,1043,55,0,157.240.1.23,,1187,value,
6,facebook,2019-10-11T13:15:08.906+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yJ/l/0,cross/b0zD_QTiHWR.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,1964,,,0,0,1002,115,1039,0,0,157.240.1.23,,1156,value,
7,facebook,2019-10-11T13:15:09.042+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yj/l/0,cross/tZgLnWnipSD.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,7673,,,1,-1,-1,93,-1,3,-1,157.240.1.23,,98,value,
8,facebook,2019-10-11T13:15:09.043+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yK/l/0,cross/eBbkeWhoRzc.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,580,5578,,,0,-1,-1,83,-1,3,-1,157.240.1.23,,88,value,
9,facebook,2019-10-11T13:15:09.047+03:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yh/l/0,cross/BGJY2CNw49v.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,581,16994,,,0,-1,-1,87,-1,31,-1,157.240.1.23,,120,value,
