,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
18,facebook,2019-10-11T13:29:03.653+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iKo94/y5/l/he_IL/oCzfxaJWeI7.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,17358,,,18,-1,-1,-1,0,106,-1,157.240.1.23,,125,value,
19,facebook,2019-10-11T13:29:03.654+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iV7J4/yg/l/he_IL/IUpCV4PbO1k.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,47070,,,90,-1,-1,-1,0,101,-1,157.240.1.23,,192,value,
20,facebook,2019-10-11T13:29:03.655+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ya/r/W9D9bG0TcGJ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16635,,,25,-1,-1,-1,0,94,-1,157.240.1.23,,120,value,
21,facebook,2019-10-11T13:29:03.656+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/LT-1HjtH4sU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,8229,,,12,-1,-1,-1,0,92,-1,157.240.1.23,,105,value,
22,facebook,2019-10-11T13:29:03.657+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i6Rg4/yF/l/he_IL/aTx0KAcULDC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,16069,,,30,-1,-1,-1,0,109,-1,157.240.1.23,,140,value,
23,facebook,2019-10-11T13:29:03.659+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3if384/yD/l/he_IL/6srDAE5X5T4.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,7336,,,0,-1,-1,-1,0,128,-1,157.240.1.23,,129,value,
24,facebook,2019-10-11T13:29:03.808+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ixyo4/yB/l/he_IL/6QtwI5cme7d.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,597,38698,,,21,-1,-1,-1,0,83,-1,157.240.1.23,,105,value,
25,facebook,2019-10-11T13:29:03.808+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaLS4/yI/l/he_IL/CyJR3gPZyrL.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4122,,,2,-1,-1,-1,0,80,-1,157.240.1.23,,82,value,
26,facebook,2019-10-11T13:29:03.809+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yJ/r/GMuvW6fMoph.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,4811,,,2,-1,-1,-1,0,79,-1,157.240.1.23,,82,value,
27,facebook,2019-10-11T13:29:03.809+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yL/r/rsk-4_J6Np9.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,425,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,596,2394,,,1,-1,-1,-1,0,89,-1,157.240.1.23,,91,value,
