,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.send,timings.wait,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T16:51:16.328+03:00,POST,https://www.pinterest.com/_/_/report/page_load_metric/,HTTP/1.1,1056,15002,,204,No Content,HTTP/1.1,0,,,,561,0,,,-1,-1,0,5,237,-1,-1,212.55.188.219,,243,,
1,,2019-10-09T16:51:16.339+03:00,POST,https://www.pinterest.com/resource/ContextLogResource/create/,HTTP/1.1,1131,522,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,665,13506,,,-1,-1,20,0,284,-1,-1,212.55.188.219,,305,,
2,,2019-10-09T16:51:16.650+03:00,GET,https://www.pinterest.com/,HTTP/1.1,897,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1718,31954,,,-1,-1,189,0,364,-1,-1,212.55.188.219,,554,,
3,,2019-10-09T16:51:17.114+03:00,GET,https://i.pinimg.com/assets/js/warm.js?_=1570630120612,HTTP/1.1,372,0,,200,OK,HTTP/1.1,0,application/x-javascript,,,490,0,,,-1,-1,0,0,76,-1,-1,212.55.188.219,,77,value,
4,,2019-10-09T16:51:17.115+03:00,GET,https://s.pinimg.com/webapp/js/runtime-4d1680eedebdd4c20f8d.mjs,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,application/javascript,,,521,17417,,,-1,-1,1,0,85,-1,-1,212.55.188.219,,86,,
5,,2019-10-09T16:51:17.115+03:00,GET,https://s.pinimg.com/webapp/style/common_desktop-60a558fbd03cc37851a3.css,HTTP/1.1,406,0,,200,OK,HTTP/1.1,0,text/css,,,505,37464,,,-1,-1,71,0,71,-1,-1,212.55.188.219,,143,,
6,,2019-10-09T16:51:17.115+03:00,GET,https://s.pinimg.com/webapp/style/gestalt-1eb6cb5ea6b63c92bf18.css,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,text/css,,,504,8497,,,-1,-1,0,0,61,-1,-1,212.55.188.219,,62,,
7,,2019-10-09T16:51:17.119+03:00,GET,https://s.pinimg.com/webapp/js/pjs-ArticlePageDesktop~AuthHomePageDesktop~BusinessAccountConvertPageDesktop~BusinessAccountCreatePageDe~574bde07-bad7092ce6a1cf9c2e68.mjs,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,application/javascript,,,521,93626,,,-1,-1,48,0,55,-1,-1,212.55.188.219,,104,,
8,,2019-10-09T16:51:17.200+03:00,GET,https://s.pinimg.com/webapp/js/pjs-BusinessAccountLoginPageDesktop~FullPageSignup~LoginModal~LoginPageDesktop~LoginPageSterling~Persona~91a2a2d5-b36a355c1a9b505328f0.mjs,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,application/javascript,,,521,27172,,,-1,-1,36,0,45,-1,-1,212.55.188.219,,83,,
9,,2019-10-09T16:51:17.230+03:00,GET,https://s.pinimg.com/webapp/js/pjs-BusinessAccountLoginPageDesktop~FullPageSignup~LoginModal~LoginPageDesktop~LoginPageSterling~UnauthH~ffd0224e-dcc8bfa90841210c25a5.mjs,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,application/javascript,,,521,19993,,,-1,-1,1,0,52,-1,-1,212.55.188.219,,54,,
10,,2019-10-09T16:51:17.281+03:00,GET,https://s.pinimg.com/webapp/js/pjs-BusinessAccountCreatePageDesktop~UnauthHome-7c07d36cc0fa9831d402.mjs,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,application/javascript,,,521,16706,,,-1,-1,0,0,61,-1,-1,212.55.188.219,,62,,
