,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.send,timings.dns,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T08:20:25.867+03:00,GET,https://asoftmurmur.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,501,188756,,,4643,292,0,2,107,4616,318,104.131.95.55,,5364,
1,,2019-10-12T08:20:26.489+03:00,GET,https://asoftmurmur.com/assets/img/spinner.gif,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,image/gif,,,460,5553,,,-1,0,-1,1,-1,-1,155,104.131.95.55,,157,
2,,2019-10-12T08:20:26.686+03:00,GET,https://asoftmurmur.com/assets/font/montserrat-webfont.ttf,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,application/font-sfnt,,,497,43716,,,304,120,0,0,0,245,314,104.131.95.55,,739,
3,,2019-10-12T08:20:26.697+03:00,GET,https://asoftmurmur.com/assets/img/bg-high-res.jpg,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,image/jpeg,,,464,140196,,,292,261,0,1,0,255,290,104.131.95.55,,846,
4,,2019-10-12T08:20:26.698+03:00,GET,https://asoftmurmur.com/f6b1a0b823ad6ac792db40e45a79b256.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,32794,,,295,34,0,0,0,254,283,104.131.95.55,,614,
5,,2019-10-12T08:20:26.719+03:00,GET,https://asoftmurmur.com/ea27c333ccfa1e38c8c1420700b99afa.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,50481,,,-1,15,-1,0,-1,-1,167,104.131.95.55,,183,
6,,2019-10-12T08:20:27.844+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,1596,27,0,0,0,1574,84,216.58.206.14,,1709,
7,,2019-10-12T08:20:27.979+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=700496694&t=pageview&_s=1&dl=https%3A%2F%2Fasoftmurmur.com%2F&ul=en-us&de=UTF-8&dt=A%20Soft%20Murmur&sd=24-bit&sr=800x600&vp=800x600&je=0&_u=IEBAAAAB~&jid=1206063757&gjid=159401679&cid=343174664.1570857628&tid=UA-42700626-2&_gid=648169496.1570857628&_r=1&z=1086448837,HTTP/1.1,675,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=343174664.1570857628&jid=1206063757&_gid=648169496.1570857628&gjid=159401679&_v=j79&z=1086448837,644,417,,,-1,0,-1,0,-1,-1,94,216.58.206.14,,95,value
8,,2019-10-12T08:20:29.136+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,1300,206,0,0,0,1273,308,104.131.95.55,,1815,
9,,2019-10-12T08:20:29.150+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,2436,161,0,1,192,2400,321,104.131.95.55,,3113,
10,,2019-10-12T08:20:29.153+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,2438,1968,0,0,188,2410,311,104.131.95.55,,4907,
11,,2019-10-12T08:20:29.155+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,2442,176,0,0,188,2413,304,104.131.95.55,,3113,
12,,2019-10-12T08:20:29.269+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=343174664.1570857628&jid=1206063757&_gid=648169496.1570857628&gjid=159401679&_v=j79&z=1086448837,HTTP/1.1,532,0,,200,OK,HTTP/1.1,0,image/gif,,,539,35,,,1187,1,0,0,0,1168,89,74.125.133.155,,1279,value
13,,2019-10-12T08:20:29.823+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,333,7,0,0,0,311,347,104.131.95.55,,688,
14,,2019-10-12T08:20:29.840+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,346,7,0,1,0,320,381,104.131.95.55,,736,
15,,2019-10-12T08:20:29.913+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,484,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,273,7,0,0,0,247,418,104.131.95.55,,700,
16,,2019-10-12T08:20:29.915+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,HTTP/1.1,484,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,282,60,0,0,0,249,434,104.131.95.55,,778,
17,,2019-10-12T08:20:30.754+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,484,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,38484,,,519,44,0,0,0,350,438,104.131.95.55,,1003,
18,,2019-10-12T08:20:30.819+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,483,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,21574,,,459,5,0,0,0,339,411,104.131.95.55,,877,
19,,2019-10-12T08:20:30.968+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,HTTP/1.1,489,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,26664,,,790,3,0,0,0,572,392,104.131.95.55,,1188,
20,,2019-10-12T08:20:31.231+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,490,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,-1,,,406,0,0,1,0,269,387,104.131.95.55,,795,
