,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.send,timings.wait,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T17:42:43.951+03:00,GET,http://ww7.good-v-evil.com/,HTTP/1.1,429,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,402,4028,,,63,18,0,11,244,2,-1,199.59.242.152,,341,
1,,2019-10-11T17:42:44.355+03:00,GET,http://ww7.good-v-evil.com/px.gif?ch=1&rn=10.772305366072906,HTTP/1.1,391,0,,200,OK,HTTP/1.1,0,image/gif,,,235,42,,,-1,6,-1,5,164,-1,-1,199.59.242.152,,176,value
2,,2019-10-11T17:42:44.355+03:00,GET,http://www.google.com/adsense/domains/caf.js,HTTP/1.1,334,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,375,56267,,,31,116,0,0,182,0,-1,216.58.205.228,,332,
3,,2019-10-11T17:42:44.363+03:00,GET,http://ww7.good-v-evil.com/px.gif?ch=2&rn=10.772305366072906,HTTP/1.1,391,0,,200,OK,HTTP/1.1,0,image/gif,,,235,42,,,30,0,0,1,251,3,-1,199.59.242.152,,287,value
4,,2019-10-11T17:42:44.658+03:00,GET,http://ww7.good-v-evil.com/glp?r=&u=http%3A%2F%2Fww7.good-v-evil.com%2F&rw=800&rh=600&ww=800&wh=600,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,326,9849,,,-1,5,-1,0,188,-1,-1,199.59.242.152,,194,value
5,,2019-10-11T17:42:44.953+03:00,GET,http://ww7.good-v-evil.com/public/legacy/10348/resources/arrows-bg.jpg,HTTP/1.1,401,0,,200,OK,HTTP/1.1,0,image/jpeg,,,247,135228,,,-1,2131,-1,0,415,-1,-1,199.59.242.152,,2547,
6,,2019-10-11T17:42:44.954+03:00,GET,http://ww7.good-v-evil.com/public/legacy/10348/resources/arrows-bg-ext.png,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,image/png,,,238,1143,,,-1,1,-1,0,170,-1,-1,199.59.242.152,,172,
7,,2019-10-11T17:42:44.959+03:00,GET,http://parking.parklogic.com/page/enhance.js?pcId=7&domain=good-v-evil.com,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,text/javascript,,,215,2224,,,30,0,0,1,296,0,-1,67.225.218.50,,329,value
8,,2019-10-11T17:42:44.959+03:00,GET,http://www.gstatic.com/domainads/tracking/caf.gif?ts=1570804964890&rid=7969782,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,image/gif,,,339,43,,,30,4,0,0,166,0,-1,172.217.22.35,,202,value
9,,2019-10-11T17:42:46.319+03:00,GET,https://fonts.googleapis.com/css?family=Open+Sans,HTTP/1.1,383,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,472,,,1370,0,0,2,110,35,1326,216.58.207.42,,1519,value
10,,2019-10-11T17:42:46.324+03:00,GET,https://fonts.googleapis.com/css?family=Quicksand,HTTP/1.1,383,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,344,,,1374,0,0,0,99,35,1342,216.58.207.42,,1511,value
