,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.ssl,timings.blocked,timings.receive,timings.connect,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T18:32:30.672+03:00,GET,https://theuselessweb.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,428,2122,,,87,1597,0,5,1642,2,124,167.99.137.12,,1862,
1,,2019-10-08T18:32:30.828+03:00,GET,https://theuselessweb.com/css/style.css,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,449,1176,,,-1,-1,-1,0,-1,1,107,167.99.137.12,,109,
2,,2019-10-08T18:32:30.943+03:00,GET,https://theuselessweb.com/js/uselessweb.js?v=1,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,application/javascript,,,448,1246,,,-1,-1,-1,1,-1,0,106,167.99.137.12,,107,value
3,,2019-10-08T18:32:31.036+03:00,GET,https://theuselessweb.com/js/libs/utils.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/javascript,,,447,127,,,0,166,0,0,194,2,95,167.99.137.12,,292,
4,,2019-10-08T18:32:31.920+03:00,GET,https://fonts.googleapis.com/css?family=Josefin+Slab,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,262,,,31,1022,0,0,1050,1,138,216.58.207.42,,1221,value
5,,2019-10-08T18:32:31.920+03:00,GET,https://fonts.googleapis.com/css?family=Cookie,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,235,,,31,1022,0,2,1051,0,131,216.58.207.42,,1216,value
6,,2019-10-08T18:32:33.602+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36824,,,28,2704,0,84,2731,1,104,172.217.18.98,,2948,
7,,2019-10-08T18:32:33.857+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,-1,82,-1,11,105,172.217.18.98,,198,
8,,2019-10-08T18:32:34.073+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,-1,52,-1,0,149,172.217.18.98,,203,
9,,2019-10-08T18:32:35.904+03:00,GET,https://platform.twitter.com/widgets.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,507,28700,,,32,3752,0,358,3781,1,102,93.184.220.66,,4275,
10,,2019-10-08T18:32:36.448+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=https%3A%2F%2Ftheuselessweb.com,HTTP/1.1,598,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,-1,-1,-1,2,-1,0,98,93.184.220.66,,101,value
11,,2019-10-08T18:32:36.610+03:00,GET,https://platform.twitter.com/js/button.d941c9a422e2e3faf474b82a1f39e936.js,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,511,2296,,,-1,-1,-1,1,-1,3,100,93.184.220.66,,106,
12,,2019-10-08T18:32:36.742+03:00,GET,https://platform.twitter.com/widgets/tweet_button.e3a0e1b01ae601b6c9cf798a93ab7e69.en.html,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,499,12257,,,-1,-1,-1,5,-1,0,100,93.184.220.66,,106,
13,,2019-10-08T18:32:37.249+03:00,GET,https://www.facebook.com/plugins/like.php?href=https%3A%2F%2Ftheuselessweb.com&width&layout=button_count&action=like&show_faces=false&share=false&height=21,HTTP/1.1,626,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1156,14197,,,34,5069,0,62,5098,1,161,31.13.92.36,,5357,value
14,,2019-10-08T18:32:39.602+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,356,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,37,7431,0,26,7459,0,94,172.217.21.232,,7619,
15,,2019-10-08T18:32:39.824+03:00,GET,https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1242755606&utmhn=theuselessweb.com&utmcs=UTF-8&utmsr=800x600&utmvp=779x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=The%20Useless%20Web&utmhid=902490329&utmr=-&utmp=%2F&utmht=1570548759777&utmac=UA-35944549-1&utmcc=__utma%3D17164284.1502676845.1570548760.1570548760.1570548760.1%3B%2B__utmz%3D17164284.1570548760.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1957729847&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,864,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,-1,-1,0,-1,0,110,172.217.21.232,,112,value
16,,2019-10-08T18:32:40.803+03:00,GET,https://syndication.twitter.com/settings,HTTP/1.1,493,0,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,594,79,,,0,1190,0,0,1234,0,781,104.244.42.72,,2016,
17,,2019-10-08T18:32:40.827+03:00,GET,https://syndication.twitter.com/i/jot?l=%7B%22widget_origin%22%3A%22https%3A%2F%2Ftheuselessweb.com%2F%22%2C%22widget_frame%22%3Afalse%2C%22language%22%3A%22en%22%2C%22message%22%3A%22m%3Anocount%3A%22%2C%22_category_%22%3A%22tfw_client_event%22%2C%22triggered_on%22%3A1570548756987%2C%22dnt%22%3Afalse%2C%22client_version%22%3A%22708eecd%3A1570046592825%22%2C%22format_version%22%3A1%2C%22event_namespace%22%3A%7B%22client%22%3A%22tfw%22%2C%22page%22%3A%22button%22%2C%22section%22%3A%22share%22%2C%22action%22%3A%22impression%22%7D%7D,HTTP/1.1,890,0,,200,OK,HTTP/1.1,0,image/gif;charset=utf-8,,,635,65,,,0,4176,0,0,4211,1,193,104.244.42.72,,4407,value
18,,2019-10-08T18:32:41.074+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=theuselessweb.com,HTTP/1.1,391,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,69,7084,0,1,7112,4,92,216.58.206.2,,7280,value
19,,2019-10-08T18:32:42.294+03:00,GET,https://www.buymeacoffee.com/assets/img/BMC-btn-logo.svg,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,670,2031,,,82,11344,0,1,11368,1,109,104.24.108.21,,11562,
20,,2019-10-08T18:32:42.608+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101,HTTP/1.1,396,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29127,,,29,1506,0,79,1535,0,139,172.217.18.98,,1784,value
