,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T08:29:06.362+03:00,GET,http://ww7.good-v-evil.com/,HTTP/1.1,429,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,402,4028,,,0,44,6,4,387,263,-1,199.59.242.152,,706,
1,,2019-10-12T08:29:07.124+03:00,GET,http://ww7.good-v-evil.com/px.gif?ch=1&rn=0.6804943008944222,HTTP/1.1,391,0,,200,OK,HTTP/1.1,0,image/gif,,,235,42,,,-1,-1,2,2,-1,165,-1,199.59.242.152,,170,value
2,,2019-10-12T08:29:07.127+03:00,GET,http://www.google.com/adsense/domains/caf.js,HTTP/1.1,334,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,375,56272,,,0,32,141,1,0,122,-1,172.217.21.228,,297,
3,,2019-10-12T08:29:07.127+03:00,GET,http://ww7.good-v-evil.com/px.gif?ch=2&rn=0.6804943008944222,HTTP/1.1,391,0,,200,OK,HTTP/1.1,0,image/gif,,,235,42,,,0,29,0,1,2,250,-1,199.59.242.152,,284,value
