,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.send,timings.ssl,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-08T18:31:40.079+03:00,GET,https://www.duolingo.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1007,2248,,,241,101,3,1692,16,0,1738,52.1.236.43,,2101,
1,,2019-10-08T18:31:42.826+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/css/ltr-71c99cc9.css,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,text/css,,,524,61758,,,94,97,0,2284,123,0,2328,143.204.194.46,,2645,
2,,2019-10-08T18:31:42.827+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/vendor-29d23e06.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript,,,539,291754,,,137,97,0,2277,280,0,2329,143.204.194.46,,2845,
3,,2019-10-08T18:31:42.827+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/strings/en-3c552c7d.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,25462,,,87,97,0,2285,53,0,2329,143.204.194.46,,2569,
4,,2019-10-08T18:31:42.830+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/app-0e22125a.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,315052,,,99,97,0,2280,271,0,2332,143.204.194.46,,2802,
5,,2019-10-08T18:31:43.552+03:00,GET,https://www.duolingo.com/2017-06-30/config?_=1570548703546,HTTP/1.1,702,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,679,1206,,,170,-1,1,-1,0,-1,-1,52.1.236.43,,172,value
6,,2019-10-08T18:31:43.610+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/hamburger-menu.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,232,,,97,-1,0,-1,0,-1,-1,143.204.194.46,,98,
7,,2019-10-08T18:31:43.611+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/star-pattern.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,1333,,,96,-1,0,-1,1,-1,-1,143.204.194.46,,98,
8,,2019-10-08T18:31:43.611+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/earth-two-rings.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,956,,,96,-1,0,-1,1,-1,-1,143.204.194.46,,97,
9,,2019-10-08T18:31:43.613+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/juicy-happy.svg,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,2184,,,94,-1,0,-1,0,-1,-1,143.204.194.46,,96,
10,,2019-10-08T18:31:43.719+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-features.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,698,,,105,-1,0,-1,1,-1,-1,143.204.194.46,,107,
11,,2019-10-08T18:31:43.719+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/play-icon.svg,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,249,,,106,-1,0,-1,0,-1,-1,143.204.194.46,,107,
12,,2019-10-08T18:31:43.719+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-speaker.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,394,,,107,-1,0,-1,0,-1,-1,143.204.194.46,,108,
13,,2019-10-08T18:31:43.719+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-check.svg,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,293,,,105,-1,0,-1,0,-1,-1,143.204.194.46,,107,
14,,2019-10-08T18:31:43.730+03:00,POST,https://www.duolingo.com/2017-06-30/tracking-status,HTTP/1.1,797,68,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1159,2,,,198,-1,0,-1,0,-1,-1,52.1.236.43,,199,
