,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.dns,timings.ssl,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:41:06.096+03:00,GET,http://youarelistening.to/,HTTP/1.1,635,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,216,3706,,,534,0,-1,-1,1,30,-1,69.163.153.84,,567,,
1,,2019-10-09T17:41:06.318+03:00,GET,http://audio11.broadcastify.com/18jpv3nq4rx7g5y?nocache=3882525&xan=xtf9912b,HTTP/1.1,402,0,,0,,unknown,0,,,,-1,-1,,,0,1,0,-1,0,31,0,169.44.67.127,,32,value,No response received
2,,2019-10-09T17:41:06.724+03:00,GET,http://youarelistening.to/js/code.js?random=5d9df596292dc,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,application/javascript,,,282,2956,,,250,0,-1,-1,0,-1,-1,69.163.153.84,,251,value,
3,,2019-10-09T17:41:06.726+03:00,GET,http://youarelistening.to/images/icon_tumblr.png,HTTP/1.1,585,0,,200,OK,HTTP/1.1,0,image/png,,,251,9560,,,439,0,-1,-1,4,28,-1,69.163.153.84,,472,,
4,,2019-10-09T17:41:06.730+03:00,GET,https://w.soundcloud.com/player/api.js,HTTP/1.1,382,0,,200,OK,HTTP/1.1,0,application/javascript,,,681,2288,,,157,0,-1,-1,1,-1,-1,13.225.249.11,,159,,
5,,2019-10-09T17:41:07.002+03:00,GET,https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/playlists/5281179&auto_play=false,HTTP/1.1,621,0,,200,OK,HTTP/1.1,0,text/html,,,573,5859,,,174,1,-1,-1,0,-1,-1,13.225.249.11,,176,value,
6,,2019-10-09T17:41:07.005+03:00,GET,https://www.google-analytics.com/ga.js,HTTP/1.1,331,0,,200,OK,HTTP/1.1,0,text/javascript,,,540,17168,,,101,0,-1,-1,40,-1,-1,216.58.206.14,,143,,
7,,2019-10-09T17:41:07.032+03:00,GET,http://relay.broadcastify.com/18jpv3nq4rx7g5y,HTTP/1.1,365,0,,302,Moved Temporarily,HTTP/1.1,0,text/html,,http://audio12.broadcastify.com/18jpv3nq4rx7g5y?nocache=2360030&xan=xtf9912b,251,126,,,288,0,0,-1,0,27,0,3.218.123.170,,316,,
8,,2019-10-09T17:41:07.085+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=http%3A%2F%2Fyouarelistening.to,HTTP/1.1,617,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,101,0,-1,-1,2,-1,-1,93.184.220.66,,103,value,
9,,2019-10-09T17:41:07.170+03:00,GET,https://www.google-analytics.com/__utm.gif?utmwv=5.7.2&utms=2&utmn=950875771&utmhn=youarelistening.to&utmcs=UTF-8&utmsr=800x600&utmvp=800x579&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=You%20are%20listening%20to%20Los%20Angeles&utmhid=2106993448&utmr=-&utmp=%2F&utmht=1570632067164&utmac=UA-3124751-10&utmcc=__utma%3D80735135.894144893.1570632040.1570632040.1570632040.1%3B%2B__utmz%3D80735135.1570632040.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,839,0,,200,OK,HTTP/1.1,0,image/gif,,,478,35,,,91,0,-1,-1,0,-1,-1,216.58.206.14,,92,value,
10,,2019-10-09T17:41:07.370+03:00,GET,http://audio12.broadcastify.com/18jpv3nq4rx7g5y?nocache=2360030&xan=xtf9912b,HTTP/1.1,398,0,,200,OK,HTTP/1.0,0,audio/mpeg,,,282,-1,,,395,0,0,-1,0,27,0,169.44.67.112,,423,value,
11,,2019-10-09T17:41:07.411+03:00,GET,https://api-widget.soundcloud.com/playlists/5281179?representation=full&format=json&client_id=LBCcHmRB8XSStWL6wKH2HPACspQlXg2P&app_version=1568733200,HTTP/1.1,613,0,,200,OK,HTTP/1.1,0,application/json;charset=utf-8,,,792,4169,,,509,0,-1,-1,0,-1,-1,13.225.251.38,,511,value,
12,,2019-10-09T17:41:07.466+03:00,GET,https://syndication.twitter.com/settings,HTTP/1.1,512,0,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,595,79,,,200,0,-1,-1,0,-1,-1,104.244.42.72,,201,,
13,,2019-10-09T17:41:07.473+03:00,GET,https://platform.twitter.com/js/moment~timeline~tweet.ec04a6cb5ba879d0e0db41f211639fdf.js,HTTP/1.1,426,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,511,7914,,,90,0,-1,-1,9,-1,-1,93.184.220.66,,100,,
14,,2019-10-09T17:41:07.473+03:00,GET,https://platform.twitter.com/js/timeline.0a7b4db67eacd23e35c5ce02e6ea3470.js,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,511,7038,,,97,0,-1,-1,5,-1,-1,93.184.220.66,,104,,
