,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.send,timings.ssl,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T07:56:09.738+03:00,GET,https://sleepyti.me/,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,630,4495,,,0,4191,4,498,2,4154,206,104.154.63.26,,4904,
1,,2019-10-12T07:56:10.350+03:00,GET,https://sleepyti.me/app/css/normalize.css,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,text/css,,,474,2623,,,0,357,0,0,1,323,186,104.154.63.26,,545,
2,,2019-10-12T07:56:10.353+03:00,GET,https://sleepyti.me/app/css/skeleton.css,HTTP/1.1,368,0,,200,OK,HTTP/1.1,0,text/css,,,474,2773,,,0,361,0,0,1,328,195,104.154.63.26,,559,
3,,2019-10-12T07:56:10.353+03:00,GET,https://sleepyti.me/wp-content/uploads/2019/09/home-logo-sleepy-time.png,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/png,,,423,8263,,,0,360,0,0,1,327,196,104.154.63.26,,558,
4,,2019-10-12T07:56:10.973+03:00,GET,"https://fonts.googleapis.com/css?family=Raleway:400,300,600",HTTP/1.1,386,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,385,,,0,962,1,27,1,944,108,216.58.207.42,,1100,value
5,,2019-10-12T07:56:10.974+03:00,GET,"https://fonts.googleapis.com/css?family=Open+Sans:400,400italic,300,600",HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,690,,,0,963,0,27,1,945,110,216.58.207.42,,1102,value
6,,2019-10-12T07:56:10.977+03:00,GET,https://fonts.googleapis.com/css?family=Open+Sans,HTTP/1.1,345,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,472,,,0,964,1,17,1,938,104,216.58.207.42,,1089,value
7,,2019-10-12T07:56:14.793+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,617,33576,,,0,4774,69,26,0,4748,113,216.58.208.42,,4984,
8,,2019-10-12T07:56:15.000+03:00,GET,https://fonts.googleapis.com/css?family=Bree+Serif,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,323,,,-1,-1,0,-1,0,-1,104,216.58.207.42,,106,value
9,,2019-10-12T07:56:16.399+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-M2XBJ29,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,19983,,,0,1369,43,31,1,1340,120,216.58.207.72,,1565,value
10,,2019-10-12T07:56:19.639+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,3054,29,0,0,3029,103,216.58.206.14,,3188,
11,,2019-10-12T07:56:19.811+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=709546814&t=pageview&_s=1&dl=https%3A%2F%2Fsleepyti.me%2F&ul=en-us&de=UTF-8&dt=sleepyti.me%20bedtime%20calculator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=YEBAAEAB~&jid=250269996&gjid=1384093421&cid=160758435.1570856180&tid=UA-146934170-1&_gid=1019780068.1570856180&_r=1&gtm=2wga21M2XBJ29&z=283622820,HTTP/1.1,703,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,-1,0,-1,0,-1,96,216.58.206.14,,97,value
12,,2019-10-12T07:56:19.852+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptug8zYS_SKggPNyC0ITw.woff2,HTTP/1.1,445,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,20724,,,0,4754,50,35,1,4724,100,172.217.16.131,,4941,
13,,2019-10-12T07:56:19.856+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwIYqWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,20808,,,0,4758,51,36,0,4720,100,172.217.16.131,,4947,
14,,2019-10-12T07:56:19.862+03:00,GET,https://fonts.gstatic.com/s/raleway/v14/1Ptrg8zYS_SKggPNwPIsWqZPAA.woff2,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,20872,,,0,4763,53,36,0,4733,88,172.217.16.131,,4942,
