,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.wait,timings.ssl,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name
10,,2019-10-11T17:50:21.524+03:00,GET,https://static.poptropica.com/js/pop-homepage.js,HTTP/1.1,479,0,,200,OK,HTTP/1.1,0,text/javascript,,,625,6874,,,-1,-1,18,89,-1,0,-1,13.224.132.135,,108,
11,,2019-10-11T17:50:21.638+03:00,GET,https://static.poptropica.com/images/edit-pen-icon.png,HTTP/1.1,521,0,,200,OK,HTTP/1.1,0,image/png,,,618,2384,,,-1,-1,4,98,-1,0,-1,13.224.132.135,,103,
12,,2019-10-11T17:50:21.676+03:00,GET,https://static.poptropica.com/images/explore-icon.png,HTTP/1.1,520,0,,200,OK,HTTP/1.1,0,image/png,,,619,7489,,,-1,-1,9,83,-1,0,-1,13.224.132.135,,93,
13,,2019-10-11T17:50:21.745+03:00,GET,https://static.poptropica.com/images/become-member-icon.png,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,image/png,,,607,3758,,,-1,-1,0,93,-1,0,-1,13.224.132.135,,94,
14,,2019-10-11T17:50:21.774+03:00,GET,https://static.poptropica.com/images/home/app-icon.png,HTTP/1.1,521,0,,200,OK,HTTP/1.1,0,image/png,,,622,112469,,,-1,-1,119,84,-1,0,-1,13.224.132.135,,204,
15,,2019-10-11T17:50:21.844+03:00,GET,https://static.poptropica.com/images/home/blog-character.png,HTTP/1.1,527,0,,200,OK,HTTP/1.1,0,image/png,,,609,59060,,,-1,-1,65,115,-1,0,-1,13.224.132.135,,180,
16,,2019-10-11T17:50:22.333+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,456,9832,,,2899,0,724,85,2864,0,43,209.197.3.15,,3752,
17,,2019-10-11T17:50:22.451+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,450,19740,,,3016,0,1587,87,2981,0,48,209.197.3.15,,4740,
18,,2019-10-11T17:50:25.208+03:00,GET,https://www.poptropica.com/brain/track.php?event=Pageview&campaign=IndexPage&cluster=Home&scene=Home&choice=IndexPage&randomNumber=0.9241520124269138,HTTP/1.1,590,0,,200,OK,HTTP/1.1,0,text/html; charset=iso-8859-1,,,640,20,,,-1,-1,0,331,-1,0,-1,143.204.198.80,,333,value
19,,2019-10-11T17:50:25.215+03:00,GET,https://static.poptropica.com/images/home/white-paper-background.png,HTTP/1.1,557,0,,200,OK,HTTP/1.1,0,image/png,,,609,32561,,,-1,-1,32,102,-1,0,-1,13.224.132.135,,135,
20,,2019-10-11T17:50:25.230+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-MBKX72F,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,578,19762,,,3197,0,42,108,3169,0,0,216.58.207.72,,3350,value
21,,2019-10-11T17:50:25.265+03:00,GET,https://www.kidsafeseal.com/sealimage/9223372036854775807/poptropica_small_darktm.png,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,image/png,,,627,4398,,,2822,0,2,107,2790,0,117,104.25.51.33,,3051,
22,,2019-10-11T17:50:26.611+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,1284,0,35,126,1239,0,0,216.58.206.14,,1447,
23,,2019-10-11T17:50:26.833+03:00,GET,https://www.google-analytics.com/gtm/js?id=GTM-NG5PMVX&t=gtm1&cid=813889989.1570805427,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,578,23348,,,-1,-1,32,106,-1,1,-1,216.58.206.14,,139,value
