,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.wait,timings.ssl,timings.send,timings.dns,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T17:50:18.926+03:00,GET,https://www.poptropica.com/,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/html; charset=iso-8859-1,,,921,6975,,,3354,0,14,402,3308,2,133,143.204.198.80,,3906,
1,,2019-10-11T17:50:19.387+03:00,GET,https://www.poptropica.com/images/logo-1.png,HTTP/1.1,524,0,,200,OK,HTTP/1.1,0,image/png,,,609,33679,,,-1,-1,62,100,-1,1,-1,143.204.198.80,,164,
2,,2019-10-11T17:50:19.575+03:00,GET,https://www.poptropica.com/brain/track.php?campaign=IndexPage&event=ImageABTest&cluster=Home&scene=Home&choice=Poptropica_HP.jpg&r=%2Fimages%2FPoptropica_HP.jpg,HTTP/1.1,640,0,,301,Moved Permanently,HTTP/1.1,0,text/html; charset=iso-8859-1,,/images/Poptropica_HP.jpg,726,2621,,,-1,-1,1,178,-1,1,-1,143.204.198.80,,180,value
3,,2019-10-11T17:50:19.775+03:00,GET,https://www.poptropica.com/images/Poptropica_HP.jpg,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/jpeg,,,622,212953,,,-1,-1,204,90,-1,0,-1,143.204.198.80,,296,
4,,2019-10-11T17:50:21.306+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js,HTTP/1.1,383,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,30399,,,1718,0,71,101,1678,0,0,172.217.23.170,,1892,
5,,2019-10-11T17:50:21.348+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js,HTTP/1.1,384,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,616,33434,,,1954,0,71,100,1914,0,0,172.217.23.170,,2128,
6,,2019-10-11T17:50:21.364+03:00,GET,https://static.poptropica.com/re_css/pop-main.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,619,18134,,,1278,0,46,91,1257,1,0,13.224.132.135,,1416,
7,,2019-10-11T17:50:21.365+03:00,GET,https://static.poptropica.com/js/brainEventTracker.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,625,5704,,,1784,0,0,93,1736,0,189,13.224.132.135,,2069,
8,,2019-10-11T17:50:21.379+03:00,GET,https://static.poptropica.com/js/jquery.bxslider.4.1.2.min.js,HTTP/1.1,492,0,,200,OK,HTTP/1.1,0,text/javascript,,,626,19359,,,1804,0,41,93,1770,0,188,13.224.132.135,,2128,
9,,2019-10-11T17:50:21.522+03:00,GET,https://static.poptropica.com/js/jquery.magnific-popup.min.js,HTTP/1.1,492,0,,200,OK,HTTP/1.1,0,text/javascript,,,626,20680,,,-1,-1,57,91,-1,0,-1,13.224.132.135,,149,
