,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.ssl,timings.dns,timings.wait,timings.send,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T18:47:18.034+03:00,GET,http://ww7.good-v-evil.com/,HTTP/1.1,429,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,402,4028,,,17,0,69,-1,210,259,7,199.59.242.152,,564,,
1,,2019-10-09T18:47:18.695+03:00,GET,http://ww7.good-v-evil.com/px.gif?ch=1&rn=3.4082297483573223,HTTP/1.1,391,0,,200,OK,HTTP/1.1,0,image/gif,,,235,42,,,7,-1,-1,-1,-1,165,3,199.59.242.152,,176,value,
2,,2019-10-09T18:47:18.696+03:00,GET,http://www.google.com/adsense/domains/caf.js,HTTP/1.1,334,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,375,56271,,,135,0,29,-1,0,154,1,172.217.21.228,,321,,
3,,2019-10-09T18:47:18.696+03:00,GET,http://ww7.good-v-evil.com/px.gif?ch=2&rn=3.4082297483573223,HTTP/1.1,391,0,,200,OK,HTTP/1.1,0,image/gif,,,235,42,,,0,0,33,-1,2,258,0,199.59.242.152,,296,value,
4,,2019-10-09T18:47:19.075+03:00,GET,http://ww7.good-v-evil.com/glp?r=&u=http%3A%2F%2Fww7.good-v-evil.com%2F&rw=800&rh=600&ww=800&wh=600,HTTP/1.1,394,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,-1,-1,0,0,199.59.242.152,,0,value,No response received
