,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.wait,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-11T13:15:25.629+03:00,GET,https://beta.freerice.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html,,,663,3831,,,2,256,118,3960,4001,12,0,151.101.18.133,,4391,
1,,2019-10-11T13:15:25.802+03:00,GET,https://beta.freerice.com/static/css/main.99e40889.chunk.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,663,14491,,,1,-1,103,-1,-1,62,-1,151.101.18.133,,167,
2,,2019-10-11T13:15:25.966+03:00,GET,https://beta.freerice.com/static/js/2.870e4b6e.chunk.js,HTTP/1.1,374,0,,200,OK,HTTP/1.1,0,application/javascript,,,680,115779,,,3,0,105,121,157,161,0,151.101.18.133,,428,
3,,2019-10-11T13:15:25.966+03:00,GET,https://beta.freerice.com/assets/oil/oil.1.2.2-RELEASE.min.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript,,,678,27315,,,2,0,98,119,155,54,0,151.101.18.133,,311,
4,,2019-10-11T13:15:25.967+03:00,GET,https://beta.freerice.com/static/js/main.f4b3d39b.chunk.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,677,59912,,,1,0,109,122,159,109,0,151.101.18.133,,379,
5,,2019-10-11T13:15:27.600+03:00,GET,https://polyfill.io/v3/polyfill.min.js?features=default%2CArray.prototype.find%2CArray.prototype.includes,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,696,74,,,0,39,114,1727,1753,1,0,151.101.66.109,,1909,value
6,,2019-10-11T13:15:28.080+03:00,GET,https://beta.freerice.com/static/media/logo.39e48f11.svg,HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,667,5297,,,0,-1,88,-1,-1,2,-1,151.101.18.133,,91,
7,,2019-10-11T13:15:28.083+03:00,GET,https://beta.freerice.com/static/media/anonymous.6af2173d.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,400,,,0,-1,85,-1,-1,0,-1,151.101.18.133,,87,
8,,2019-10-11T13:15:28.135+03:00,GET,https://beta.freerice.com/static/media/OpenSans-Regular.9bd6fd3f.woff2,HTTP/1.1,455,0,,200,OK,HTTP/1.1,0,font/woff2,,,616,13964,,,0,-1,115,-1,-1,1,-1,151.101.18.133,,117,
9,,2019-10-11T13:15:28.237+03:00,GET,https://beta.freerice.com/static/media/OpenSans-Bold.0ac670c8.woff2,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,font/woff2,,,618,14636,,,1,-1,129,-1,-1,4,-1,151.101.18.133,,136,
10,,2019-10-11T13:15:29.120+03:00,OPTIONS,https://engine.freerice.com/categories/?limit=50,HTTP/1.1,470,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,771,0,,,0,147,174,857,891,0,0,151.101.18.133,,1214,value
