,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.wait,timings.dns,timings.send,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T18:19:25.989+03:00,GET,https://www.taringa.net/,HTTP/1.1,866,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,868,58706,,,-1,2210,-1,0,288,-1,-1,104.16.249.39,,2499,,
1,,2019-10-08T18:19:26.162+03:00,GET,https://ib.adnxs.com/getuid?https://pixel.rubiconproject.com/tap.php?v=564534&nid=5466&put=$UID,HTTP/1.1,553,0,,200,OK,HTTP/1.1,0,image/gif,,,794,43,,,277,102,0,0,0,0,309,185.33.223.206,,413,value,
2,,2019-10-08T18:19:26.322+03:00,GET,https://tag.crsspxl.com/s2.html?d=2134&u=https%3A%2F%2Fwww.taringa.net%2F&dx=139352%2C139354%2C139355%2C139353%2C47600%2C47601%2C51127%2C47856%2C47895%2C84067%2C84068%2C142563%2C47871%2C98376%2C142578%2C52634%2C52603%2C47465%2C47469%2C47472%2C47473%2C82257%2C93220%2C93222%2C93223%2C93221%2C47504%2C47536%2C47538%2C47539%2C47559%2C47560%2C47571%2C47575%2C47576%2C47573%2C47584%2C142628%2C142637%2C142636%2C142638%2C143090%2C143092%2C143091%2C143085%2C143050%2C143051%2C47910%2C63277%2C82930%2C82233%2C63281%2C63282%2C47677%2C47687%2C144745%2C47684%2C103579%2C103583%2C103588%2C103589%2C63284%2C103603%2C47917%2C103605%2C103606%2C47918%2C103626%2C103628%2C103630%2C103632%2C143069%2C143070%2C143073%2C143076%2C139360%2C139331%2C47835&p=,HTTP/1.1,1596,0,,200,,HTTP/1.1,0,text/html,,,384,317,,,341,163,0,0,0,0,371,23.21.124.241,,536,value,
3,,2019-10-08T18:19:27.018+03:00,CONNECT,https://ps.eyeota.net,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,-1,0,31,0,0,0,289,3.120.224.89,,321,,Unable to connect to host
4,,2019-10-08T18:19:27.423+03:00,GET,https://in.xspadvertising.com/ingest/crosspixel.html?k=Online%20Shoppers,HTTP/1.1,1410,0,,204,NO CONTENT,HTTP/1.1,0,,,,447,0,,,774,236,108,0,0,0,807,34.214.153.220,,1153,value,
5,,2019-10-08T18:19:27.434+03:00,GET,https://in.xspadvertising.com/ingest/crosspixel.html?k=Music%20Enthusiasts,HTTP/1.1,1412,0,,204,NO CONTENT,HTTP/1.1,0,,,,449,0,,,784,260,102,0,0,0,823,34.214.153.220,,1187,value,
6,,2019-10-08T18:19:27.664+03:00,GET,https://in.xspadvertising.com/ingest/crosspixel.html?k=Auto%20Accessories,HTTP/1.1,1411,0,,204,NO CONTENT,HTTP/1.1,0,,,,448,0,,,-1,251,-1,0,0,-1,-1,34.214.153.220,,252,value,
7,,2019-10-08T18:19:28.257+03:00,GET,https://www.taringa.net/dist/main-5a0b0aa1fecc8daefa15.css,HTTP/1.1,791,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,869,106387,,,-1,116,-1,0,52,-1,-1,104.16.249.39,,169,,
8,,2019-10-08T18:19:28.258+03:00,GET,https://www.taringa.net/prebid2.24.0.js?v=1570465332895,HTTP/1.1,773,0,,200,OK,HTTP/1.1,0,application/javascript,,,868,69555,,,-1,133,-1,0,47,-1,-1,104.16.249.39,,181,value,
9,,2019-10-08T18:19:28.494+03:00,POST,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjssDHLeSFTPZ9L8XNgByFkaZy2ZCUFWDEGUoUaf_OiumjEgewqZwn2b8MEFj8afOOHwKvvqPegB3ceWBjtGpf3Urt6XgluAyzMW8RVeU3vAQAEWCaJ376qXBLxHahbKduSl5CwEnuYoKRw&sai=AMfl-YTU0qY7RbHGBwFTkdNUvbAGBUBMsi8CZsgiRW3ERMYcOxXW-WFVzrsGCswnHyBM8OzeGJIwQUq8381Th3rg0kEe2-GrUE2mlVlyZEFm0ysxZhLNmPaIOAHuBo1C&sig=Cg0ArKJSzBr8ANyhTIQjEAE&cid=CAASEuRovi7sLrgPlpRhnxzaX-ivvQ&id=ampeos&o=26,50&d=728,90&ss=800,600&bs=800,600&mcvt=13681&mtos=0,0,13681,13681,13681&tos=0,0,13681,0,0&tfs=104&tls=13785&g=100&h=100&pt=977&tt=13786&rpt=977&rst=1570547953517&r=de&isd=inside&msd=inside",HTTP/1.1,1012,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,244,105,0,0,0,0,269,172.217.23.98,,376,value,
