,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T18:51:22.763+03:00,GET,https://theuselessweb.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,430,2122,,,2,125,131,2143,28,0,2186,167.99.129.42,,2475,
1,,2019-10-09T18:51:22.957+03:00,GET,https://theuselessweb.com/css/style.css,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/css; charset=UTF-8,,,451,1176,,,1,115,-1,-1,8,-1,-1,167.99.129.42,,126,
2,,2019-10-09T18:51:23.087+03:00,GET,https://theuselessweb.com/js/uselessweb.js?v=1,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,application/javascript,,,450,1246,,,1,117,-1,-1,0,-1,-1,167.99.129.42,,119,value
3,,2019-10-09T18:51:23.155+03:00,GET,https://theuselessweb.com/js/libs/utils.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,application/javascript,,,449,127,,,0,123,0,152,1,0,183,167.99.129.42,,310,
4,,2019-10-09T18:51:24.928+03:00,GET,https://fonts.googleapis.com/css?family=Josefin+Slab,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,262,,,1,107,39,1887,2,0,1918,216.58.207.42,,2068,value
5,,2019-10-09T18:51:24.929+03:00,GET,https://fonts.googleapis.com/css?family=Cookie,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,235,,,0,117,40,1888,0,0,1918,216.58.207.42,,2077,value
6,,2019-10-09T18:51:25.695+03:00,GET,https://www.buymeacoffee.com/assets/img/BMC-btn-logo.svg,HTTP/1.1,410,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,669,2031,,,1,111,0,2694,1,0,2723,104.24.109.21,,2838,
7,,2019-10-09T18:51:25.739+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,892,36813,,,0,103,36,2698,87,0,2729,172.217.23.98,,2957,
8,,2019-10-09T18:51:26.005+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,4,111,-1,-1,152,-1,-1,172.217.23.98,,268,
9,,2019-10-09T18:51:26.283+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,402,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,0,109,-1,-1,48,-1,-1,172.217.23.98,,158,
10,,2019-10-09T18:51:30.626+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=theuselessweb.com,HTTP/1.1,393,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,96,10,34,4562,0,0,4590,216.58.210.2,,4732,value
11,,2019-10-09T18:51:30.720+03:00,GET,https://platform.twitter.com/widgets.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,507,28700,,,0,96,28,5598,81,0,5626,93.184.220.66,,5833,
12,,2019-10-09T18:51:30.889+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,554,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,1,95,27,4782,4,0,4813,216.58.210.2,,4943,
