,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.ssl,timings.send,timings.wait,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:18:17.058+03:00,GET,http://www.staggeringbeauty.com/,HTTP/1.1,439,0,,200,OK,HTTP/1.1,0,text/html,,,302,1193,,,3,-1,3,455,19,38,0,75.119.198.160,,520,,
1,,2019-10-09T17:18:17.618+03:00,GET,http://www.staggeringbeauty.com/lib/paper.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,289,57150,,,-1,-1,5,260,430,-1,-1,75.119.198.160,,697,,
2,,2019-10-09T17:18:17.625+03:00,GET,http://www.staggeringbeauty.com/lib/traer.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,316,3363,,,2,-1,3,461,1,35,0,75.119.198.160,,504,,
3,,2019-10-09T17:18:17.625+03:00,GET,http://www.staggeringbeauty.com/lib/Tween.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,316,2096,,,2,-1,3,420,3,34,0,75.119.198.160,,463,,
4,,2019-10-09T17:18:17.626+03:00,GET,http://www.staggeringbeauty.com/lib/soundmanager2-nodebug-jsmin.js,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,application/javascript,,,317,11718,,,1,-1,4,430,14,34,0,75.119.198.160,,484,,
5,,2019-10-09T17:18:17.626+03:00,GET,http://www.staggeringbeauty.com/src/jiggler.js,HTTP/1.1,351,0,,200,OK,HTTP/1.1,0,application/javascript,,,314,353,,,1,-1,1,422,1,26,0,75.119.198.160,,453,,
6,,2019-10-09T17:18:17.627+03:00,GET,http://www.staggeringbeauty.com/src/style.css,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/css,,,300,885,,,0,-1,4,423,2,34,0,75.119.198.160,,466,,
7,,2019-10-09T17:18:22.452+03:00,GET,https://www.google-analytics.com/ga.js,HTTP/1.1,337,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,28,3897,2,123,35,3926,0,172.217.22.110,,4117,,
8,,2019-10-09T17:18:22.636+03:00,GET,https://www.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1883053720&utmhn=www.staggeringbeauty.com&utmcs=UTF-8&utmsr=800x600&utmvp=800x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Staggering%20Beauty&utmhid=1456726957&utmr=-&utmp=%2F&utmht=1570630702631&utmac=UA-353220-16&utmcc=__utma%3D133079244.1671026946.1570630703.1570630703.1570630703.1%3B%2B__utmz%3D133079244.1570630703.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1789912761&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,854,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,-1,0,101,0,-1,-1,172.217.22.110,,102,value,
9,,2019-10-09T17:18:22.749+03:00,GET,http://www.staggeringbeauty.com/src/main.js,HTTP/1.1,561,0,,0,,unknown,0,,,,-1,-1,,,-1,-1,2,0,0,40,-1,75.119.198.160,,42,,No response received
