,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.ssl,timings.dns,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:06:07.141+03:00,GET,https://www.pointerpointer.com/,HTTP/1.1,472,0,,200,OK,HTTP/1.1,0,text/html,,,271,3819,,,0,13,1200,1163,147,5,120,188.166.32.155,,1488,,
1,,2019-10-09T17:06:07.316+03:00,GET,https://www.pointerpointer.com/js/load-min.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,759,,,-1,1,-1,-1,-1,1,92,188.166.32.155,,95,,
2,,2019-10-09T17:06:07.425+03:00,GET,https://www.pointerpointer.com/reset.css,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/css,,,269,868,,,-1,0,-1,-1,-1,4,99,188.166.32.155,,104,,
3,,2019-10-09T17:06:07.534+03:00,GET,https://www.pointerpointer.com/js/functions.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript,,,283,251,,,-1,2,-1,-1,-1,0,105,188.166.32.155,,107,,
4,,2019-10-09T17:06:07.662+03:00,GET,https://www.pointerpointer.com/js/Bootstrap.js,HTTP/1.1,370,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1462,,,-1,0,-1,-1,-1,3,113,188.166.32.155,,118,,
5,,2019-10-09T17:06:07.671+03:00,GET,https://www.pointerpointer.com/js/Stats.js,HTTP/1.1,366,0,,200,OK,HTTP/1.1,0,application/javascript,,,284,1771,,,0,0,291,267,0,3,103,188.166.32.155,,398,,
6,,2019-10-09T17:06:10.070+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,540,17168,,,0,27,2353,2326,32,1,121,172.217.21.232,,2534,,
7,,2019-10-09T17:06:10.257+03:00,GET,https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=136193409&utmhn=www.pointerpointer.com&utmcs=UTF-8&utmsr=800x600&utmvp=800x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Pointer%20Pointer&utmhid=1606116751&utmr=-&utmp=%2F&utmht=1570629970250&utmac=UA-32525606-1&utmcc=__utma%3D145998261.530762943.1570629970.1570629970.1570629970.1%3B%2B__utmz%3D145998261.1570629970.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=388749737&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,872,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,0,-1,-1,-1,0,100,172.217.21.232,,101,value,
8,,2019-10-09T17:06:10.268+03:00,GET,https://connect.facebook.net/en_GB/all.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,804,1779,,,0,1,2551,2523,30,0,90,157.240.1.23,,2675,,
9,,2019-10-09T17:06:10.587+03:00,GET,https://connect.facebook.net/en_GB/all.js?hash=712b1ee8219e384ac8110ed3b79cf560&ua=modern_es6,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,819,56393,,,0,89,213,180,0,0,94,157.240.1.23,,398,value,
