,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.dns,timings.send,timings.ssl,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,response._error
0,,2019-10-11T13:19:30.052+03:00,POST,https://ap.lijit.com/rtb/bid?src=prebid_prebid_1.32.0,HTTP/1.1,value,492,228,,200,OK,HTTP/1.1,0,application/json,,,551,49,,,107,0,0,269,300,0,0,72.251.249.9,,408,
1,,2019-10-11T13:19:31.115+03:00,GET,https://events.bouncex.net/track.gif/bid_none?partner=index&partner_site_id=203905&deployment=overlay&requested_ad_units=900x550&request_timestamp=1570789155900&deal_id=NA&price=NA&auction_number=1&ad_unit_id=1&source=ads&campaignid=943846&agent=js&mode=0&websiteid=2490&visitid=1570790121258940&deviceid=7299623694046120765&pageviewid=2&sequenceid=5&clienttimestamp=1570789156304&clientapiversion=tag3&device=d,HTTP/1.1,value,763,0,,200,OK,HTTP/1.1,0,image/gif,,,255,42,,,212,-1,0,-1,-1,-1,0,35.190.62.200,,213,
2,,2019-10-11T13:19:31.621+03:00,GET,https://securepubads.g.doubleclick.net/gampad/ads?gdfp_req=1&pvsid=1152110889360013&correlator=2023014270193617&output=ldjh&impl=fifs&adsid=NT&eid=21062889%2C21064170%2C21064549%2C21064607&vrg=2019100701&guci=2.2.0.0.2.2.0.0&plat=1%3A67108864%2C2%3A67108864%2C8%3A67108864&sc=1&sfv=1-0-35&ecs=20191011&iu_parts=15184186%2Csporcle_728x90_ATF&enc_prev_ius=%2F0%2F1&prev_iu_szs=728x90&rcs=1&eri=1&cust_params=user-agent%3DChrome%2520Headless%26PageType%3D14%26ul%3D0&cookie=ID%3D1e020bdce2f76f96%3AT%3D1570790202%3AS%3DALNI_MZsiy9U9ogYh9U_Esu6IlvEnL94GA&cookie_enabled=1&bc=31&abxe=1&lmt=1570789170&dt=1570789170512&dlt=1570789146355&idt=6893&frm=20&biw=793&bih=579&oid=3&adxs=33&adys=5&adks=3241475122&ucis=9&ifi=6&u_tz=180&u_his=3&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_sd=1&flash=0&url=https%3A%2F%2Fwww.sporcle.com%2F&dssz=56&icsg=35184548314928&std=0&vis=1&dmc=8&scr_x=0&scr_y=0&psz=728x106&msz=728x90&psts=CigI9biu-BHoAZDz6YCDBIICDfrd4Qby3uEG-eut_lDRAs1_EdQEj99f%2CCigI9biu-BHoAZ_z6YCDBIICDfrd4Qby3uEGy9Od_lDRAnjmKMFz5PTJ%2CCigI9biu-BHoAeny6YCDBIICDfrd4Qby3uEGk9qd_lDRAkxxyCj2jj4b&ga_vid=524564645.1570789065&ga_sid=1570789155&ga_hid=306848150&fws=0&ohw=0,HTTP/1.1,value,1587,0,,200,OK,HTTP/1.1,0,text/plain; charset=UTF-8,,,845,2099,,,270,0,0,229,248,0,0,172.217.22.98,,521,
3,,2019-10-11T13:19:31.933+03:00,GET,https://securepubads.g.doubleclick.net/pcs/view?xai=AKAOjsugWaOh0DaSNMSHd9ets95D96f7iq9Fbf5_7KPtMblOOT2zzl0UoeRTZwg2pGywdBS2WHs_3xbuWfRAWLURZ-K3AmGomNDkOqURIojUYfG1zXzxZZPSm7HO-1ixjdNF0d1y7V8crZAw3MZcLdCAJzA9YlBdL9vKTKUqroBKrFRuWX9UQqomDdPfGdBoJB0ATCp7ccCWMmqtvfvW7uMPK2Y1aGr8K2rv8PgyCCEefXDVIAkAZq_YikxbNHFH0xjLYwkgBhPsKzMhAaCx1Nr62UxFo8PgKLCm-A&sig=Cg0ArKJSzPFtK0_vu7QPEAE&urlfix=1&adurl=,HTTP/1.1,value,784,0,,200,OK,HTTP/1.1,0,image/gif,,,542,0,,,98,-1,0,-1,-1,-1,0,172.217.22.98,,98,
4,,2019-10-11T13:19:31.285+03:00,CONNECT,https://eus.rubiconproject.com,HTTP/1.1,,0,0,,0,,unknown,0,,,,-1,-1,,,0,71,0,-1,584,0,0,23.55.14.11,,656,Unable to connect to host
5,,2019-10-11T13:19:31.358+03:00,CONNECT,https://c1.adform.net,HTTP/1.1,,0,0,,0,,unknown,0,,,,-1,-1,,,0,0,0,-1,584,0,0,37.157.4.41,,585,Unable to connect to host
6,,2019-10-11T13:19:33.257+03:00,CONNECT,https://ib.adnxs.com,HTTP/1.1,,0,0,,0,,unknown,0,,,,-1,-1,,,0,0,0,-1,154,0,0,185.33.223.215,,154,Unable to connect to host
7,,2019-10-11T13:19:33.256+03:00,CONNECT,https://hbopenbid.pubmatic.com,HTTP/1.1,,0,0,,0,,unknown,0,,,,-1,-1,,,0,0,0,-1,475,0,0,103.231.98.193,,475,Unable to connect to host
8,,2019-10-11T13:19:36.935+03:00,CONNECT,https://as-sec.casalemedia.com,HTTP/1.1,,0,0,,0,,unknown,0,,,,-1,-1,,,0,34,0,-1,63,0,0,212.55.189.217,,97,Unable to connect to host
9,,2019-10-11T13:19:37.484+03:00,GET,https://d2na2p72vtqyok.cloudfront.net/client-embed/ca3e1043-799d-4a44-bc34-c8546ee2da35.js,HTTP/1.1,,406,0,,200,OK,HTTP/1.1,0,application/javascript,,,558,21363,,,88,0,0,460,488,0,43,143.204.194.72,,621,
