,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T16:35:13.834+03:00,GET,https://asoftmurmur.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,501,188756,,,2089,317,0,82,2056,2,326,138.197.67.91,,2818,,
1,,2019-10-08T16:35:14.542+03:00,GET,https://asoftmurmur.com/assets/img/spinner.gif,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,image/gif,,,460,5553,,,-1,0,-1,-1,-1,1,452,138.197.67.91,,454,,
2,,2019-10-08T16:35:15.010+03:00,GET,https://asoftmurmur.com/assets/font/montserrat-webfont.ttf,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,application/font-sfnt,,,497,43716,,,-1,9,-1,-1,-1,0,166,138.197.67.91,,177,,
3,,2019-10-08T16:35:15.010+03:00,GET,https://asoftmurmur.com/ea27c333ccfa1e38c8c1420700b99afa.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,50481,,,566,113,0,0,479,7,304,138.197.67.91,,992,,
4,,2019-10-08T16:35:15.010+03:00,GET,https://asoftmurmur.com/f6b1a0b823ad6ac792db40e45a79b256.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,32794,,,510,30,0,0,455,7,297,138.197.67.91,,846,,
5,,2019-10-08T16:35:15.026+03:00,GET,https://asoftmurmur.com/assets/img/bg-high-res.jpg,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,image/jpeg,,,464,140196,,,474,624,0,0,447,9,311,138.197.67.91,,1418,,
6,,2019-10-08T16:35:16.971+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,2756,28,0,0,2729,1,81,172.217.22.110,,2868,,
7,,2019-10-08T16:35:17.112+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1669192902&t=pageview&_s=1&dl=https%3A%2F%2Fasoftmurmur.com%2F&ul=en-us&de=UTF-8&dt=A%20Soft%20Murmur&sd=24-bit&sr=800x600&vp=800x600&je=0&_u=IEBAAAAB~&jid=1002334486&gjid=461517958&cid=1572196116.1570541717&tid=UA-42700626-2&_gid=1571962171.1570541717&_r=1&z=2108815118,HTTP/1.1,678,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=1572196116.1570541717&jid=1002334486&_gid=1571962171.1570541717&gjid=461517958&_v=j79&z=2108815118,646,419,,,-1,0,-1,-1,-1,0,95,172.217.22.110,,96,value,
8,,2019-10-08T16:35:18.174+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,1221,177,0,0,1175,45,288,192.241.156.233,,1733,,
9,,2019-10-08T16:35:18.237+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,250950,,,2513,1503,0,0,2470,14,363,192.241.156.233,,4394,,
