,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.ssl,timings.wait,timings.dns,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T18:46:36.402+03:00,GET,https://beta.freerice.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html,,,662,3831,,,2,3003,228,189,3048,18,0,151.101.18.133,,3486,
1,,2019-10-09T18:46:36.688+03:00,GET,https://beta.freerice.com/static/css/main.99e40889.chunk.css,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/css,,,664,14491,,,1,-1,174,-1,-1,49,-1,151.101.18.133,,225,
2,,2019-10-09T18:46:36.864+03:00,GET,https://beta.freerice.com/assets/oil/oil.1.2.2-RELEASE.min.js,HTTP/1.1,380,0,,200,OK,HTTP/1.1,0,application/javascript,,,677,27315,,,2,132,220,0,161,63,0,151.101.18.133,,448,
3,,2019-10-09T18:46:36.867+03:00,GET,https://beta.freerice.com/static/js/2.870e4b6e.chunk.js,HTTP/1.1,374,0,,200,OK,HTTP/1.1,0,application/javascript,,,679,115779,,,1,138,172,0,168,177,0,151.101.18.133,,519,
4,,2019-10-09T18:46:36.870+03:00,GET,https://beta.freerice.com/static/js/main.f4b3d39b.chunk.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,678,59912,,,2,136,173,0,166,156,0,151.101.18.133,,498,
5,,2019-10-09T18:46:37.516+03:00,GET,https://polyfill.io/v3/polyfill.min.js?features=default%2CArray.prototype.find%2CArray.prototype.includes,HTTP/1.1,423,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,696,74,,,0,791,122,0,824,1,0,151.101.66.109,,950,value
6,,2019-10-09T18:46:37.861+03:00,GET,https://beta.freerice.com/static/media/logo.39e48f11.svg,HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,666,5297,,,0,-1,208,-1,-1,0,-1,151.101.18.133,,210,
7,,2019-10-09T18:46:37.864+03:00,GET,https://beta.freerice.com/static/media/anonymous.6af2173d.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,665,400,,,0,-1,159,-1,-1,0,-1,151.101.18.133,,161,
8,,2019-10-09T18:46:37.912+03:00,GET,https://beta.freerice.com/static/media/OpenSans-Regular.9bd6fd3f.woff2,HTTP/1.1,455,0,,200,OK,HTTP/1.1,0,font/woff2,,,616,13964,,,0,-1,102,-1,-1,0,-1,151.101.18.133,,103,
9,,2019-10-09T18:46:38.001+03:00,GET,https://beta.freerice.com/static/media/OpenSans-Bold.0ac670c8.woff2,HTTP/1.1,452,0,,200,OK,HTTP/1.1,0,font/woff2,,,616,14636,,,0,-1,86,-1,-1,8,-1,151.101.18.133,,96,
10,,2019-10-09T18:46:39.042+03:00,OPTIONS,https://engine.freerice.com/categories/?limit=50,HTTP/1.1,470,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,771,0,,,0,1020,181,138,1041,0,0,151.101.18.133,,1362,value
11,,2019-10-09T18:46:39.046+03:00,OPTIONS,https://engine.freerice.com/badges/?limit=50,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,771,0,,,0,1010,178,138,1044,0,0,151.101.18.133,,1363,value
12,,2019-10-09T18:46:39.229+03:00,GET,https://engine.freerice.com/categories/?limit=50,HTTP/1.1,442,0,,200,OK,HTTP/1.1,0,application/vnd.api+json,,,636,7409,,,0,-1,88,-1,-1,3,-1,151.101.18.133,,92,value
13,,2019-10-09T18:46:39.229+03:00,GET,https://engine.freerice.com/badges/?limit=50,HTTP/1.1,438,0,,200,OK,HTTP/1.1,0,application/vnd.api+json,,,636,6718,,,0,-1,87,-1,-1,1,-1,151.101.18.133,,89,value
14,,2019-10-09T18:46:39.383+03:00,GET,https://beta.freerice.com/static/media/instagram.7039db21.png,HTTP/1.1,416,0,,200,OK,HTTP/1.1,0,image/png,,,617,209534,,,0,-1,222,-1,-1,177,-1,151.101.18.133,,400,
15,,2019-10-09T18:46:39.383+03:00,GET,https://beta.freerice.com/static/media/globe.99ee7e73.svg,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,670,218763,,,0,-1,188,-1,-1,117,-1,151.101.18.133,,306,
16,,2019-10-09T18:46:39.388+03:00,OPTIONS,https://engine.freerice.com/games,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,771,0,,,0,-1,201,-1,-1,0,-1,151.101.18.133,,202,
17,,2019-10-09T18:46:39.388+03:00,OPTIONS,https://engine.freerice.com/gamestats/rice-totals,HTTP/1.1,471,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,771,0,,,0,-1,218,-1,-1,0,-1,151.101.18.133,,219,
18,,2019-10-09T18:46:39.391+03:00,GET,https://beta.freerice.com/static/media/bg-sky.399d06d2.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,666,6830,,,0,-1,199,-1,-1,1,-1,151.101.18.133,,201,
19,,2019-10-09T18:46:39.393+03:00,GET,https://beta.freerice.com/static/media/rice0.06114e55.svg,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,666,2151,,,0,-1,178,-1,-1,0,-1,151.101.18.133,,179,
20,,2019-10-09T18:46:39.540+03:00,GET,https://beta.freerice.com/static/media/rice10.0c63f315.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,667,3256,,,1,113,172,0,142,1,0,151.101.18.133,,317,
21,,2019-10-09T18:46:39.541+03:00,GET,https://beta.freerice.com/static/media/rice20.c3b14e01.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,667,3405,,,0,113,169,0,142,0,0,151.101.18.133,,313,
22,,2019-10-09T18:46:39.580+03:00,GET,https://beta.freerice.com/static/media/rice30.a6f31c54.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,666,3917,,,0,-1,172,-1,-1,1,-1,151.101.18.133,,174,
23,,2019-10-09T18:46:39.595+03:00,POST,https://engine.freerice.com/games,HTTP/1.1,448,73,,200,OK,HTTP/1.1,0,application/vnd.api+json,,,626,853,,,0,-1,213,-1,-1,0,-1,151.101.18.133,,214,
24,,2019-10-09T18:46:39.598+03:00,GET,https://beta.freerice.com/static/media/rice40.3bc63cac.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,666,4147,,,0,-1,193,-1,-1,1,-1,151.101.18.133,,195,
25,,2019-10-09T18:46:39.641+03:00,GET,https://engine.freerice.com/gamestats/rice-totals,HTTP/1.1,443,0,,200,OK,HTTP/1.1,0,application/vnd.api+json,,,609,280,,,0,-1,176,-1,-1,0,-1,151.101.18.133,,178,
26,,2019-10-09T18:46:39.700+03:00,GET,https://beta.freerice.com/static/media/rice50.423fce38.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,670,4664,,,0,-1,166,-1,-1,0,-1,151.101.18.133,,167,
27,,2019-10-09T18:46:39.719+03:00,GET,https://beta.freerice.com/static/media/rice60.d1a660cc.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,666,5227,,,0,-1,191,-1,-1,1,-1,151.101.18.133,,192,
28,,2019-10-09T18:46:39.720+03:00,GET,https://beta.freerice.com/static/media/rice70.afffb59f.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,666,5480,,,4,-1,208,-1,-1,0,-1,151.101.18.133,,213,
29,,2019-10-09T18:46:39.767+03:00,GET,https://beta.freerice.com/static/media/rice80.c1e73e11.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,666,5674,,,0,-1,175,-1,-1,2,-1,151.101.18.133,,177,
30,,2019-10-09T18:46:39.790+03:00,GET,https://beta.freerice.com/static/media/rice90.f987dbea.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,667,5869,,,0,-1,171,-1,-1,0,-1,151.101.18.133,,172,
31,,2019-10-09T18:46:39.798+03:00,GET,https://beta.freerice.com/static/media/rice100.59b896b0.svg,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,667,12161,,,0,-1,161,-1,-1,4,-1,151.101.18.133,,166,
32,,2019-10-09T18:46:39.872+03:00,GET,https://beta.freerice.com/assets/ads/rubicon-desktop-not-correct.html?k1jg4dp5,HTTP/1.1,550,0,,200,OK,HTTP/1.1,0,text/html,,,661,714,,,0,-1,178,-1,-1,0,-1,151.101.18.133,,179,value
