,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.wait,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error,request.queryString.name
0,,2019-10-04T16:22:01.281+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,18,66,2024,2097,62,0,172.217.18.110,,2245,,
1,,2019-10-04T16:22:08.271+03:00,GET,https://asoftmurmur.com/assets/font/montserrat-webfont.ttf,HTTP/1.1,405,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,-1,0,-1,192.241.156.233,,0,No response received,
2,,2019-10-04T16:22:08.287+03:00,GET,https://asoftmurmur.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,501,188756,,,1,-1,320,-1,-1,726,-1,192.241.156.233,,1048,,
3,,2019-10-04T16:22:08.560+03:00,GET,https://asoftmurmur.com/assets/font/montserrat-webfont.woff,HTTP/1.1,406,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,-1,-1,0,-1,192.241.156.233,,0,No response received,
4,,2019-10-04T16:22:08.650+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,-1,66,-1,-1,65,-1,172.217.18.110,,132,,
5,,2019-10-04T16:22:08.889+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=2083000129&t=pageview&_s=1&dl=https%3A%2F%2Fasoftmurmur.com%2F&ul=en-us&de=UTF-8&dt=A%20Soft%20Murmur&sd=24-bit&sr=800x600&vp=800x600&je=0&_u=IEBAAAAB~&jid=1571027598&gjid=1100312256&cid=876305371.1570195329&tid=UA-42700626-2&_gid=1759811278.1570195329&_r=1&z=147529672,HTTP/1.1,677,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=876305371.1570195329&jid=1571027598&_gid=1759811278.1570195329&gjid=1100312256&_v=j79&z=147529672,645,418,,,0,-1,75,-1,-1,0,-1,172.217.18.110,,77,,value
6,,2019-10-04T16:22:12.037+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=876305371.1570195329&jid=1571027598&_gid=1759811278.1570195329&gjid=1100312256&_v=j79&z=147529672,HTTP/1.1,533,0,,200,OK,HTTP/1.1,0,image/gif,,,539,35,,,0,15,74,2878,3025,0,0,66.102.1.155,,3116,,value
7,,2019-10-04T16:22:12.945+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,479,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,0,263,394,4232,4394,5060,0,192.241.156.233,,10115,,
8,,2019-10-04T16:22:12.963+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,479,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,250950,,,0,266,376,4249,4423,680,0,192.241.156.233,,5748,,
9,,2019-10-04T16:22:12.968+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,485,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,1,257,373,4254,4417,0,0,192.241.156.233,,5049,,
10,,2019-10-04T16:22:12.969+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,HTTP/1.1,485,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,223272,,,0,262,378,4251,4429,2411,0,192.241.156.233,,7483,,
11,,2019-10-04T16:22:12.994+03:00,GET,https://asoftmurmur.com/assets/img/bg-high-res.jpg,HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,image/jpeg,,,464,140196,,,0,-1,355,-1,-1,546,-1,192.241.156.233,,902,,
12,,2019-10-04T16:22:13.409+03:00,GET,https://asoftmurmur.com/assets/font/montserrat-webfont.ttf,HTTP/1.1,487,0,,200,OK,HTTP/1.1,0,application/font-sfnt,,,497,43716,,,0,0,328,231,431,171,0,192.241.156.233,,933,,
13,,2019-10-04T16:22:18.302+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,485,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,38484,,,0,-1,340,-1,-1,142,-1,192.241.156.233,,484,,
14,,2019-10-04T16:22:18.302+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,491,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,85481,,,0,-1,329,-1,-1,151,-1,192.241.156.233,,481,,
