,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.dns,timings.send,timings.ssl,timings.wait,timings.connect,timings.blocked,timings.receive,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T08:21:06.701+03:00,GET,https://www.youtube.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,985,40839,,,1,2,1315,155,1354,0,576,216.58.207.78,,2090,
1,,2019-10-12T08:21:07.113+03:00,GET,https://www.youtube.com/yts/cssbin/www-main-desktop-home-page-skeleton-webp-vflFdVBW1.css,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/css,,,561,1308,,,1,10,136,90,168,0,2,216.58.207.78,,273,
2,,2019-10-12T08:21:07.115+03:00,GET,https://www.youtube.com/yts/cssbin/www-onepick-webp-vflsYL2Tr.css,HTTP/1.1,479,0,,200,OK,HTTP/1.1,0,text/css,,,560,329,,,0,1,137,84,177,0,12,216.58.207.78,,276,
3,,2019-10-12T08:21:07.120+03:00,GET,https://www.youtube.com/yts/jsbin/custom-elements-es5-adapter-vflsrwHZH/custom-elements-es5-adapter.js,HTTP/1.1,501,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,814,,,0,4,138,113,172,0,1,216.58.207.78,,292,
4,,2019-10-12T08:21:07.121+03:00,GET,https://www.youtube.com/yts/jsbin/web-animations-next-lite.min-vflluX5aW/web-animations-next-lite.min.js,HTTP/1.1,503,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,15742,,,0,1,137,87,170,0,55,216.58.207.78,,315,
5,,2019-10-12T08:21:07.126+03:00,GET,https://www.youtube.com/yts/jsbin/webcomponents-sd-vflsdda5l/webcomponents-sd.js,HTTP/1.1,479,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,21439,,,0,1,140,93,174,0,56,216.58.207.78,,325,
6,,2019-10-12T08:21:07.251+03:00,GET,https://www.youtube.com/yts/htmlbin/desktop_polymer_v2-vflYMS1Cf.html,HTTP/1.1,498,0,,200,OK,HTTP/1.1,0,text/html,,,615,341964,,,-1,0,-1,125,-1,-1,240,216.58.207.78,,366,
7,,2019-10-12T08:21:07.269+03:00,GET,https://www.youtube.com/yts/jsbin/scheduler-vflhRKj4U/scheduler.js,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,2595,,,-1,0,-1,98,-1,-1,0,216.58.207.78,,100,
8,,2019-10-12T08:21:07.270+03:00,GET,https://www.youtube.com/yts/jsbin/www-tampering-vflEgtWpA/www-tampering.js,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,3635,,,-1,0,-1,97,-1,-1,1,216.58.207.78,,99,
9,,2019-10-12T08:21:07.279+03:00,GET,https://www.youtube.com/yts/jsbin/www-prepopulator-vfl8hLntF/www-prepopulator.js,HTTP/1.1,479,0,,200,OK,HTTP/1.1,0,text/javascript,,,564,321,,,-1,0,-1,92,-1,-1,1,216.58.207.78,,95,
10,,2019-10-12T08:21:07.283+03:00,GET,https://www.youtube.com/yts/jsbin/spf-vflqCgDoF/spf.js,HTTP/1.1,453,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,12228,,,-1,0,-1,91,-1,-1,2,216.58.207.78,,94,
11,,2019-10-12T08:21:07.387+03:00,GET,https://www.youtube.com/yts/jsbin/network-vflX047bV/network.js,HTTP/1.1,461,0,,200,OK,HTTP/1.1,0,text/javascript,,,565,4691,,,-1,0,-1,101,-1,-1,4,216.58.207.78,,106,
12,,2019-10-12T08:21:07.387+03:00,GET,https://www.youtube.com/yts/jsbin/desktop_polymer_v2-vflyh3fQc/desktop_polymer_v2.js,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,667680,,,-1,0,-1,97,-1,-1,433,216.58.207.78,,532,
13,,2019-10-12T08:21:09.845+03:00,GET,https://yt3.ggpht.com/sMwgWsx9oOWKiIUWSQsNa8KN-pQPzgmwz2l121DDeNQAv6T9xf1Kp9M0b_vNilyDuyA8c6lU=s88-c-k-c0xffffffff-no-nd-rj,HTTP/1.1,475,0,,200,OK,HTTP/1.1,0,image/jpeg,,,594,1294,,,0,0,1830,95,1876,0,0,216.58.210.1,,1973,
14,,2019-10-12T08:21:09.927+03:00,GET,https://yt3.ggpht.com/NT4l8fEwROekQhZesLUnvt5wOVz3ybUoGBES_k6I96_lbNSKN5M_VXb6kYEf_Q7T0hj9Um7qeg=s88-c-k-c0xffffffff-no-nd-rj,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/jpeg,,,594,1793,,,0,10,1924,105,1956,0,0,216.58.210.1,,2074,
15,,2019-10-12T08:21:09.936+03:00,GET,https://yt3.ggpht.com/hrzkEEgLQhkyBw3AGBKYzVpPQOeAUrO2c2P27Mr-cjXPE2763LhCKzwsE07IDh8y2BGaycFD2YI=s88-c-k-c0xffffffff-no-nd-rj,HTTP/1.1,478,0,,200,OK,HTTP/1.1,0,image/jpeg,,,594,1391,,,0,25,1920,81,1960,0,0,216.58.210.1,,2068,
16,,2019-10-12T08:21:09.937+03:00,GET,https://yt3.ggpht.com/8_oN5lO7Zt19TY89MM798c20zEeJcwsK9zvvPHd3ivCH8MS_49LC9uqPutjA8MM5nEC7_a5Z=s88-c-k-c0xffffffff-no-nd-rj,HTTP/1.1,475,0,,200,OK,HTTP/1.1,0,image/jpeg,,,594,1523,,,37,26,2923,97,2954,0,0,216.58.210.1,,3116,
17,,2019-10-12T08:21:09.958+03:00,GET,https://yt3.ggpht.com/5HkUAx2SOolanKFGX7Au5O84m4XbzvjpxXowcw2EYjbZmUObb_MzjZiiSDfy3z9ImpC0PCuZIB_dlPnEqQ=s88-c-k-c0xffffffff-no-nd-rj,HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,image/jpeg,,,584,1307,,,0,1,1948,95,1983,0,0,216.58.210.1,,2081,
18,,2019-10-12T08:21:09.959+03:00,GET,https://yt3.ggpht.com/q4dKhqTNe--O0MGDi_bFvaFAIiHcbdhfkOUiKM0qQPzPf3Zo9kryYxuMqP1bW6w1WdYswAfOpQ=s88-c-k-c0xffffffff-no-nd-rj,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/jpeg,,,595,1394,,,-1,0,-1,85,-1,-1,0,216.58.210.1,,86,
19,,2019-10-12T08:21:09.962+03:00,GET,https://www.youtube.com/yts/cssbin/www-main-desktop-watch-page-skeleton-webp-vflQ9GNSj.css,HTTP/1.1,504,0,,200,OK,HTTP/1.1,0,text/css,,,561,1040,,,-1,0,-1,95,-1,-1,0,216.58.207.78,,96,
20,,2019-10-12T08:21:10.055+03:00,GET,https://yt3.ggpht.com/xeoTOtCEMHJfutGyrxMJyNrki5zi2yr1sypw4ZEc0vh8eyrpJhLqvCOHVQ39B2mC8u5Ns6JEuw=s88-c-k-c0xffffffff-no-nd-rj,HTTP/1.1,477,0,,200,OK,HTTP/1.1,0,image/jpeg,,,594,1276,,,-1,0,-1,86,-1,-1,0,216.58.210.1,,87,
21,,2019-10-12T08:21:10.818+03:00,GET,https://fonts.googleapis.com/css?family=YT%20Sans%3A300%2C500%2C700,HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,405,,,1,0,3847,113,3877,0,0,172.217.23.138,,3993,value
22,,2019-10-12T08:21:11.188+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,411,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15344,,,0,0,365,95,382,0,49,172.217.22.3,,528,
23,,2019-10-12T08:21:11.191+03:00,GET,https://www.gstatic.com/youtube/img/promos/growth/f0accb1c85c9c18464c137e8fbc7e2ba0106a204abfccb7abb7f46fc95055aa7_2560x520.jpeg,HTTP/1.1,480,0,,200,OK,HTTP/1.1,0,image/jpeg,,,481,217292,,,0,0,1223,103,1284,0,236,172.217.22.67,,1626,
24,,2019-10-12T08:21:11.209+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,15552,,,3,0,3200,90,3236,0,51,172.217.22.3,,3383,
