,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.ssl,timings.send,timings.wait,timings.dns,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T17:14:53.315+03:00,GET,http://www.staggeringbeauty.com/,HTTP/1.1,439,0,,200,OK,HTTP/1.1,0,text/html,,,302,1193,,,20,0,62,-1,11,675,76,75.119.198.160,,846,,
1,,2019-10-09T17:14:54.217+03:00,GET,http://www.staggeringbeauty.com/lib/paper.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,289,57150,,,420,-1,-1,-1,5,261,-1,75.119.198.160,,687,,
2,,2019-10-09T17:14:54.226+03:00,GET,http://www.staggeringbeauty.com/lib/soundmanager2-nodebug-jsmin.js,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,application/javascript,,,317,11718,,,11,0,29,-1,1,449,2,75.119.198.160,,494,,
3,,2019-10-09T17:14:54.226+03:00,GET,http://www.staggeringbeauty.com/src/style.css,HTTP/1.1,365,0,,200,OK,HTTP/1.1,0,text/css,,,300,885,,,1,0,29,-1,2,475,1,75.119.198.160,,509,,
4,,2019-10-09T17:14:54.226+03:00,GET,http://www.staggeringbeauty.com/src/jiggler.js,HTTP/1.1,351,0,,200,OK,HTTP/1.1,0,application/javascript,,,314,353,,,2,0,29,-1,2,441,1,75.119.198.160,,477,,
5,,2019-10-09T17:14:54.227+03:00,GET,http://www.staggeringbeauty.com/lib/Tween.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,316,2096,,,1,0,29,-1,1,474,1,75.119.198.160,,508,,
6,,2019-10-09T17:14:54.227+03:00,GET,http://www.staggeringbeauty.com/lib/traer.js,HTTP/1.1,349,0,,200,OK,HTTP/1.1,0,application/javascript,,,316,3363,,,13,0,33,-1,0,456,1,75.119.198.160,,505,,
7,,2019-10-09T17:14:57.618+03:00,GET,https://www.google-analytics.com/ga.js,HTTP/1.1,337,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,45,0,2510,2478,1,109,0,216.58.206.14,,2666,,
8,,2019-10-09T17:14:57.823+03:00,GET,https://www.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1152985693&utmhn=www.staggeringbeauty.com&utmcs=UTF-8&utmsr=800x600&utmvp=800x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=Staggering%20Beauty&utmhid=1255703278&utmr=-&utmp=%2F&utmht=1570630497812&utmac=UA-353220-16&utmcc=__utma%3D133079244.915542749.1570630498.1570630498.1570630498.1%3B%2B__utmz%3D133079244.1570630498.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=547281343&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,852,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,1,-1,-1,-1,0,109,-1,216.58.206.14,,111,value,
9,,2019-10-09T17:14:57.961+03:00,GET,http://www.staggeringbeauty.com/src/main.js,HTTP/1.1,560,0,,0,,unknown,0,,,,-1,-1,,,0,-1,35,-1,0,0,-1,75.119.198.160,,36,,No response received
