,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.blocked,timings.connect,timings.send,timings.dns,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-08T17:45:24.131+03:00,GET,http://orteil.dashnet.org/cookieclicker/,HTTP/1.1,441,0,,307,Temporary Redirect,HTTP/1.1,0,text/html,,http://orteil.dashnet.org/cookieclicker/?__r=1.b11212b18138b075955ed8c2e8eac915,411,116,,,16,0,53,11,31,156,-1,213.186.33.107,,269,,
1,,2019-10-08T17:45:24.426+03:00,GET,http://orteil.dashnet.org/cookieclicker/?__r=1.b11212b18138b075955ed8c2e8eac915,HTTP/1.1,480,0,,307,Temporary Redirect,HTTP/1.1,0,text/html,,http://orteil.dashnet.org/cookieclicker/,445,116,,,2,0,28,1,3,161,-1,213.186.33.107,,197,value,
2,,2019-10-08T17:45:24.636+03:00,GET,http://orteil.dashnet.org/cookieclicker/,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,text/html,,,351,3926,,,8,-1,-1,6,-1,130,-1,213.186.33.107,,145,,
3,,2019-10-08T17:45:24.827+03:00,GET,http://orteil.dashnet.org/cookieclicker/showads.js,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,application/javascript,,,480,198,,,0,-1,-1,0,-1,101,-1,213.186.33.107,,103,,
4,,2019-10-08T17:45:24.827+03:00,GET,http://orteil.dashnet.org/cookieclicker/base64.js,HTTP/1.1,427,0,,200,OK,HTTP/1.1,0,application/javascript,,,480,931,,,0,-1,-1,0,-1,104,-1,213.186.33.107,,105,,
5,,2019-10-08T17:45:24.832+03:00,GET,http://orteil.dashnet.org/cookieclicker/style.css?v=2.050,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,text/css,,,469,12239,,,7,0,40,0,0,152,-1,213.186.33.107,,201,value,
6,,2019-10-08T17:45:24.834+03:00,GET,http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,379,0,,200,OK,HTTP/1.1,0,text/javascript;charset=UTF-8,,,535,36822,,,100,0,41,6,32,164,-1,216.58.205.226,,346,,
7,,2019-10-08T17:45:24.834+03:00,GET,http://orteil.dashnet.org/cookieclicker/main.js?v=2.06,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,application/javascript,,,484,197309,,,252,0,39,0,0,141,-1,213.186.33.107,,434,value,
8,,2019-10-08T17:45:27.556+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js,HTTP/1.1,394,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,894,36824,,,70,0,2671,1,31,112,2646,216.58.205.226,,2888,,
9,,2019-10-08T17:45:27.792+03:00,GET,https://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/1.0.9/cookieconsent.min.js,HTTP/1.1,387,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,693,1726,,,0,0,2907,0,38,151,2881,104.19.195.151,,3099,,
