,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.dns,timings.send,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,request.queryString.name,response._error
10,,2019-10-08T15:55:55.339+03:00,GET,https://dnlzsmybcpo0z.cloudfront.net/medium/769214.jpg?v=1490826333,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,image/jpeg,,,488,9858,,,116,-1,-1,0,-1,-1,0,143.204.192.45,,117,value,
11,,2019-10-08T15:55:55.522+03:00,GET,https://apis.google.com/js/api.js?onload=onLoadGoogleAuth2,HTTP/1.1,563,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,885,4851,,,139,177,0,0,0,211,2,216.58.207.78,,353,value,
12,,2019-10-08T15:55:55.944+03:00,GET,"https://apis.google.com/_/scs/apps-static/_/js/k=oz.gapi.en_US.ysvV9EtEi0w.O/m=auth2,client/rt=j/sv=1/d=1/ed=1/am=wQE/rs=AGLTcCMcYZL5zQsWyujyfqZUWUukFuVxmQ/cb=gapi.loaded_0",HTTP/1.1,677,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,543,101170,,,98,-1,-1,0,-1,-1,140,216.58.207.78,,239,,
13,,2019-10-08T15:55:56.894+03:00,GET,https://jadserve.postrelease.com/t?ntv_url=https%3A%2F%2Fwww.sporcle.com%2F&ntv_mvi&ntv_fpc=7ab7b78b-8ea8-4a1a-bd3a-8a8307001b0c,HTTP/1.1,508,0,,200,,HTTP/1.1,0,text/javascript;charset=UTF-8,,,472,143,,,257,1478,41,0,0,1510,0,54.241.217.8,,1809,value,
14,,2019-10-08T15:55:58.252+03:00,GET,https://connect.facebook.net/en_US/sdk.js,HTTP/1.1,357,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,805,1779,,,133,3172,0,0,0,3201,1,31.13.92.14,,3337,,
15,,2019-10-08T15:55:59.585+03:00,GET,https://connect.facebook.net/en_US/sdk.js?hash=3d1919859efceb73bcc7cdcbb35a1c7b&ua=modern_es6,HTTP/1.1,439,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,820,59059,,,107,1161,0,0,0,1189,96,31.13.92.14,,1392,value,
16,,2019-10-08T15:56:00.090+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,584,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1122,11785,,,96,181,53,0,0,208,3,31.13.92.14,,362,value,
17,,2019-10-08T15:56:01.093+03:00,GET,https://www.facebook.com/x/oauth/status?client_id=74484753514&input_token&origin=1&redirect_uri=https%3A%2F%2Fwww.sporcle.com%2F&sdk=joey&wants_cookie_data=true,HTTP/1.1,558,0,,200,OK,HTTP/1.1,0,text/plain; charset=UTF-8,,,596,0,,,141,1177,52,0,0,1206,0,31.13.92.36,,1401,value,
18,,2019-10-08T15:55:51.797+03:00,CONNECT,https://tag.bounceexchange.com,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,0,0,10038,0,35.190.92.63,,10038,,Unable to connect to host
19,,2019-10-08T15:55:51.803+03:00,CONNECT,https://detwzgl8cvciv.cloudfront.net,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,,0,-1,0,0,0,10033,0,99.86.255.226,,10033,,Unable to connect to host
