,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.wait,timings.dns,timings.send,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-11T14:14:55.256+03:00,GET,http://www.foddy.net/2010/10/qwop/,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,661,6816,,,21,55,0,232,146,6,-1,104.28.23.57,,462,,
1,,2019-10-11T14:14:55.780+03:00,GET,http://www.foddy.net/wp/wp-content/cache/minify/2332d.css,HTTP/1.1,430,0,,200,OK,HTTP/1.1,0,text/css;charset=utf-8,,,546,32384,,,52,-1,-1,114,-1,2,-1,104.28.23.57,,170,,
2,,2019-10-11T14:14:55.792+03:00,GET,http://www.foddy.net/wp/wp-includes//images/spinner.gif,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/gif,,,469,4162,,,4,25,0,142,2,1,-1,104.28.23.57,,176,,
3,,2019-10-11T14:14:55.793+03:00,GET,http://fonts.googleapis.com/css?family=Noto+Sans%3Aregular%2Citalic%2C700%2C%7CLato%3Aregular%2Citalic%2C700%2C%7CCabin%3Aregular%2Citalic%2C700%2C400%2C600&subset=all,HTTP/1.1,485,0,,200,OK,HTTP/1.1,0,text/css;charset=utf-8,,,486,1125,,,0,28,0,115,26,7,-1,172.217.23.106,,177,value,
4,,2019-10-11T14:14:55.796+03:00,GET,http://www.foddy.net/wp/wp-content/themes/letsblog/templates/script-custom-css.php,HTTP/1.1,455,0,,200,OK,HTTP/1.1,0,text/css,,,490,264,,,0,31,0,726,0,1,-1,104.28.23.57,,761,,
5,,2019-10-11T14:14:55.796+03:00,GET,http://www.foddy.net/wp/wp-content/uploads/2017/01/qwoplogo3-1.png,HTTP/1.1,460,0,,200,OK,HTTP/1.1,0,image/png,,,476,10219,,,5,31,0,137,0,1,-1,104.28.23.57,,176,,
6,,2019-10-11T14:14:55.796+03:00,GET,http://www.foddy.net/wp/wp-content/cache/minify/9f9cc.js,HTTP/1.1,414,0,,200,OK,HTTP/1.1,0,application/x-javascript;charset=utf-8,,,569,37133,,,44,31,0,126,0,1,-1,104.28.23.57,,203,,
7,,2019-10-11T14:14:55.798+03:00,GET,http://www.foddy.net/wp/wp-content/cache/minify/47d3a.js,HTTP/1.1,414,0,,200,OK,HTTP/1.1,0,application/x-javascript;charset=utf-8,,,568,2114,,,3,28,0,119,0,1,-1,104.28.23.57,,152,,
8,,2019-10-11T14:14:56.093+03:00,GET,http://www.foddy.net/wp/wp-content/cache/minify/fb2d6.js,HTTP/1.1,414,0,,200,OK,HTTP/1.1,0,application/x-javascript;charset=utf-8,,,570,27017,,,43,-1,-1,103,-1,0,-1,104.28.23.57,,147,,
9,,2019-10-11T14:14:56.095+03:00,GET,http://www.foddy.net/wp/wp-content/uploads/2010/10/qwopss.jpg,HTTP/1.1,455,0,,200,OK,HTTP/1.1,0,image/jpeg,,,482,69536,,,1644,-1,-1,352,-1,0,-1,104.28.23.57,,1998,,
