,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.wait,timings.ssl,timings.dns,timings.send,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-09T18:19:07.990+03:00,GET,https://www.instagram.com/,HTTP/1.1,467,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,2964,10080,,,1265,441,0,372,1228,73,2,157.240.1.174,,2155,
1,,2019-10-09T18:19:08.690+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerUICommons.css/cbf5ab0f02ee.css,HTTP/1.1,546,0,,200,OK,HTTP/1.1,0,text/css,,,349,12760,,,149,323,0,96,127,0,1,157.240.1.174,,571,
2,,2019-10-09T18:19:08.690+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerAsyncCommons.css/a57df2c9ce33.css,HTTP/1.1,549,0,,200,OK,HTTP/1.1,0,text/css,,,348,2968,,,156,12,0,106,129,0,0,157.240.1.174,,276,
3,,2019-10-09T18:19:08.692+03:00,GET,https://www.instagram.com/static/bundles/metro/Vendor.js/59e340c75ebf.js,HTTP/1.1,518,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,64524,,,150,304,0,92,124,0,1,157.240.1.174,,548,
4,,2019-10-09T18:19:08.693+03:00,GET,https://www.instagram.com/static/bundles/metro/Consumer.css/53fcc8013b2c.css,HTTP/1.1,537,0,,200,OK,HTTP/1.1,0,text/css,,,349,12711,,,165,422,0,96,131,0,0,157.240.1.174,,686,
5,,2019-10-09T18:19:08.693+03:00,GET,https://www.instagram.com/static/bundles/metro/LandingPage.css/fcbab16f3f4c.css,HTTP/1.1,540,0,,200,OK,HTTP/1.1,0,text/css,,,348,3719,,,151,39,0,95,123,0,0,157.240.1.174,,287,
6,,2019-10-09T18:19:08.832+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerLibCommons.js/aa6c69c5b29e.js,HTTP/1.1,530,0,,200,OK,HTTP/1.1,0,text/javascript,,,357,119081,,,-1,456,-1,107,-1,-1,1,157.240.1.174,,565,
7,,2019-10-09T18:19:08.832+03:00,GET,https://www.instagram.com/static/bundles/metro/en_US.js/e3f6803501b2.js,HTTP/1.1,517,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,43389,,,-1,281,-1,117,-1,-1,1,157.240.1.174,,399,
8,,2019-10-09T18:19:08.834+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerUICommons.js/dcdb801c5063.js,HTTP/1.1,529,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,36448,,,-1,153,-1,113,-1,-1,1,157.240.1.174,,268,
9,,2019-10-09T18:19:09.098+03:00,GET,https://www.instagram.com/static/bundles/metro/ConsumerAsyncCommons.js/371565461f28.js,HTTP/1.1,532,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,23779,,,-1,338,-1,94,-1,-1,1,157.240.1.174,,434,
10,,2019-10-09T18:19:09.108+03:00,GET,https://www.instagram.com/static/bundles/metro/Consumer.js/484d89b5b189.js,HTTP/1.1,520,0,,200,OK,HTTP/1.1,0,text/javascript,,,357,104949,,,-1,337,-1,102,-1,-1,1,157.240.1.174,,440,
11,,2019-10-09T18:19:09.117+03:00,GET,https://www.instagram.com/static/bundles/metro/LandingPage.js/ee1d96b79828.js,HTTP/1.1,523,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,28883,,,-1,198,-1,111,-1,-1,0,157.240.1.174,,310,
12,,2019-10-09T18:19:09.220+03:00,GET,https://www.instagram.com/static/bundles/metro/Polyfills.js/4d1ce418b577.js,HTTP/1.1,521,0,,200,OK,HTTP/1.1,0,text/javascript,,,356,12082,,,-1,606,-1,85,-1,-1,1,157.240.1.174,,693,
13,,2019-10-09T18:19:09.250+03:00,GET,https://www.instagram.com/static/bundles/metro/FeedPageContainer.js/5b5946b05ef7.js,HTTP/1.1,593,0,,200,OK,HTTP/1.1,0,text/javascript,,,357,107901,,,-1,265,-1,90,-1,-1,0,157.240.1.174,,357,
14,,2019-10-09T18:19:09.402+03:00,GET,https://www.instagram.com/static/bundles/metro/FeedPageContainer.css/a9197db45b1a.css,HTTP/1.1,595,0,,200,OK,HTTP/1.1,0,text/css,,,349,16126,,,-1,22,-1,130,-1,-1,0,157.240.1.174,,153,
15,,2019-10-09T18:19:10.247+03:00,POST,https://www.instagram.com/qp/batch_fetch_web/,HTTP/1.1,725,5193,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,2191,93,,,-1,0,-1,313,-1,-1,0,157.240.1.174,,314,
