,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.connect,timings.receive,timings.dns,timings.send,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
18,,2019-10-12T15:07:10.906+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6141684361710958&output=html&h=280&slotname=7331917240&adk=1394705086&adf=408460107&w=500&fwrn=4&fwrnh=100&lmt=1570882025&rafmt=1&guci=2.2.0.0.2.2.0.0&format=500x280&url=https%3A%2F%2Ftheuselessweb.com%2F&flash=0&fwr=0&rpe=1&resp_fmts=3&wgl=1&dt=1570882024796&bpp=68&bdt=4073&fdt=257&idt=257&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&correlator=8632544299407&frm=20&pv=2&ga_vid=905605211.1570882025&ga_sid=1570882025&ga_hid=856402192&ga_fc=0&iag=0&icsg=33770&dssz=12&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=145&ady=523&biw=779&bih=600&scr_x=0&scr_y=0&eid=20199335&oid=3&pvsid=3576528676612638&pem=463&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CaeE%7C&abl=CA&pfx=0&fu=144&bc=31&ifi=1&uci=a!1&xpc=vTVf1P90U7&p=https%3A//theuselessweb.com&dtd=321,HTTP/1.1,1386,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,929,199,,,0,1650,0,0,1,263,1618,172.217.22.34,,1916,value
19,,2019-10-12T15:07:10.917+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6141684361710958&output=html&adk=1812271804&adf=3025194257&lmt=1570882025&plat=1%3A8%2C2%3A8%2C8%3A8%2C9%3A32776%2C16%3A8388608%2C30%3A1048576&guci=2.2.0.0.2.2.0.0&format=0x0&url=https%3A%2F%2Ftheuselessweb.com%2F&ea=0&flash=0&pra=7&wgl=1&dt=1570882024865&bpp=11&bdt=4142&fdt=287&idt=287&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=500x280&nras=1&correlator=8632544299407&frm=20&pv=1&ga_vid=905605211.1570882025&ga_sid=1570882025&ga_hid=856402192&ga_fc=0&iag=0&icsg=164842&dssz=13&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=-12245933&ady=-12245933&biw=779&bih=600&scr_x=0&scr_y=0&eid=20199335&oid=3&pvsid=3576528676612638&pem=463&rx=0&eae=2&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7Cs%7C&abl=NS&fu=16&bc=31&ifi=1&uci=a!1&dtd=295,HTTP/1.1,1366,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,905,0,,,0,2558,0,0,1,111,2507,172.217.22.34,,2672,value
20,,2019-10-12T15:07:10.930+03:00,GET,https://platform.twitter.com/widgets/widget_iframe.e3a0e1b01ae601b6c9cf798a93ab7e69.html?origin=https%3A%2F%2Ftheuselessweb.com,HTTP/1.1,598,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,498,5816,,,-1,-1,3,-1,0,81,-1,192.229.233.25,,85,value
21,,2019-10-12T15:07:11.938+03:00,GET,https://platform.twitter.com/js/button.d941c9a422e2e3faf474b82a1f39e936.js,HTTP/1.1,392,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,511,2296,,,-1,-1,1,-1,0,94,-1,192.229.233.25,,95,
22,,2019-10-12T15:07:11.947+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101,HTTP/1.1,396,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29055,,,0,1217,68,0,0,119,1180,172.217.22.34,,1406,value
23,,2019-10-12T15:07:12.049+03:00,GET,https://platform.twitter.com/widgets/tweet_button.e3a0e1b01ae601b6c9cf798a93ab7e69.en.html,HTTP/1.1,561,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,499,12257,,,-1,-1,8,-1,3,87,-1,192.229.233.25,,99,
24,,2019-10-12T15:07:15.263+03:00,GET,https://syndication.twitter.com/settings,HTTP/1.1,493,0,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,595,79,,,0,2958,0,0,0,214,2925,104.244.42.200,,3174,
25,,2019-10-12T15:07:15.278+03:00,GET,https://syndication.twitter.com/i/jot?l=%7B%22widget_origin%22%3A%22https%3A%2F%2Ftheuselessweb.com%2F%22%2C%22widget_frame%22%3Afalse%2C%22language%22%3A%22en%22%2C%22message%22%3A%22m%3Anocount%3A%22%2C%22_category_%22%3A%22tfw_client_event%22%2C%22triggered_on%22%3A1570882032303%2C%22dnt%22%3Afalse%2C%22client_version%22%3A%22708eecd%3A1570046592825%22%2C%22format_version%22%3A1%2C%22event_namespace%22%3A%7B%22client%22%3A%22tfw%22%2C%22page%22%3A%22button%22%2C%22section%22%3A%22share%22%2C%22action%22%3A%22impression%22%7D%7D,HTTP/1.1,890,0,,200,OK,HTTP/1.1,0,image/gif;charset=utf-8,,,635,65,,,0,3336,0,52,0,213,3309,104.244.42.200,,3604,value
26,,2019-10-12T15:07:15.341+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/OqOE21UvWe3.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,520,400,,,0,4543,0,0,0,101,4512,31.13.92.14,,4647,
27,,2019-10-12T15:07:15.341+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ivXU4/yH/l/he_IL/TwsEpFZ16Q2.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,-1,,,0,4541,0,0,0,104,4496,31.13.92.14,,4645,value
