,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.ssl,timings.dns,timings.send,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name,response._error
0,,2019-10-09T19:06:29.446+03:00,GET,https://www.poptropica.com/,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,text/html; charset=iso-8859-1,,,921,4582,,,645,2890,94,2,13,2919,0,13.225.250.134,,3675,,
1,,2019-10-09T19:06:30.143+03:00,GET,https://www.poptropica.com/images/logo-1.png,HTTP/1.1,523,0,,200,OK,HTTP/1.1,0,image/png,,,621,33679,,,102,-1,-1,1,77,-1,-1,13.225.250.134,,181,,
2,,2019-10-09T19:06:30.335+03:00,GET,https://www.poptropica.com/brain/track.php?campaign=IndexPage&event=ImageABTest&cluster=Home&scene=Home&choice=Poptropica_HP.jpg&r=%2Fimages%2FPoptropica_HP.jpg,HTTP/1.1,639,0,,301,Moved Permanently,HTTP/1.1,0,text/html; charset=iso-8859-1,,/images/Poptropica_HP.jpg,726,145,,,607,-1,-1,1,0,-1,-1,13.225.250.134,,609,value,
3,,2019-10-09T19:06:30.949+03:00,GET,https://www.poptropica.com/images/Poptropica_HP.jpg,HTTP/1.1,530,0,,200,OK,HTTP/1.1,0,image/jpeg,,,624,212953,,,87,-1,-1,0,159,-1,-1,13.225.250.134,,248,,
4,,2019-10-09T19:06:32.893+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js,HTTP/1.1,419,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,456,9832,,,89,2673,29,1,652,2714,0,209.197.3.15,,3487,,
5,,2019-10-09T19:06:32.894+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,450,19740,,,92,2673,32,0,1693,2715,0,209.197.3.15,,4536,,
6,,2019-10-09T19:06:33.229+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js,HTTP/1.1,383,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,30399,,,90,3008,32,0,65,3048,0,172.217.22.106,,3238,,
7,,2019-10-09T19:06:33.231+03:00,GET,https://ajax.googleapis.com/ajax/libs/jquery/1.11.1/jquery.min.js,HTTP/1.1,384,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,618,33434,,,85,2835,0,0,68,2883,0,172.217.22.106,,3038,,
8,,2019-10-09T19:06:34.126+03:00,GET,https://static.poptropica.com/re_css/pop-main.css,HTTP/1.1,494,0,,200,OK,HTTP/1.1,0,text/css,,,620,18134,,,144,710,0,1,2,734,0,13.225.250.134,,883,,
9,,2019-10-09T19:06:34.128+03:00,GET,https://static.poptropica.com/js/jquery.bxslider.4.1.2.min.js,HTTP/1.1,491,0,,200,OK,HTTP/1.1,0,text/javascript,,,627,19359,,,95,3846,100,1,33,3879,0,13.225.250.134,,4110,,
10,,2019-10-09T19:06:34.128+03:00,GET,https://static.poptropica.com/js/brainEventTracker.js,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,text/javascript,,,626,5704,,,102,2878,0,0,13,2905,0,13.225.250.134,,3021,,
11,,2019-10-09T19:06:34.130+03:00,GET,https://static.poptropica.com/js/jquery.magnific-popup.min.js,HTTP/1.1,491,0,,200,OK,HTTP/1.1,0,text/javascript,,,627,20680,,,142,3849,103,0,4,3880,0,13.225.250.134,,4132,,
12,,2019-10-09T19:06:34.270+03:00,GET,https://static.poptropica.com/js/pop-homepage.js,HTTP/1.1,478,0,,200,OK,HTTP/1.1,0,text/javascript,,,626,6874,,,84,-1,-1,0,13,-1,-1,13.225.250.134,,99,,
13,,2019-10-09T19:06:34.289+03:00,GET,https://static.poptropica.com/images/edit-pen-icon.png,HTTP/1.1,520,0,,200,OK,HTTP/1.1,0,image/png,,,619,2384,,,95,-1,-1,0,1,-1,-1,13.225.250.134,,97,,
14,,2019-10-09T19:06:34.374+03:00,GET,https://static.poptropica.com/images/explore-icon.png,HTTP/1.1,519,0,,200,OK,HTTP/1.1,0,image/png,,,620,7489,,,96,-1,-1,0,2,-1,-1,13.225.250.134,,98,,
15,,2019-10-09T19:06:34.391+03:00,GET,https://static.poptropica.com/images/become-member-icon.png,HTTP/1.1,525,0,,200,OK,HTTP/1.1,0,image/png,,,619,3758,,,99,-1,-1,0,1,-1,-1,13.225.250.134,,102,,
16,,2019-10-09T19:06:34.487+03:00,GET,https://static.poptropica.com/images/home/app-icon.png,HTTP/1.1,520,0,,200,OK,HTTP/1.1,0,image/png,,,623,112469,,,109,-1,-1,2,102,-1,-1,13.225.250.134,,213,,
17,,2019-10-09T19:06:34.514+03:00,GET,https://static.poptropica.com/images/home/blog-character.png,HTTP/1.1,526,0,,200,OK,HTTP/1.1,0,image/png,,,621,59060,,,103,-1,-1,1,89,-1,-1,13.225.250.134,,193,,
18,,2019-10-09T19:06:34.724+03:00,GET,https://www.poptropica.com/brain/track.php?event=Pageview&campaign=IndexPage&cluster=Home&scene=Home&choice=IndexPage&randomNumber=0.9022421526046427,HTTP/1.1,589,0,,200,OK,HTTP/1.1,0,text/html; charset=iso-8859-1,,,641,20,,,621,-1,-1,0,0,-1,-1,13.225.250.134,,623,value,
19,,2019-10-09T19:06:34.838+03:00,GET,https://static.poptropica.com/images/home/white-paper-background.png,HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,image/png,,,621,32561,,,88,-1,-1,0,29,-1,-1,13.225.250.134,,118,,
20,,2019-10-09T19:06:36.271+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,364,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,90,1401,0,0,21,1436,0,216.58.206.14,,1550,,
21,,2019-10-09T19:06:36.382+03:00,GET,https://www.kidsafeseal.com/sealimage/9223372036854775807/poptropica_small_darktm.png,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,image/png,,,626,4398,,,152,1511,119,0,1,1545,0,104.25.51.33,,1820,,
22,,2019-10-09T19:06:36.569+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-MBKX72F,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,19762,,,105,1766,61,0,47,1785,0,216.58.207.72,,2001,value,
23,,2019-10-09T19:06:36.753+03:00,GET,https://www.google-analytics.com/gtm/js?id=GTM-NG5PMVX&t=gtm1&cid=1214036720.1570637196,HTTP/1.1,406,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,0,0,-1,-1,216.58.206.14,,0,value,No response received
