,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.blocked,timings.receive,timings.wait,timings.dns,timings.ssl,timings.send,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T08:25:51.802+03:00,GET,https://www.duolingo.com/,HTTP/1.1,466,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1007,2246,,,2658,0,14,216,137,2623,2,3.219.183.180,,3028,
1,,2019-10-12T08:25:55.002+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/css/ltr-f054f04e.css,HTTP/1.1,390,0,,200,OK,HTTP/1.1,0,text/css,,,524,61699,,,2828,0,113,122,88,2774,1,13.226.6.164,,3154,
2,,2019-10-12T08:25:55.004+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/vendor-76cee218.js,HTTP/1.1,376,0,,200,OK,HTTP/1.1,0,application/javascript,,,539,292564,,,2829,0,225,111,89,2783,0,13.226.6.164,,3256,
3,,2019-10-12T08:25:55.005+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/strings/en-7a122bdf.js,HTTP/1.1,377,0,,200,OK,HTTP/1.1,0,application/javascript,,,538,25480,,,2831,0,42,128,88,2786,0,13.226.6.164,,3092,
4,,2019-10-12T08:25:55.006+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/js/app-8308ac72.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,539,314477,,,2832,0,251,110,88,2779,0,13.226.6.164,,3283,
5,,2019-10-12T08:25:55.736+03:00,GET,https://www.duolingo.com/2017-06-30/config?_=1570857955731,HTTP/1.1,702,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,679,1223,,,-1,-1,0,194,-1,-1,57,3.219.183.180,,252,value
6,,2019-10-12T08:25:55.810+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/hamburger-menu.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,232,,,-1,-1,0,81,-1,-1,0,13.226.6.164,,82,
7,,2019-10-12T08:25:55.810+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/star-pattern.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,1333,,,-1,-1,1,81,-1,-1,0,13.226.6.164,,83,
8,,2019-10-12T08:25:55.814+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/earth-two-rings.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,956,,,-1,-1,1,85,-1,-1,0,13.226.6.164,,87,
9,,2019-10-12T08:25:55.819+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/juicy-happy.svg,HTTP/1.1,446,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,2184,,,-1,-1,2,85,-1,-1,1,13.226.6.164,,89,
10,,2019-10-12T08:25:55.904+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/play-icon.svg,HTTP/1.1,444,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,249,,,-1,-1,0,101,-1,-1,0,13.226.6.164,,102,
11,,2019-10-12T08:25:55.904+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-features.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,698,,,-1,-1,2,96,-1,-1,0,13.226.6.164,,99,
12,,2019-10-12T08:25:55.905+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-speaker.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,394,,,-1,-1,0,96,-1,-1,0,13.226.6.164,,97,
13,,2019-10-12T08:25:55.914+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-check.svg,HTTP/1.1,448,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,293,,,-1,-1,0,88,-1,-1,0,13.226.6.164,,89,
14,,2019-10-12T08:25:55.994+03:00,POST,https://www.duolingo.com/2017-06-30/tracking-status,HTTP/1.1,797,68,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1159,2,,,-1,-1,0,186,-1,-1,0,3.219.183.180,,187,
15,,2019-10-12T08:25:56.012+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-streak.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,454,,,-1,-1,0,93,-1,-1,0,13.226.6.164,,94,
16,,2019-10-12T08:25:56.013+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/feature-lingot.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,389,,,-1,-1,1,87,-1,-1,0,13.226.6.164,,89,
17,,2019-10-12T08:25:56.013+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/duo-plus-fly-circle-2.svg,HTTP/1.1,456,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,3190,,,-1,-1,3,89,-1,-1,0,13.226.6.164,,93,
18,,2019-10-12T08:25:56.013+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/badge-app-store.svg,HTTP/1.1,450,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,463,,,-1,-1,0,88,-1,-1,0,13.226.6.164,,89,
19,,2019-10-12T08:25:56.072+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/badge-play-store.svg,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,618,,,252,0,1,87,0,220,1,13.226.6.164,,343,
20,,2019-10-12T08:25:56.073+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/duo-traveler.svg,HTTP/1.1,447,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,3419,,,250,0,1,89,0,221,0,13.226.6.164,,342,
21,,2019-10-12T08:25:56.118+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/laptop-schools.svg,HTTP/1.1,449,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,529,2078,,,-1,-1,1,83,-1,-1,0,13.226.6.164,,85,
22,,2019-10-12T08:25:56.309+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/images/logo-white.svg,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,image/svg+xml,,,528,993,,,-1,-1,1,89,-1,-1,1,13.226.6.164,,92,
23,,2019-10-12T08:25:56.351+03:00,GET,https://www.duolingo.com/api/1/courses/list?_=1570857956313,HTTP/1.1,765,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,680,2916,,,318,0,0,187,0,279,1,3.219.183.180,,508,value
24,,2019-10-12T08:25:56.550+03:00,GET,https://www.duolingo.com/gcm-service-worker.js,HTTP/1.1,754,0,,200,OK,HTTP/1.1,0,application/javascript,,,716,2449,,,-1,-1,0,166,-1,-1,0,3.219.183.180,,167,
25,,2019-10-12T08:25:56.697+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/fonts/DINNextRoundedLTPro-Bold.woff,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,710,56944,,,325,0,97,91,0,299,1,13.226.6.164,,516,
26,,2019-10-12T08:25:56.895+03:00,GET,https://d35aaqx5ub95lt.cloudfront.net/fonts/DINNextRoundedLTPro-Regular.woff,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,binary/octet-stream,,,710,54921,,,-1,-1,26,99,-1,-1,0,13.226.6.164,,126,
27,,2019-10-12T08:25:57.710+03:00,GET,https://client.perimeterx.net/PXAsQJFZ9W/main.min.js,HTTP/1.1,369,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,617,26764,,,1873,0,65,85,38,1842,1,151.101.18.110,,2063,
28,,2019-10-12T08:25:59.078+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,2761,0,0,170,0,2730,0,52.73.238.209,,2932,
29,,2019-10-12T08:25:59.082+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,3286,0,0,168,61,3246,0,52.73.238.209,,3518,
30,,2019-10-12T08:25:59.096+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,2771,0,0,161,0,2750,0,52.73.238.209,,2933,
31,,2019-10-12T08:25:59.252+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,-1,-1,0,167,-1,-1,0,52.73.238.209,,168,
32,,2019-10-12T08:25:59.253+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,2942,0,0,166,0,2901,0,52.73.238.209,,3110,
33,,2019-10-12T08:25:59.255+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,-1,-1,0,166,-1,-1,0,52.73.238.209,,167,
34,,2019-10-12T08:25:59.263+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,-1,-1,0,164,-1,-1,0,52.73.238.209,,165,
35,,2019-10-12T08:25:59.390+03:00,OPTIONS,https://excess.duolingo.com/batch,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,,,,397,0,,,325,0,0,157,0,280,0,52.73.238.209,,484,
36,,2019-10-12T08:25:59.427+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,771,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,-1,0,212,-1,-1,0,52.73.238.209,,214,
37,,2019-10-12T08:25:59.427+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,885,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,-1,0,278,-1,-1,0,52.73.238.209,,279,
38,,2019-10-12T08:25:59.428+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,886,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,-1,0,274,-1,-1,0,52.73.238.209,,276,
39,,2019-10-12T08:25:59.432+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,827,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,-1,0,281,-1,-1,0,52.73.238.209,,282,
40,,2019-10-12T08:25:59.552+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,792,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,-1,0,287,-1,-1,0,52.73.238.209,,288,
41,,2019-10-12T08:25:59.707+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,819,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,-1,0,200,-1,-1,0,52.73.238.209,,201,
42,,2019-10-12T08:25:59.710+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,868,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,-1,0,285,-1,-1,0,52.73.238.209,,286,
43,,2019-10-12T08:25:59.717+03:00,POST,https://excess.duolingo.com/batch,HTTP/1.1,434,869,,200,OK,HTTP/1.1,0,,,,358,34,,,-1,-1,0,279,-1,-1,0,52.73.238.209,,280,
44,,2019-10-12T08:26:02.806+03:00,GET,https://www.googletagmanager.com/gtm.js?id=GTM-TX6Z97C,HTTP/1.1,371,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,624,22078,,,7257,0,56,105,24,7237,0,216.58.207.72,,7444,value
