,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,request.queryString.name
0,,2019-10-12T15:38:37.975+03:00,GET,https://asoftmurmur.com/,HTTP/1.1,465,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,501,188756,,,0,318,2366,105,2329,2,308,192.241.156.233,,3101,
1,,2019-10-12T15:38:38.746+03:00,GET,https://asoftmurmur.com/assets/font/montserrat-webfont.ttf,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,application/font-sfnt,,,497,43716,,,-1,14,-1,-1,-1,1,165,192.241.156.233,,182,
2,,2019-10-12T15:38:38.813+03:00,GET,https://asoftmurmur.com/assets/img/spinner.gif,HTTP/1.1,399,0,,200,OK,HTTP/1.1,0,image/gif,,,460,5553,,,0,0,299,0,254,1,165,192.241.156.233,,467,
3,,2019-10-12T15:38:38.815+03:00,GET,https://asoftmurmur.com/assets/img/bg-high-res.jpg,HTTP/1.1,403,0,,200,OK,HTTP/1.1,0,image/jpeg,,,464,140196,,,0,242,300,0,269,1,340,192.241.156.233,,884,
4,,2019-10-12T15:38:38.820+03:00,GET,https://asoftmurmur.com/f6b1a0b823ad6ac792db40e45a79b256.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,32794,,,0,42,305,0,260,1,293,192.241.156.233,,643,
5,,2019-10-12T15:38:38.823+03:00,GET,https://asoftmurmur.com/ea27c333ccfa1e38c8c1420700b99afa.png,HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,image/png,,,461,50481,,,0,117,309,0,277,1,333,192.241.156.233,,761,
6,,2019-10-12T15:38:40.093+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,0,150,1410,90,1386,0,339,104.131.95.55,,1991,
7,,2019-10-12T15:38:40.109+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,0,155,1413,100,1381,1,325,104.131.95.55,,1995,
8,,2019-10-12T15:38:40.109+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,0,158,1413,90,1389,0,322,104.131.95.55,,1985,
9,,2019-10-12T15:38:40.790+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,223272,,,0,379,340,0,310,0,298,104.131.95.55,,1018,
10,,2019-10-12T15:38:40.805+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,0,8,370,0,336,0,314,104.131.95.55,,694,
11,,2019-10-12T15:38:40.868+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,397,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,0,6,295,0,246,0,303,104.131.95.55,,605,
12,,2019-10-12T15:38:41.462+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,-1,,,0,6,367,0,341,1,308,104.131.95.55,,682,
13,,2019-10-12T15:38:41.477+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/glue-thunder.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,453,-1,,,-1,8,-1,-1,-1,0,173,104.131.95.55,,182,
14,,2019-10-12T15:38:41.493+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,402,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,21574,,,0,2,298,0,261,0,316,104.131.95.55,,617,
15,,2019-10-12T15:38:41.493+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,403,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,38484,,,0,33,366,0,332,0,296,104.131.95.55,,697,
16,,2019-10-12T15:38:41.818+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,409,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,85481,,,-1,198,-1,-1,-1,0,174,104.131.95.55,,373,
17,,2019-10-12T15:38:41.837+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/glue-rain.mp4,HTTP/1.1,401,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,457,218182,,,-1,281,-1,-1,-1,0,184,104.131.95.55,,466,
18,,2019-10-12T15:38:42.075+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/rain/main-rain.mp4,HTTP/1.1,401,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,2922068,,,0,2425,280,0,254,0,301,104.131.95.55,,3008,
19,,2019-10-12T15:38:42.222+03:00,GET,https://st2.asoftmurmur.com/assets/p/content/thunder/main-thunder.mp4,HTTP/1.1,407,0,,206,Partial Content,HTTP/1.1,0,video/mp4,,,461,-1,,,-1,0,-1,-1,-1,0,196,104.131.95.55,,197,
20,,2019-10-12T15:38:45.725+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,361,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,0,36,7396,0,7369,0,92,172.217.22.110,,7526,
21,,2019-10-12T15:38:45.876+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1460350098&t=pageview&_s=1&dl=https%3A%2F%2Fasoftmurmur.com%2F&ul=en-us&de=UTF-8&dt=A%20Soft%20Murmur&sd=24-bit&sr=800x600&vp=800x600&je=0&_u=IEBAAAAB~&jid=1005806437&gjid=796122&cid=1313089575.1570883926&tid=UA-42700626-2&_gid=1349259803.1570883926&_r=1&z=2113528373,HTTP/1.1,675,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=1313089575.1570883926&jid=1005806437&_gid=1349259803.1570883926&gjid=796122&_v=j79&z=2113528373,643,416,,,-1,0,-1,-1,-1,0,97,172.217.22.110,,98,value
22,,2019-10-12T15:38:48.270+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-42700626-2&cid=1313089575.1570883926&jid=1005806437&_gid=1349259803.1570883926&gjid=796122&_v=j79&z=2113528373,HTTP/1.1,531,0,,200,OK,HTTP/1.1,0,image/gif,,,539,35,,,0,0,2288,0,2268,0,118,74.125.133.157,,2408,value
